,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Escherichia coli,Escherichia coli,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus cereus,Bacillus cereus,Bacillus cereus (strain ZK / E33L),Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis ATCC 29212,Enterococcus faecalis ATCC 29212,Enterococcus faecalis ATCC 29212,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria ivanovii ATCC 19119,Listeria ivanovii ATCC 19119,,Listeria ivanovii,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 25923,Staphylococcus aureus ATCC 25923,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli ATCC 25922,Escherichia coli ATCC 25922,Escherichia coli (strain ATCC 25922 / DSM 1103 / LMG 8223 / NCIMB 12210 / NCTC 12241 / WDCM 00013 / Seattle 1946),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 27853,Pseudomonas aeruginosa ATCC 27853,,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus CVCC 546,Staphylococcus aureus CVCC 546,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus CVCC 3051,Staphylococcus aureus CVCC 3051,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
