true_mic	pred_mic
64.0	14.419073
128.0	44.80846
16.0	9.913524
16.0	10.675164
1024.0	3.262165
1024.0	123.84924
16.0	14.294325
64.0	31.60647
128.0	7.551074
64.0	11.386013
64.0	18.401995
79.55424	8.877955
39.77712	9.408801
40.99472	9.15292
70.456	12.974714
58.92256	31.08284
16.02712	1.2216381
14.73064	2.1807897
8.01356	0.85751057
29.46128	27.364231
28.83664	3.0818577
15.35528	2.3723373
26.889975	15.63536
16.0	24.370787
5.9650655	0.85320646
15.00805	2.9559896
64.0	27.011309
8.0	2.3851213
4.36809	2.0351624
12.47037	9.583687
12.412845	4.433269
12.447624	9.94791
12.505248	5.1860056
24.976068	2.3236132
24.907175	5.64983
46.5	14.564553
10.4	13.106884
200.0	35.57976
38.3591	35.77192
36.16704	17.413473
159.12183	3.763186
16.0	48.01019
53.107	20.58485
4.0	22.449938
3.931995	16.15134
8.45904	17.401617
5.58308	8.628784
3.4160566	3.500231
250.0	317.86856
125.0	155.859
32.0	24.061113
125.0	106.90233
32.0	6.3777385
16.0	13.108324
62.0	17.544678
8.0	13.629963
8.0	0.6778458
62.0	1.6530108
16.0	10.089888
128.0	5.9538946
8.0	8.939175
64.0	26.279987
32.0	12.722335
64.0	33.258163
16.0	10.229088
64.0	63.648136
16.0	13.1367
2.0	4.610602
32.0	8.301784
16.0	6.9795127
16.0	17.869215
4.0	7.1900773
3.3282	0.75852233
4.95266	20.46625
170.3568	24.90691
38.73888	24.523457
32.0	22.152615
95.973	5.3489413
387.1565	44.967392
4.0	3.210919
14.0	6.3755984
150.0	18.06567
4.5	13.684169
155.84	9.821296
90.969	29.057606
10.64202	7.3688464
10.47678	14.781098
59.498	23.555096
33.43395	14.133795
134.5776	21.658703
34.21575	11.387457
98.85	28.054064
84.2838	74.03703
16.0	14.22893
15.92514	2.6039872
4.0	3.8301787
8.0	5.5446234
39.69984	66.1677
79.5824	25.931686
49.5639	25.94847
28.33392	6.6381764
140.576	74.06966
12.0	0.9042071
41.3664	13.610671
22.53354	46.968708
13.19236	10.529975
12.82384	10.04819
236.5545	74.97637
240.6135	104.00919
7.72005	15.437766
17.78896	19.205133
38.53995	18.927673
50.05322	39.806393
3.84372	32.537964
5.73918	11.6971245
35.97062	23.315643
12.9466	26.118526
200.7915	34.587578
38.7571	43.68324
64.0	65.43029
16.0	2.5442517
4.0	3.639233
16.0	4.7517796
4.0	1.233526
256.0	119.869095
5.19664	8.424616
4.29928	0.9186334
2.79834	5.4387856
0.125	0.011726804
48.8124	16.080664
49.443	9.291579
44.3067	24.583904
45.2076	27.031439
47.879402	16.80874
9.02934	12.503208
67.5051	29.468699
18.08352	21.38156
3.85888	4.9096117
74.86825	39.111446
8.94192	51.41187
8.90313	12.416792
47.46672	33.299854
73.1145	37.48606
65.95204	24.826567
4.9451	6.7323008
4.94909	5.1027064
25.19984	4.349772
79.90276	13.65353
248.95963	23.320906
378.9324	18.276184
4.91395	1.6796246
80.65904	3.165868
54.378124	7.00595
29.23176	1.0223413
42.15075	8.024234
66.36125	9.612996
6.25104	7.9532185
19.76382	9.720152
61.7984	81.63028
13.817699	6.7218533
63.377625	43.376343
138.381	24.819998
55.693	45.392063
10.09845	14.49589
134.971	57.041653
128.0	70.39284
200.149	38.411263
90.912	40.70633
15.5769	2.1686912
9.94818	9.56377
6.37574	5.930684
12.05044	4.212237
15.3132	4.4528556
12.38664	5.839952
31.3598	43.048473
20.07224	16.134848
13.69656	4.776204
195.6976	59.551693
377.7375	140.86768
255.314	95.605934
234.295	14.429961
14.6315	6.32721
2.0	14.533771
16.0	19.03738
138.941	43.97143
54.9888	39.67953
225.2464	18.067102
238.7168	82.34492
26.58425	17.227057
28.1965	12.400194
21.0	25.065464
43.0	42.99546
38.0	19.802244
16.0	36.774216
5.0	5.6938868
41.0	58.86229
11.0	11.756806
16.0	12.407103
49.0	93.87907
48.0	37.387196
43.0	32.77136
23.0	22.431654
28.0	35.693123
38.0	24.270624
31.0	44.831223
60.0	26.594915
31.0	30.076439
61.0	43.718132
3.0	3.6677594
2.0	2.7323523
2.0	4.059496
2.0	8.445084
34.0	46.173935
2.0	6.409899
16.0	76.5978
22.0	12.042099
13.0	8.900705
9.0	7.581348
8.0	11.357131
22.0	24.987728
2.0	4.374213
10.0	17.70197
24.0	15.7199335
28.0	12.491446
3.0	12.6589155
37.0	17.647236
6.0	12.003501
17.13324	9.1130495
20.59296	3.6730957
41.81148	15.038738
300.0	43.966614
53.767	66.8464
22.306076	4.3541303
23.6	26.276712
2.8858	2.270269
47.42272	9.257579
41.77792	14.333273
9.35524	2.6774824
9.05916	2.1706076
23.39862	2.8060517
11.78034	3.7766633
11.47395	36.90465
11.55219	5.1969657
11.54607	6.4074717
38.99675	36.974724
136.175	101.79606
139.178	125.22652
8.874375	2.84356
36.29425	5.1144423
29.9562	16.645708
16.0592	12.951976
38.72175	17.104315
21.5217	14.56247
21.65685	9.633954
44.42763	5.4949203
41.26992	4.663362
23.21963	4.097719
49.00403	25.38543
12.92056	12.31182
9.24462	56.473694
19.03284	28.29015
60.591	25.571781
9.8886	10.816065
16.0	16.780716
219.766	74.3793
120.696	26.970568
48.9615	19.462517
14.24755	6.796922
256.809	46.080555
8.0	9.463844
120.4965	51.630615
484.372	32.044518
20.312876	15.397858
66.70976	4.1313515
142.5536	32.165638
75.0	25.74628
18.8	8.216106
64.0	34.150566
100.0	24.67207
100.0	8.03747
100.0	24.46501
23.5471	18.046915
25.0293	5.029607
6.5811	5.5237446
34.39098	12.943944
104.7385	26.10501
27.67427	26.47308
43.20176	21.035593
127.713	39.85385
63.106	37.619343
252.523	45.872314
147.834	16.58913
16.3452	4.7966743
33.34942	32.33043
64.1075	38.58212
4.0	15.7012615
