true_mic	pred_mic
58.04625	12.38405
6.25	0.79706764
32.0	14.419073
128.0	44.80846
16.0	9.913524
16.0	10.675164
1024.0	3.262165
1024.0	123.84924
8.0	14.294325
32.0	31.60647
64.0	7.551074
64.0	11.386013
64.0	18.401995
79.55424	8.877955
81.98944	9.15292
70.456	12.974714
58.92256	31.08284
64.10848	1.2216381
58.92256	2.1807897
57.67328	3.0818577
61.42112	2.3723373
382.376	0.85320646
9.00483	2.9559896
29.19925	5.87495
28.296875	28.699749
57.64575	32.728397
233.787	15.629936
235.196	13.545184
14.2365	6.170574
229.386	11.813131
139.77888	2.0351624
7.1228557	16.618662
23.4949	9.583687
3.034251	4.433269
6.223812	9.94791
1.563156	5.1860056
6.40412	2.3236132
6.226794	5.64983
500.0	14.564553
10.4	13.106884
512.0	35.57976
207.5502	3.763186
218.978	3.500231
100.0	1.6530108
128.0	17.869215
128.0	7.1900773
8.0	3.522369
125.0	4.2786074
250.0	7.3891935
63.0	8.614712
6.6564	0.75852233
49.994877	71.10847
24.972519	11.964077
425.892	24.90691
19.36944	24.523457
8.0	22.152615
1.0	5.3909144
25.0	3.210919
57.0	6.3755984
150.0	18.06567
18.0	13.684169
33.43395	14.133795
134.5776	21.658703
34.21575	11.387457
98.85	28.054064
84.2838	74.03703
63.0	5.115056
31.0	4.5652013
16.0	3.9738035
2.0	2.5161538
63.0	5.227436
8.0	3.4300046
8.0	3.2940657
8.0	3.0550025
8.0	3.2238216
16.0	13.2894945
4.0	4.82659
2.0	3.8301787
16.0	10.676749
9.92496	66.1677
200.0	0.9042071
25.0	2.4433305
12.0	2.5003738
6.0	2.7974086
4.33743	6.032763
164.9045	10.529975
19.23576	10.04819
64.0	65.43029
5.19664	8.424616
137.57697	0.9186334
8.954688	5.4387856
97.6248	16.080664
98.886	9.291579
44.3067	24.583904
45.2076	27.031439
3.00978	12.503208
64.0	8.024234
5.12674	18.4598
85.86944	42.425587
24.71936	81.63028
4.14531	6.7218533
125.0	9.194039
62.5	13.481063
62.5	4.17672
125.0	18.023594
8.0	35.39342
8.0	70.39284
125.0	15.0915365
62.5	17.258213
8.0	16.74979
62.5	51.796997
31.0	5.2701197
250.0	5.237673
11.10234	11.43256
200.30849	61.470867
200.149	38.411263
197.1152	16.128777
7.1514	27.507929
4.5456	40.70633
16.0	19.03738
0.48544428	15.685525
21.0	25.065464
43.0	42.99546
38.0	19.802244
28.0	36.774216
10.0	5.6938868
41.0	58.86229
11.0	11.756806
8.0	12.407103
31.0	93.87907
48.0	37.387196
43.0	32.77136
23.0	22.431654
28.0	35.693123
38.0	24.270624
31.0	44.831223
60.0	26.594915
31.0	30.076439
61.0	43.718132
3.0	3.6677594
2.0	2.7323523
2.0	4.059496
2.0	8.445084
69.0	46.173935
2.0	6.409899
22.0	76.5978
22.0	12.042099
7.0	8.900705
14.0	7.581348
8.0	11.357131
12.0	24.987728
4.0	4.374213
5.0	17.70197
24.0	15.7199335
14.0	12.491446
7.0	12.6589155
28.0	17.647236
9.0	12.003501
164.74368	3.6730957
