true_mic	pred_mic
64.0	31.22318
128.0	29.173788
16.0	29.8574
16.0	34.42695
1024.0	34.077766
1024.0	27.74818
16.0	28.656057
64.0	29.141916
128.0	41.853527
64.0	41.989265
64.0	20.80527
79.55424	64.33775
39.77712	112.2477
40.99472	61.54956
70.456	59.850628
58.92256	64.99324
16.02712	37.332207
14.73064	104.53068
8.01356	49.60594
29.46128	93.34627
28.83664	108.138016
15.35528	93.018524
26.889975	32.557613
16.0	44.421593
5.9650655	17.733831
15.00805	94.11358
64.0	121.39634
8.0	21.915377
4.36809	52.073326
12.47037	31.218216
12.412845	25.463097
12.447624	18.558018
12.505248	13.660876
24.976068	5.064164
24.907175	5.5609813
46.5	133.17126
10.4	78.582245
200.0	130.80637
38.3591	116.176414
36.16704	49.18987
159.12183	88.630424
16.0	82.90813
53.107	83.50705
4.0	48.716103
3.931995	83.432846
8.45904	84.55683
5.58308	80.17543
3.4160566	8.912319
250.0	106.59129
125.0	119.6443
32.0	118.74231
125.0	104.66396
32.0	83.79942
16.0	78.7345
62.0	65.10736
8.0	68.36565
8.0	20.993484
62.0	127.69513
16.0	117.51915
128.0	113.456116
8.0	114.569534
64.0	127.1407
32.0	120.36064
64.0	113.890884
16.0	112.54006
64.0	123.13611
16.0	99.622116
2.0	95.140495
32.0	97.54445
16.0	98.970535
16.0	131.7764
4.0	99.0005
3.3282	33.207798
4.95266	131.63492
170.3568	115.43534
38.73888	16.127466
32.0	81.55198
95.973	51.89226
387.1565	96.38638
4.0	5.912382
14.0	74.64716
150.0	53.03126
4.5	36.413437
155.84	118.929886
90.969	26.755444
10.64202	87.28357
10.47678	99.31572
59.498	100.04575
33.43395	59.79113
134.5776	56.031384
34.21575	51.089836
98.85	120.790955
84.2838	124.195435
16.0	129.88847
15.92514	52.350048
4.0	58.17981
8.0	52.40777
39.69984	18.945717
79.5824	92.99852
49.5639	79.05583
28.33392	61.846855
140.576	131.48659
12.0	7.255465
41.3664	108.11835
22.53354	108.6807
13.19236	105.254715
12.82384	123.63963
236.5545	25.239216
240.6135	13.846995
7.72005	65.52779
17.78896	53.456413
38.53995	55.049355
50.05322	92.08659
3.84372	79.228584
5.73918	134.65845
35.97062	53.67022
12.9466	46.037384
200.7915	83.64664
38.7571	77.21672
64.0	110.46025
16.0	16.817293
4.0	10.937903
16.0	27.185236
4.0	13.911161
256.0	102.15155
5.19664	22.654774
4.29928	32.44427
2.79834	74.02816
0.125	139.75146
48.8124	34.747505
49.443	30.948126
44.3067	52.432404
45.2076	55.859905
47.879402	57.0432
9.02934	7.997041
67.5051	68.419334
18.08352	48.8223
3.85888	66.58033
74.86825	124.952805
8.94192	135.48584
8.90313	128.90694
47.46672	132.0439
73.1145	130.96342
65.95204	140.0485
4.9451	105.16213
4.94909	104.45097
25.19984	59.98476
79.90276	96.6381
248.95963	134.83199
378.9324	134.55399
4.91395	67.950516
80.65904	91.05855
54.378124	85.361855
29.23176	76.31157
42.15075	98.82095
66.36125	52.960884
6.25104	90.61508
19.76382	128.28061
61.7984	14.058812
13.817699	36.083557
63.377625	88.056435
138.381	14.214572
55.693	90.57146
10.09845	109.55849
134.971	19.281658
128.0	102.369545
200.149	119.56602
90.912	32.243122
15.5769	64.45308
9.94818	122.38041
6.37574	89.02206
12.05044	93.56719
15.3132	77.57126
12.38664	86.86893
31.3598	12.388199
20.07224	80.39125
13.69656	93.23958
195.6976	24.867405
377.7375	143.90648
255.314	141.28046
234.295	89.54675
14.6315	18.757177
2.0	25.133394
16.0	55.628162
138.941	100.28991
54.9888	14.609596
225.2464	15.1863785
238.7168	52.624084
26.58425	67.54959
28.1965	84.606285
21.0	55.27234
43.0	79.45688
38.0	68.41866
16.0	26.498926
5.0	33.887142
41.0	105.53099
11.0	43.191994
16.0	52.6411
49.0	91.045135
48.0	86.67121
43.0	79.75175
23.0	118.034584
28.0	124.61607
38.0	107.27901
31.0	131.00974
60.0	90.91677
31.0	121.09636
61.0	104.81148
3.0	25.663183
2.0	17.260271
2.0	18.534513
2.0	16.860207
