true_mic	pred_mic
58.04625	85.07815
6.25	5.6607475
32.0	31.22318
128.0	29.173788
16.0	29.8574
16.0	34.42695
1024.0	34.077766
1024.0	27.74818
8.0	28.656057
32.0	29.141916
64.0	41.853527
64.0	41.989265
64.0	20.80527
79.55424	64.33775
81.98944	61.54956
70.456	59.850628
58.92256	64.99324
64.10848	37.332207
58.92256	104.53068
57.67328	108.138016
61.42112	93.018524
382.376	17.733831
9.00483	94.11358
29.19925	37.15693
28.296875	104.916565
57.64575	100.698425
233.787	80.23811
235.196	32.802925
14.2365	64.11888
229.386	38.71439
139.77888	52.073326
7.1228557	22.57789
23.4949	31.218216
3.034251	25.463097
6.223812	18.558018
1.563156	13.660876
6.40412	5.064164
6.226794	5.5609813
500.0	133.17126
10.4	78.582245
512.0	130.80637
207.5502	88.630424
218.978	8.912319
100.0	127.69513
128.0	131.7764
128.0	99.0005
8.0	38.980835
125.0	52.177784
250.0	73.45982
63.0	73.32722
6.6564	33.207798
49.994877	130.13853
24.972519	129.48442
425.892	115.43534
19.36944	16.127466
8.0	81.55198
1.0	29.124304
25.0	5.912382
57.0	74.64716
150.0	53.03126
18.0	36.413437
33.43395	59.79113
134.5776	56.031384
34.21575	51.089836
98.85	120.790955
84.2838	124.195435
63.0	51.958534
31.0	52.95765
16.0	47.126446
2.0	14.786888
63.0	58.637024
8.0	22.44608
8.0	42.456734
8.0	45.96785
8.0	15.575401
16.0	45.85725
4.0	51.408813
2.0	58.17981
16.0	83.63008
9.92496	18.945717
200.0	7.255465
25.0	50.24746
12.0	24.729874
6.0	41.63784
4.33743	28.609928
164.9045	105.254715
19.23576	123.63963
64.0	110.46025
5.19664	22.654774
137.57697	32.44427
8.954688	74.02816
97.6248	34.747505
98.886	30.948126
44.3067	52.432404
45.2076	55.859905
3.00978	7.997041
64.0	98.82095
5.12674	41.576313
85.86944	96.80733
24.71936	14.058812
4.14531	36.083557
125.0	117.959656
62.5	114.94066
62.5	77.420296
125.0	96.838875
8.0	59.135414
8.0	102.369545
125.0	130.2305
62.5	123.60018
8.0	91.816124
62.5	140.47714
31.0	83.55902
250.0	111.61328
11.10234	24.552143
200.30849	131.43681
200.149	119.56602
197.1152	104.84552
7.1514	21.698536
4.5456	32.243122
16.0	55.628162
0.48544428	118.67495
21.0	55.27234
43.0	79.45688
38.0	68.41866
28.0	26.498926
10.0	33.887142
41.0	105.53099
11.0	43.191994
8.0	52.6411
31.0	91.045135
48.0	86.67121
43.0	79.75175
23.0	118.034584
28.0	124.61607
38.0	107.27901
31.0	131.00974
60.0	90.91677
31.0	121.09636
61.0	104.81148
3.0	25.663183
2.0	17.260271
2.0	18.534513
2.0	16.860207
69.0	59.588097
2.0	13.112154
22.0	32.801174
22.0	42.712917
7.0	22.682943
14.0	23.673996
8.0	19.834774
12.0	56.30549
4.0	19.615322
5.0	44.027065
24.0	41.537773
14.0	23.305851
7.0	9.734705
28.0	41.002983
9.0	9.29354
164.74368	73.1772
2.1	75.42669
4.0	123.02727
1.0	111.61955
4.6	30.210697
4.7	50.503548
9.7	53.683453
2.2	37.782322
2.2	16.43645
2.1	68.158295
4.4	34.766945
211.0	84.40398
182.0	103.7183
272.70517	85.87535
43.0	96.123955
213.0	98.2387
40.0	104.20795
26.8835	124.195946
27.726244	59.638153
8.7	135.60278
47.42272	7.3754606
512.0	93.28804
4.444287	12.66033
14.5177	7.977816
14.9781	18.394835
24.0888	36.501335
14.3478	14.610745
1.44379	7.496446
75.1975	48.32874
22.62954	106.15021
46.381126	116.72439
339.72	127.50043
146.081	139.94116
129.3685	102.53805
63.9335	96.67208
32.605125	71.19048
15.30828	105.32583
8.7294	19.45618
82.5525	33.827026
9.8886	27.277384
219.766	99.592
482.784	86.2663
97.923	90.209854
14.24755	85.34852
64.20225	96.04552
243.893	102.02434
246.698	100.80649
265.72	37.437965
4.0	41.910698
67.70675	85.72752
17.30154	25.62937
265.414	82.53903
240.993	90.98413
134.3135	77.66304
194.443	98.92592
17.30118	92.15516
30.7089	81.20845
484.372	102.89418
134.3135	80.61366
9.75018	44.346962
66.70976	72.00856
12.728	74.08103
14.49072	54.295856
409.4336	113.12252
32.0	39.11962
3.81192	51.32668
7.66278	80.16075
7.57272	69.32312
15.15138	79.679344
147.834	119.54561
2.0	50.13387
2.0	46.1754
4.0	21.083683
4.0	40.80418
256.0	36.397343
4.0	34.537342
4.0	76.14223
280.5035	117.859146
105.9904	56.01812
13.00856	26.899685
6.6244	4.978975
26.01712	9.195453
51.16928	4.952731
6.7928	3.6113122
3.34234	1.5452869
2.0	55.290997
2.0	38.770195
136.4908	119.54838
66.5218	121.19015
232.208	133.10448
51.4688	48.95452
220.31232	35.529846
611.554	131.14398
7.504575	84.849014
31.6191	35.83917
14.38785	44.34284
567.2025	47.29974
581.7275	35.64874
574.715	45.359623
581.7275	32.49614
7.74375	48.07305
19.393438	54.038628
4.91352	55.79841
9.563438	48.633125
9.619331	39.660088
9.662824	32.668144
4.936064	25.815485
128.0	125.67234
500.0	131.52371
500.0	123.82151
500.0	115.74902
4.0	66.876465
16.0	89.83235
8.0	35.653572
0.12382076	107.26078
121.545	121.143005
111.33	133.76622
106.812	135.52988
107.311	135.77173
156.58	126.698715
169.497	111.85109
55.77792	91.3245
50.55616	95.97997
13.09536	90.3521
142.369	108.782005
136.665	121.34023
85.54304	114.55653
118.042	116.75797
3.13	4.9953413
147.274	98.48805
144.259	134.37033
150.875	130.47212
45.8958	86.114365
91.7916	65.43351
8.3404	76.69356
148.0448	37.468987
8.5038395	5.077367
50.0	126.7891
32.0	54.23449
802.569	71.514465
802.569	69.59151
204.921	71.40816
16.0	37.943016
16.6	71.71278
6.10992	18.888252
6.28404	33.52672
104.0325	42.58068
205.26	42.082638
101.9285	34.993034
5.97756	33.13068
23.129875	19.53947
5.43096	14.144426
45.909	35.249302
5.46108	21.091793
11.01258	11.719741
5.37999	13.182416
5.60247	5.7297287
11.63772	4.9893904
87.07675	134.62256
6.25	132.14664
25.0	133.55618
12.5	128.22568
50.0	137.76091
6.25	68.59599
3.5179715	4.994271
464.06528	14.519168
368.8435	5.4120502
294.38208	53.67439
292.71808	9.986982
265.80225	9.916236
245.80992	22.756496
213.38625	47.52641
204.41344	111.36039
406.52032	34.419846
393.8176	76.172386
393.8253	47.593723
24.78256	85.49071
