true_mic	pred_mic
64.0	31.706167
128.0	29.663116
16.0	27.226294
16.0	29.805838
1024.0	34.141685
1024.0	25.274591
16.0	29.022406
64.0	31.104828
128.0	44.12112
64.0	43.537403
64.0	22.911428
79.55424	58.705273
39.77712	91.749084
40.99472	57.199245
70.456	55.602947
58.92256	60.215504
16.02712	38.003002
14.73064	87.82897
8.01356	46.631054
29.46128	78.45449
28.83664	96.87348
15.35528	75.02176
26.889975	30.826674
16.0	64.404366
5.9650655	31.754135
15.00805	107.85339
64.0	126.83396
8.0	28.450628
4.36809	60.07198
12.47037	42.321503
12.412845	53.33086
12.447624	38.61833
12.505248	49.47737
24.976068	12.599484
24.907175	6.8635254
46.5	134.01607
10.4	106.503075
200.0	125.82662
38.3591	126.33939
36.16704	86.85675
159.12183	113.871544
16.0	113.78535
53.107	101.161964
4.0	80.86065
3.931995	99.67544
8.45904	114.78797
5.58308	97.96484
3.4160566	23.0866
250.0	111.12463
125.0	115.745766
32.0	91.831085
125.0	112.440254
32.0	84.29669
16.0	84.992134
62.0	68.95634
8.0	75.15533
8.0	30.12268
62.0	132.84413
16.0	115.211945
128.0	123.636505
8.0	123.009
64.0	133.17307
32.0	124.77844
64.0	123.47196
16.0	122.325584
64.0	128.77414
16.0	109.15084
2.0	106.398094
32.0	106.84692
16.0	104.29519
16.0	121.10848
4.0	107.60926
3.3282	22.467234
4.95266	135.01265
170.3568	126.26293
38.73888	18.022934
32.0	111.08163
95.973	78.44133
387.1565	109.22155
4.0	19.637276
14.0	103.6551
150.0	74.92335
4.5	58.625233
155.84	115.08791
90.969	60.719288
10.64202	88.25787
10.47678	99.4674
59.498	119.29676
33.43395	100.44757
134.5776	97.708824
34.21575	103.503105
98.85	105.391846
84.2838	125.17698
16.0	125.85146
15.92514	62.266937
4.0	44.08755
8.0	71.95311
39.69984	22.319323
79.5824	103.84847
49.5639	101.39779
28.33392	111.56718
140.576	130.98088
12.0	11.01875
41.3664	134.50241
22.53354	115.64212
13.19236	99.90156
12.82384	110.57434
236.5545	43.666
240.6135	41.9611
7.72005	104.0741
17.78896	89.30195
38.53995	90.57807
50.05322	117.399055
3.84372	92.99765
5.73918	123.86385
35.97062	91.98881
12.9466	75.592026
200.7915	103.286705
38.7571	95.456024
64.0	108.05954
16.0	27.30723
4.0	26.599731
16.0	42.58443
4.0	23.504639
256.0	96.77444
5.19664	31.73823
4.29928	48.275146
2.79834	84.41777
0.125	138.68
48.8124	44.36618
49.443	38.100597
44.3067	64.3964
45.2076	71.667175
47.879402	84.83582
9.02934	24.414667
67.5051	105.0216
18.08352	94.013466
3.85888	82.55237
74.86825	123.472374
8.94192	128.11868
8.90313	116.55762
47.46672	124.95715
73.1145	129.55884
65.95204	130.06949
4.9451	102.77598
4.94909	103.393776
25.19984	84.502525
79.90276	109.24551
248.95963	128.27098
378.9324	127.695076
4.91395	83.88705
80.65904	106.84562
54.378124	92.39935
29.23176	90.92466
42.15075	103.02338
66.36125	91.495
6.25104	95.788025
19.76382	124.52708
61.7984	23.07812
13.817699	53.97523
63.377625	86.25556
138.381	35.909195
55.693	111.38568
10.09845	121.077446
134.971	32.937912
128.0	123.03361
200.149	121.715675
90.912	37.18889
15.5769	81.80695
9.94818	116.85714
6.37574	92.94678
12.05044	93.8645
15.3132	86.29815
12.38664	95.75458
31.3598	27.769846
20.07224	97.41843
13.69656	101.82748
195.6976	46.333923
377.7375	132.43007
255.314	141.71523
234.295	115.555595
14.6315	59.28194
2.0	16.830633
16.0	55.66487
138.941	118.556816
54.9888	17.352785
225.2464	24.163834
