true_mic	pred_mic
58.04625	100.459625
6.25	16.813423
32.0	31.706167
128.0	29.663116
16.0	27.226294
16.0	29.805838
1024.0	34.141685
1024.0	25.274591
8.0	29.022406
32.0	31.104828
64.0	44.12112
64.0	43.537403
64.0	22.911428
79.55424	58.705273
81.98944	57.199245
70.456	55.602947
58.92256	60.215504
64.10848	38.003002
58.92256	87.82897
57.67328	96.87348
61.42112	75.02176
382.376	31.754135
9.00483	107.85339
29.19925	55.521988
28.296875	114.53965
57.64575	112.04739
233.787	93.46676
235.196	49.768066
14.2365	77.24401
229.386	55.90509
139.77888	60.07198
7.1228557	43.21245
23.4949	42.321503
3.034251	53.33086
6.223812	38.61833
1.563156	49.47737
6.40412	12.599484
6.226794	6.8635254
500.0	134.01607
10.4	106.503075
512.0	125.82662
207.5502	113.871544
218.978	23.0866
100.0	132.84413
128.0	121.10848
128.0	107.60926
8.0	34.13673
125.0	47.041504
250.0	84.60195
63.0	70.08129
6.6564	22.467234
49.994877	126.345604
24.972519	132.16986
425.892	126.26293
19.36944	18.022934
8.0	111.08163
1.0	30.752344
25.0	19.637276
57.0	103.6551
150.0	74.92335
18.0	58.625233
33.43395	100.44757
134.5776	97.708824
34.21575	103.503105
98.85	105.391846
84.2838	125.17698
63.0	62.791615
31.0	66.39389
16.0	50.874126
2.0	17.295614
63.0	51.343643
8.0	22.326065
8.0	41.19685
8.0	35.547558
8.0	10.849082
16.0	32.41641
4.0	36.14506
2.0	44.08755
16.0	45.70694
9.92496	22.319323
200.0	11.01875
25.0	48.062298
12.0	27.416725
6.0	22.49099
4.33743	16.864973
164.9045	99.90156
19.23576	110.57434
64.0	108.05954
5.19664	31.73823
137.57697	48.275146
8.954688	84.41777
97.6248	44.36618
98.886	38.100597
44.3067	64.3964
45.2076	71.667175
3.00978	24.414667
64.0	103.02338
5.12674	89.28006
85.86944	112.700134
24.71936	23.07812
4.14531	53.97523
125.0	121.90735
62.5	113.67318
62.5	90.2411
125.0	102.86851
8.0	92.52527
8.0	123.03361
125.0	124.68298
62.5	122.577675
8.0	118.43616
62.5	122.13501
31.0	92.72994
250.0	118.59925
11.10234	32.246777
200.30849	128.21953
200.149	121.715675
197.1152	118.765434
7.1514	55.162262
4.5456	37.18889
16.0	55.66487
0.48544428	125.248436
21.0	45.410233
43.0	69.67658
38.0	59.33224
28.0	25.889212
10.0	23.838165
41.0	90.724464
11.0	42.72633
8.0	45.528103
31.0	69.039894
48.0	67.674034
43.0	51.768993
23.0	93.11039
28.0	93.04208
38.0	91.76632
31.0	112.86561
60.0	71.96139
31.0	108.65208
61.0	102.301056
3.0	14.73344
2.0	11.544435
2.0	11.507464
2.0	12.82917
69.0	41.04636
2.0	11.665904
22.0	16.786692
22.0	29.698593
7.0	20.484653
14.0	21.872725
8.0	17.294643
12.0	44.598835
4.0	14.861699
5.0	32.318344
24.0	32.418167
14.0	18.20442
7.0	8.35193
28.0	36.65968
9.0	12.722455
164.74368	100.19946
2.1	39.13994
4.0	61.51276
1.0	61.504303
4.6	25.584112
4.7	41.527958
9.7	36.89039
2.2	19.13071
2.2	13.313233
2.1	45.964733
4.4	19.479725
211.0	72.5222
182.0	93.59153
272.70517	72.6798
43.0	77.918
213.0	80.707924
40.0	93.099495
26.8835	128.17508
27.726244	69.35091
8.7	126.46523
47.42272	12.869237
512.0	100.25119
4.444287	32.731647
14.5177	21.884956
14.9781	33.56006
24.0888	49.66995
14.3478	22.78441
1.44379	10.067935
75.1975	56.56249
22.62954	113.36692
46.381126	118.56197
339.72	124.13156
146.081	136.143
129.3685	126.85041
63.9335	124.55426
32.605125	119.79667
15.30828	134.37425
8.7294	44.47289
82.5525	56.175343
9.8886	32.110855
219.766	107.45215
482.784	104.66986
97.923	108.63037
14.24755	103.863686
64.20225	109.821205
243.893	115.72327
246.698	113.31186
265.72	60.482716
4.0	54.32857
67.70675	102.18746
17.30154	62.302486
265.414	104.195244
240.993	106.23884
134.3135	99.474464
194.443	109.9678
17.30118	107.84724
30.7089	95.46262
484.372	107.115135
134.3135	102.75659
9.75018	43.015583
66.70976	81.87534
12.728	95.81303
14.49072	84.776634
409.4336	116.80295
32.0	72.58157
3.81192	87.562874
7.66278	108.16687
7.57272	99.54409
15.15138	109.69141
147.834	122.07111
2.0	53.920918
2.0	51.12743
4.0	24.829748
4.0	40.98233
256.0	42.84136
4.0	41.256775
4.0	74.36425
280.5035	121.908394
105.9904	52.5831
13.00856	25.637617
6.6244	6.2563376
26.01712	10.934612
51.16928	5.715368
6.7928	5.1276383
3.34234	2.0444198
2.0	58.47932
2.0	43.083054
136.4908	118.76114
66.5218	112.603294
232.208	129.93272
51.4688	78.33925
220.31232	47.07488
611.554	124.923256
7.504575	96.448265
31.6191	59.62401
14.38785	86.03424
567.2025	55.707516
581.7275	44.898804
574.715	56.08733
581.7275	43.944233
7.74375	79.039
19.393438	64.842316
4.91352	72.416664
9.563438	67.58213
9.619331	51.611195
9.662824	47.78607
4.936064	44.09905
128.0	128.6119
500.0	133.12413
500.0	131.32414
500.0	124.253365
4.0	90.66467
16.0	99.83442
8.0	44.22261
0.12382076	114.47381
121.545	126.445244
111.33	135.50278
106.812	134.3725
107.311	136.41388
156.58	113.68127
169.497	96.536224
55.77792	75.475716
50.55616	76.748695
13.09536	77.76246
142.369	94.46873
136.665	104.34527
85.54304	91.1355
118.042	92.49078
3.13	15.586934
147.274	111.667336
144.259	134.84976
150.875	116.61859
45.8958	67.82357
91.7916	50.599976
8.3404	34.052727
148.0448	39.487045
8.5038395	13.851182
50.0	133.11726
32.0	60.05821
802.569	95.79379
802.569	94.016846
204.921	95.87258
16.0	39.12598
16.6	84.83466
6.10992	29.893827
6.28404	47.235744
104.0325	52.959858
205.26	50.810184
101.9285	46.96455
5.97756	46.21355
23.129875	27.748224
5.43096	14.942502
45.909	46.941544
5.46108	35.989586
11.01258	29.196238
5.37999	28.814056
5.60247	10.101265
11.63772	8.924664
87.07675	139.48724
6.25	132.11247
25.0	132.76884
12.5	129.15385
50.0	139.33308
6.25	85.1163
3.5179715	13.581941
464.06528	16.322784
368.8435	9.360812
294.38208	56.66092
292.71808	16.77825
265.80225	17.65732
245.80992	29.227716
213.38625	51.744522
204.41344	110.58895
406.52032	40.329533
393.8176	96.13363
393.8253	62.48404
24.78256	95.84702
42.0	21.654104
50.0	80.36783
50.0	48.157825
46.5412	43.629246
16.0	24.28579
61.80992	32.42263
2.7	107.28652
2.7	66.13053
32.0	130.5223
2.9436	101.96241
2.81745	61.87398
687.45215	108.8277
58.92096	44.70238
598.46655	119.70103
645.8803	93.84904
43.35088	88.17493
41.18592	101.66543
321.53983	93.63221
344.61313	84.36298
26.91488	55.141087
517.7549	121.40759
6.25	59.815998
32.20125	90.892845
34.128376	111.55218
42.129	33.35114
47.4095	59.059208
25.0	63.259014
300.0	88.2121
16.0	123.77262
16.0	26.153406
306.073	128.63322
14.1783	41.299026
13.8381	34.802216
12.03995	74.80607
502.216	112.43811
504.4608	111.15867
12.5	75.859924
447.4095	122.24535
7.73193	88.6334
7.83111	106.89225
3.941115	86.080376
7.79211	109.16665
9.6924	15.016808
9.36588	17.510096
15.1815	35.11612
200.0	103.59857
300.0	79.77871
18.75	30.71958
300.0	112.33219
150.0	63.29777
300.0	122.23153
300.0	59.18783
8.0	27.290003
1.459899	10.462769
1.399643	31.944437
1.082809	34.82533
1.082809	33.147457
3.095001	34.72868
1.703748	29.076529
1.826162	23.739294
3.20328	13.772418
0.92812204	32.61508
1.055481	44.07947
1.042881	48.26005
3.925643	95.232544
1.571652	30.05115
1.9159529	31.824179
4.929474	46.53777
3.46818	81.204
