true_mic	pred_mic
64.0	78.747734
128.0	81.36385
16.0	90.544495
16.0	103.64519
1024.0	75.43423
1024.0	86.617294
16.0	98.66775
64.0	104.908714
128.0	92.410385
64.0	93.27662
64.0	76.45686
79.55424	81.97127
39.77712	105.754715
40.99472	80.1266
70.456	78.97658
58.92256	82.665344
16.02712	78.80324
14.73064	106.47179
8.01356	78.12652
29.46128	101.8816
28.83664	112.57698
15.35528	100.02832
26.889975	84.301
16.0	127.92678
5.9650655	59.627937
15.00805	109.16703
64.0	129.06393
8.0	43.042248
4.36809	78.8584
12.47037	68.38771
12.412845	70.949486
12.447624	72.606766
12.505248	73.61943
24.976068	43.41027
24.907175	49.734436
46.5	134.93431
10.4	117.54527
200.0	129.70322
38.3591	128.37726
36.16704	91.54158
159.12183	123.567276
16.0	115.35757
53.107	112.91964
4.0	96.4591
3.931995	109.97339
8.45904	123.6214
5.58308	112.997635
3.4160566	42.31176
250.0	128.44205
125.0	141.27429
32.0	140.1219
125.0	129.37045
32.0	121.97642
16.0	117.21539
62.0	114.44375
8.0	109.835495
8.0	66.751
62.0	136.04732
16.0	130.31367
128.0	131.96573
8.0	132.13445
64.0	127.601135
32.0	131.22226
64.0	131.91232
16.0	128.08511
64.0	127.329025
16.0	122.78623
2.0	129.9023
32.0	128.74287
16.0	127.74441
16.0	126.06409
4.0	125.34888
3.3282	78.30131
4.95266	134.54134
170.3568	126.34003
38.73888	36.652092
32.0	121.41062
95.973	76.487686
387.1565	127.207565
4.0	59.872864
14.0	106.85642
150.0	92.36769
4.5	78.50702
155.84	118.854385
90.969	62.177284
10.64202	103.17393
10.47678	110.98126
59.498	122.78993
33.43395	119.81647
134.5776	116.48964
34.21575	123.188705
98.85	113.15642
84.2838	129.45468
16.0	131.40875
15.92514	71.602806
4.0	94.59761
8.0	87.10008
39.69984	43.84555
79.5824	114.80052
49.5639	117.595505
28.33392	124.92915
140.576	131.9102
12.0	26.608871
41.3664	133.9826
22.53354	122.78404
13.19236	110.13267
12.82384	115.25641
236.5545	59.725506
240.6135	58.398945
7.72005	110.34904
17.78896	94.46334
38.53995	99.54292
50.05322	118.47327
3.84372	104.27063
5.73918	128.28976
35.97062	95.857346
12.9466	83.91671
200.7915	107.17915
38.7571	109.998825
64.0	118.6733
16.0	71.02787
4.0	57.647774
16.0	70.995255
4.0	69.9041
256.0	105.22892
5.19664	62.972015
4.29928	66.80608
2.79834	94.63341
0.125	137.84543
48.8124	64.67854
49.443	59.184578
44.3067	86.28482
45.2076	89.55262
47.879402	92.48747
9.02934	34.389843
67.5051	103.999794
18.08352	96.16441
3.85888	94.97305
74.86825	121.753555
8.94192	127.294945
8.90313	123.20239
47.46672	123.04747
73.1145	126.32536
65.95204	127.78896
4.9451	114.55885
4.94909	115.85752
25.19984	108.361374
79.90276	119.33
248.95963	130.3176
378.9324	130.28395
4.91395	97.54662
80.65904	119.20896
54.378124	103.446
29.23176	107.54443
42.15075	114.88652
66.36125	101.890724
6.25104	106.55177
19.76382	124.00189
61.7984	32.52247
13.817699	64.56252
63.377625	100.76659
138.381	53.376686
55.693	114.33114
10.09845	126.96133
134.971	51.1903
128.0	124.521164
200.149	113.657555
90.912	51.68725
15.5769	94.32274
9.94818	122.26799
6.37574	104.21898
12.05044	88.28935
15.3132	87.36661
12.38664	97.80457
31.3598	33.293514
20.07224	106.52572
13.69656	116.44682
195.6976	59.46389
377.7375	129.63492
255.314	134.7642
234.295	114.60417
14.6315	79.78162
2.0	83.807495
16.0	122.10299
138.941	117.014305
54.9888	24.372478
225.2464	38.055622
238.7168	108.95475
26.58425	114.60451
28.1965	88.812515
21.0	83.44305
43.0	101.5873
38.0	94.857056
16.0	60.627674
5.0	66.05009
41.0	112.63151
11.0	72.9859
16.0	91.12202
49.0	103.43556
48.0	101.12318
43.0	90.385925
23.0	112.92208
28.0	117.49475
38.0	114.62089
31.0	126.534935
60.0	101.166306
31.0	119.81737
61.0	113.02413
3.0	54.362957
2.0	47.697792
2.0	48.78767
2.0	58.483784
34.0	80.23399
2.0	48.587925
16.0	68.235825
22.0	75.37164
13.0	64.077354
9.0	62.860786
