true_mic	pred_mic
58.04625	105.62382
6.25	35.726795
32.0	78.747734
128.0	81.36385
16.0	90.544495
16.0	103.64519
1024.0	75.43423
1024.0	86.617294
8.0	98.66775
32.0	104.908714
64.0	92.410385
64.0	93.27662
64.0	76.45686
79.55424	81.97127
81.98944	80.1266
70.456	78.97658
58.92256	82.665344
64.10848	78.80324
58.92256	106.47179
57.67328	112.57698
61.42112	100.02832
382.376	59.627937
9.00483	109.16703
29.19925	77.13175
28.296875	116.66902
57.64575	114.84416
233.787	101.7158
235.196	75.33566
14.2365	93.225914
229.386	77.84047
139.77888	78.8584
7.1228557	60.312263
23.4949	68.38771
3.034251	70.949486
6.223812	72.606766
1.563156	73.61943
6.40412	43.41027
6.226794	49.734436
500.0	134.93431
10.4	117.54527
512.0	129.70322
207.5502	123.567276
218.978	42.31176
100.0	136.04732
128.0	126.06409
128.0	125.34888
8.0	78.74595
125.0	96.95085
250.0	111.87073
63.0	104.539505
6.6564	78.30131
49.994877	128.29245
24.972519	132.56003
425.892	126.34003
19.36944	36.652092
8.0	121.41062
1.0	86.25491
25.0	59.872864
57.0	106.85642
150.0	92.36769
18.0	78.50702
33.43395	119.81647
134.5776	116.48964
34.21575	123.188705
98.85	113.15642
84.2838	129.45468
63.0	92.18672
31.0	102.074776
16.0	94.30986
2.0	47.067192
63.0	95.264786
8.0	58.144543
8.0	96.16747
8.0	104.77262
8.0	55.897583
16.0	72.84993
4.0	89.00201
2.0	94.59761
16.0	113.15588
9.92496	43.84555
200.0	26.608871
25.0	77.25833
12.0	54.118244
6.0	81.717186
4.33743	69.02052
164.9045	110.13267
19.23576	115.25641
64.0	118.6733
5.19664	62.972015
137.57697	66.80608
8.954688	94.63341
97.6248	64.67854
98.886	59.184578
44.3067	86.28482
45.2076	89.55262
3.00978	34.389843
64.0	114.88652
5.12674	93.489944
85.86944	123.37777
24.71936	32.52247
4.14531	64.56252
125.0	125.321
62.5	118.72433
62.5	105.38658
125.0	110.307396
8.0	104.7604
8.0	124.521164
125.0	130.2038
62.5	128.30383
8.0	124.81819
62.5	119.3951
31.0	108.59833
250.0	122.62118
11.10234	46.789883
200.30849	129.35474
200.149	113.657555
197.1152	117.64304
7.1514	74.13813
4.5456	51.68725
16.0	122.10299
0.48544428	129.57776
21.0	83.44305
43.0	101.5873
38.0	94.857056
28.0	60.627674
10.0	66.05009
41.0	112.63151
11.0	72.9859
8.0	91.12202
31.0	103.43556
48.0	101.12318
43.0	90.385925
23.0	112.92208
28.0	117.49475
38.0	114.62089
31.0	126.534935
60.0	101.166306
31.0	119.81737
61.0	113.02413
3.0	54.362957
2.0	47.697792
2.0	48.78767
2.0	58.483784
69.0	80.23399
2.0	48.587925
22.0	68.235825
22.0	75.37164
7.0	64.077354
14.0	62.860786
8.0	69.66194
12.0	87.31987
4.0	65.94838
5.0	84.88696
24.0	66.66721
14.0	52.0205
7.0	41.82232
28.0	86.63852
9.0	44.274784
164.74368	100.12428
2.1	113.75774
4.0	144.81375
1.0	141.20425
4.6	71.93461
4.7	103.99022
9.7	85.56555
2.2	76.52407
2.2	49.998123
2.1	106.26184
4.4	81.033936
211.0	111.31073
182.0	133.78622
272.70517	126.0414
43.0	128.10316
213.0	116.190575
40.0	110.503334
26.8835	132.23239
27.726244	110.25498
8.7	136.88535
47.42272	20.632006
512.0	112.09474
4.444287	73.119156
14.5177	50.583096
14.9781	46.396217
24.0888	68.19154
14.3478	29.447626
1.44379	14.904749
75.1975	87.13861
22.62954	121.80247
46.381126	123.17476
339.72	130.38104
146.081	135.00873
129.3685	130.61911
63.9335	127.88786
32.605125	122.78252
15.30828	134.38156
8.7294	50.204224
82.5525	70.62659
9.8886	50.555977
219.766	114.59916
482.784	111.241066
97.923	105.52885
14.24755	111.68794
64.20225	107.8054
243.893	116.114296
246.698	115.57277
265.72	68.05705
4.0	69.88763
67.70675	110.44492
17.30154	81.42834
265.414	107.05277
240.993	109.895096
134.3135	99.22687
194.443	105.65112
17.30118	115.633255
30.7089	101.00843
484.372	113.7498
134.3135	100.88391
9.75018	56.999916
