true_mic	pred_mic
64.0	10.524832
128.0	9.923496
16.0	5.8454366
16.0	5.8252935
1024.0	12.641688
1024.0	5.0450983
16.0	6.1371655
64.0	6.0027742
128.0	14.879888
64.0	16.956894
64.0	7.1988425
79.55424	28.006176
39.77712	48.84498
40.99472	29.47572
70.456	28.66991
58.92256	35.14882
16.02712	19.099022
14.73064	48.673897
8.01356	19.111057
29.46128	40.17871
28.83664	53.721016
15.35528	41.924603
26.889975	18.943476
16.0	14.519943
5.9650655	11.226586
15.00805	76.35115
64.0	86.09046
8.0	18.114779
4.36809	44.46644
12.47037	25.330242
12.412845	23.366283
12.447624	18.558018
12.505248	13.660876
24.976068	5.064164
24.907175	2.7105613
46.5	100.553116
10.4	73.547966
200.0	74.07622
38.3591	75.57074
36.16704	49.023937
159.12183	68.74224
16.0	76.840034
53.107	57.47782
4.0	48.716103
3.931995	59.8213
8.45904	74.67797
5.58308	62.80195
3.4160566	8.912319
250.0	42.117573
125.0	54.33274
32.0	46.964188
125.0	72.47844
32.0	54.140686
16.0	50.874733
62.0	23.474407
8.0	34.793945
8.0	8.838894
62.0	99.47967
16.0	22.588284
128.0	25.888184
8.0	27.145916
64.0	46.64672
32.0	25.85719
64.0	29.647888
16.0	28.994186
64.0	38.906597
16.0	22.668682
2.0	16.536533
32.0	18.013945
16.0	14.946005
16.0	56.049538
4.0	17.619133
3.3282	6.434574
4.95266	96.57843
170.3568	93.56999
38.73888	5.7038546
32.0	72.55031
95.973	51.89226
387.1565	83.31842
4.0	5.912382
14.0	73.09085
150.0	45.98522
4.5	36.413437
155.84	76.9392
90.969	16.254574
10.64202	50.590652
10.47678	60.288177
59.498	81.33595
33.43395	59.79113
134.5776	56.031384
34.21575	51.089836
98.85	68.45851
84.2838	96.40355
16.0	84.15395
15.92514	38.166733
4.0	19.464916
8.0	37.7286
39.69984	5.620848
79.5824	54.43236
49.5639	64.75803
28.33392	61.846855
140.576	72.81758
12.0	7.255465
41.3664	95.17927
22.53354	66.24702
13.19236	62.73101
12.82384	72.83232
236.5545	19.253399
240.6135	5.0625324
7.72005	60.884117
17.78896	51.48884
38.53995	55.049355
50.05322	81.25238
3.84372	52.244843
5.73918	84.45213
35.97062	52.755157
12.9466	46.037384
200.7915	71.46885
38.7571	53.319733
64.0	68.649216
16.0	12.373626
4.0	10.454317
16.0	14.659329
4.0	7.205706
256.0	49.84429
5.19664	11.328463
4.29928	14.121228
2.79834	51.760265
0.125	107.893105
48.8124	17.803034
49.443	19.939526
44.3067	30.1887
45.2076	42.23225
47.879402	53.23179
9.02934	7.721514
67.5051	67.506004
18.08352	48.8223
3.85888	42.10624
74.86825	80.28854
8.94192	88.89453
8.90313	81.25618
47.46672	84.86817
73.1145	88.713524
65.95204	89.67671
4.9451	59.832775
4.94909	56.647797
25.19984	39.74983
79.90276	60.616554
248.95963	93.23195
378.9324	93.29973
4.91395	42.797295
80.65904	59.71122
54.378124	64.18122
29.23176	40.039307
42.15075	73.89091
66.36125	52.960884
6.25104	55.87431
19.76382	90.08899
61.7984	9.0690775
13.817699	30.475046
63.377625	39.946968
138.381	3.5395234
55.693	87.87465
10.09845	66.96397
134.971	15.705342
128.0	85.99206
200.149	74.95802
90.912	25.56545
15.5769	49.197865
9.94818	76.352394
6.37574	63.109413
12.05044	65.66655
15.3132	52.800037
12.38664	56.062927
31.3598	10.627775
20.07224	54.642815
13.69656	56.562378
195.6976	8.389655
377.7375	37.010292
255.314	54.50492
234.295	69.04003
14.6315	18.757177
2.0	1.8014166
16.0	12.6707535
138.941	84.3508
54.9888	9.955856
225.2464	12.851674
238.7168	51.007305
26.58425	63.314613
28.1965	58.625465
21.0	14.71387
43.0	31.935055
38.0	19.520731
16.0	7.323887
5.0	4.9242187
41.0	48.141838
11.0	17.056103
16.0	14.400795
49.0	24.438683
48.0	25.675121
43.0	25.405222
23.0	56.400795
28.0	47.721428
38.0	50.88707
31.0	63.653248
60.0	28.4324
31.0	53.18158
61.0	51.5836
3.0	3.3248901
2.0	2.8044925
2.0	2.505897
2.0	3.1684756
34.0	13.246286
2.0	4.0582976
16.0	4.4672
22.0	9.7154875
13.0	5.430779
9.0	5.1510954
8.0	6.5168877
22.0	15.77755
2.0	4.870473
10.0	11.145201
24.0	15.583551
28.0	3.3483524
3.0	2.6961718
37.0	10.916315
6.0	2.7949646
17.13324	30.833958
20.59296	66.72435
41.81148	69.60847
300.0	6.037593
53.767	82.14605
22.306076	33.24098
23.6	37.03968
2.8858	4.878341
47.42272	6.864833
41.77792	69.73802
9.35524	58.963085
9.05916	31.956303
23.39862	52.24364
11.78034	48.996193
11.47395	63.435097
11.55219	55.739906
11.54607	57.76581
38.99675	64.03006
136.175	24.000778
139.178	31.242777
8.874375	12.025074
36.29425	7.977816
29.9562	17.45564
16.0592	28.201197
38.72175	43.196487
21.5217	9.50374
21.65685	2.8908353
44.42763	54.773937
41.26992	42.977028
23.21963	62.51411
49.00403	78.93431
12.92056	20.963839
9.24462	60.078827
19.03284	71.04815
60.591	85.20384
9.8886	15.186396
16.0	85.73488
219.766	57.99525
120.696	55.259907
48.9615	60.624207
14.24755	63.0391
256.809	76.34391
8.0	37.742435
120.4965	58.9753
484.372	68.299904
20.312876	21.677757
66.70976	47.61691
142.5536	62.366505
75.0	84.66902
18.8	70.00926
64.0	39.11962
100.0	86.62285
100.0	62.26835
100.0	72.126854
23.5471	88.06297
25.0293	63.581566
6.5811	10.425033
34.39098	65.60836
104.7385	80.52104
27.67427	82.13678
43.20176	51.32668
127.713	74.689514
63.106	57.48115
252.523	60.464386
147.834	73.587875
16.3452	53.800232
33.34942	49.617023
64.1075	72.44631
4.0	15.298701
8.0	13.542111
32.0	9.300048
16.0	12.215577
256.0	12.547659
16.0	11.704828
128.0	24.498775
128.3075	75.20629
255.21199	78.43788
250.39421	82.66331
64.0	13.594793
64.0	10.573187
63.653	82.442085
152.8885	86.62162
129.0625	48.07305
5.7	88.577614
500.0	96.88007
5.2	94.43213
2.1	95.1031
15.71375	51.168186
128.93394	26.624912
256.4484	92.925125
3.043053	16.149586
9.296475	13.276789
16.0	54.100636
8.0	19.686756
187.62752	13.800314
11.6586	4.3182077
121.545	81.25442
111.33	96.697105
106.812	85.850136
107.311	50.98806
156.58	38.291756
108.47808	25.433697
27.88896	25.748516
25.27808	42.413918
26.19072	53.54247
91.11616	59.85323
136.665	55.19619
85.54304	58.729034
75.54688	60.707348
10.0	4.9953413
113.80864	65.76389
10.44528	30.557705
6.88876	9.035673
34.21952	7.2327347
147.274	65.75605
144.259	63.2617
150.875	40.075844
45.8958	30.812551
45.8958	24.234917
50.0424	9.187406
37.0112	5.9673314
17.007679	3.1716325
52.8276	28.114338
54.1884	31.841852
54.83	7.522156
54.1884	17.66925
54.1884	22.191387
56.4328	6.859371
52.4672	39.711205
54.7496	9.99692
54.1884	16.181013
55.2316	6.450122
56.4328	5.9805555
54.1884	17.44546
54.1884	55.777496
64.0	74.75413
128.0	82.86328
64.0	75.54776
32.0	34.37103
32.0	88.765274
8.0	96.92471
16.0	94.97754
16.0	88.13522
4.0	65.096634
2.0	43.833332
21.461529	64.03901
4.7063556	6.83593
802.569	58.287262
802.569	58.526867
102.4605	56.79603
8.0	12.60288
2.1	48.106342
32.0	5.657304
29.6536	2.6427474
1.0	38.520702
11.297979	10.431902
6.70414	46.329933
104.223	21.668211
199.68384	5.202169
12.39992	15.555522
25.34416	21.410019
13.12096	9.59814
12.76848	4.84291
12.78432	9.682807
202.75328	21.146858
12.66448	4.460486
202.75328	24.275265
208.13953	15.1604
202.75328	18.058907
202.75328	24.675722
19.47176	1.6948742
32.0	7.3851213
256.0	35.085144
16.0	11.632284
32.0	4.768089
32.0	23.894392
16.0	7.1004195
32.0	8.030139
16.0	10.371483
256.0	23.079262
256.0	37.6391
64.0	8.066853
58.63104	56.511158
15.0024	18.77288
7.5012	16.36591
4.54758	44.15416
58.00816	14.519168
2.88159	3.1267772
147.19104	44.89762
4.57372	4.6658635
4.15316	4.220447
122.90496	10.99285
213.38625	23.554234
204.41344	78.014015
406.52032	34.419846
27.92166	40.185497
9.87012	51.865498
15.01851	57.27657
88.2786	89.79203
49.71956	83.52455
320.595	87.5866
174.59875	7.196289
393.8176	59.989296
393.8253	41.055862
289.6461	60.935326
278.37952	62.258675
0.25	5.795118
0.25	5.6687593
2.3185563	37.774944
73.0894	53.176216
75.4134	24.559082
8.0	81.82265
4.938944	52.41088
4.825216	54.128967
31.27625	79.18758
32.16475	77.175766
54.317	88.23579
112.188	84.75752
95.068	81.27712
98.622	84.83293
3.1037292	24.21583
3.08022	33.25116
34.9059	18.561678
16.0	8.96201
186.2722	63.038708
48.77509	42.84977
12.83555	30.99267
7.72624	5.4868402
4.0	73.35991
31.3	58.4633
8.0	86.99297
11.7744	69.16064
2.81745	33.650444
42.96576	79.45346
235.68384	26.819775
149.61664	72.17991
