true_mic	pred_mic
58.04625	66.58247
6.25	5.6607475
32.0	10.524832
128.0	9.923496
16.0	5.8454366
16.0	5.8252935
1024.0	12.641688
1024.0	5.0450983
8.0	6.1371655
32.0	6.0027742
64.0	14.879888
64.0	16.956894
64.0	7.1988425
79.55424	28.006176
81.98944	29.47572
70.456	28.66991
58.92256	35.14882
64.10848	19.099022
58.92256	48.673897
57.67328	53.721016
61.42112	41.924603
382.376	11.226586
9.00483	76.35115
29.19925	24.108418
28.296875	78.134964
57.64575	75.45318
233.787	62.167866
235.196	19.034481
14.2365	40.938446
229.386	24.204868
139.77888	44.46644
7.1228557	4.200862
23.4949	25.330242
3.034251	23.366283
6.223812	18.558018
1.563156	13.660876
6.40412	5.064164
6.226794	2.7105613
500.0	100.553116
10.4	73.547966
512.0	74.07622
207.5502	68.74224
218.978	8.912319
100.0	99.47967
128.0	56.049538
128.0	17.619133
8.0	7.2659254
125.0	15.36944
250.0	20.944592
63.0	23.37362
6.6564	6.434574
49.994877	85.486176
24.972519	93.68986
425.892	93.56999
19.36944	5.7038546
8.0	72.55031
1.0	13.416878
25.0	5.912382
57.0	73.09085
150.0	45.98522
18.0	36.413437
33.43395	59.79113
134.5776	56.031384
34.21575	51.089836
98.85	68.45851
84.2838	96.40355
63.0	30.587345
31.0	16.741877
16.0	10.57308
2.0	11.228491
63.0	16.162012
8.0	9.119652
8.0	5.9098153
8.0	2.9208422
8.0	4.5307517
16.0	22.713263
4.0	17.303492
2.0	19.464916
16.0	11.188453
9.92496	5.620848
200.0	7.255465
25.0	23.503077
12.0	19.537487
6.0	6.1583385
4.33743	11.274971
164.9045	62.73101
19.23576	72.83232
64.0	68.649216
5.19664	11.328463
137.57697	14.121228
8.954688	51.760265
97.6248	17.803034
98.886	19.939526
44.3067	30.1887
45.2076	42.23225
3.00978	7.721514
64.0	73.89091
5.12674	41.576313
85.86944	58.537354
24.71936	9.0690775
4.14531	30.475046
125.0	85.269455
62.5	83.46241
62.5	44.94617
125.0	65.33436
8.0	56.986713
8.0	85.99206
125.0	82.646255
62.5	78.337944
8.0	70.459206
62.5	76.91309
31.0	51.954144
250.0	78.08215
11.10234	14.063362
200.30849	82.46789
200.149	74.95802
197.1152	77.63298
7.1514	21.698536
4.5456	25.56545
16.0	12.6707535
0.48544428	85.74135
21.0	14.71387
43.0	31.935055
38.0	19.520731
28.0	7.323887
10.0	4.9242187
41.0	48.141838
11.0	17.056103
8.0	14.400795
31.0	24.438683
48.0	25.675121
43.0	25.405222
23.0	56.400795
28.0	47.721428
38.0	50.88707
31.0	63.653248
60.0	28.4324
31.0	53.18158
61.0	51.5836
3.0	3.3248901
2.0	2.8044925
2.0	2.505897
2.0	3.1684756
69.0	13.246286
2.0	4.0582976
22.0	4.4672
22.0	9.7154875
7.0	5.430779
14.0	5.1510954
8.0	6.5168877
12.0	15.77755
4.0	4.870473
5.0	11.145201
24.0	15.583551
14.0	3.3483524
7.0	2.6961718
28.0	10.916315
9.0	2.7949646
164.74368	66.72435
2.1	25.192638
4.0	25.332922
1.0	30.818762
4.6	13.675443
4.7	7.5767655
9.7	19.736893
2.2	14.038875
2.2	6.8640013
2.1	23.57455
4.4	11.626699
211.0	26.791592
182.0	41.105953
272.70517	42.780663
43.0	34.706867
213.0	48.01626
40.0	40.81436
26.8835	82.14605
27.726244	33.24098
8.7	37.03968
47.42272	6.864833
512.0	77.25239
4.444287	12.025074
14.5177	7.977816
14.9781	17.45564
24.0888	28.201197
14.3478	9.50374
1.44379	2.8908353
75.1975	16.648329
22.62954	68.41779
46.381126	74.098434
339.72	78.58544
146.081	93.45768
129.3685	93.3619
63.9335	90.617836
32.605125	71.19048
15.30828	94.63274
8.7294	9.71981
82.5525	18.966406
9.8886	15.186396
219.766	57.99525
482.784	55.259907
97.923	60.624207
14.24755	63.0391
64.20225	76.34391
243.893	71.3879
246.698	72.130775
265.72	35.2082
4.0	37.742435
67.70675	61.478924
17.30154	25.62937
265.414	68.53254
240.993	58.9753
134.3135	61.720104
194.443	63.522278
17.30118	68.35126
30.7089	42.319695
484.372	68.299904
134.3135	64.39552
9.75018	21.677757
66.70976	47.61691
12.728	62.366505
14.49072	54.295856
409.4336	86.52498
32.0	39.11962
3.81192	51.32668
7.66278	74.689514
7.57272	57.48115
15.15138	60.464386
147.834	73.587875
2.0	15.298701
2.0	13.542111
4.0	9.300048
4.0	12.215577
256.0	12.547659
4.0	11.704828
4.0	24.498775
280.5035	78.43788
105.9904	41.09089
13.00856	19.341404
6.6244	4.4237213
26.01712	7.1986837
51.16928	4.2377715
6.7928	3.6113122
3.34234	1.3672746
2.0	13.594793
2.0	10.573187
136.4908	72.777954
66.5218	73.89732
232.208	84.61165
51.4688	34.475163
220.31232	28.244312
611.554	86.62162
7.504575	53.102272
31.6191	35.401176
14.38785	44.05029
567.2025	28.130045
581.7275	20.291407
574.715	27.531948
581.7275	18.914286
7.74375	48.07305
19.393438	27.618921
4.91352	24.754368
9.563438	25.435295
9.619331	17.712023
9.662824	16.192787
4.936064	13.089627
128.0	88.577614
500.0	96.88007
500.0	94.43213
500.0	95.1031
4.0	51.168186
16.0	54.100636
8.0	19.686756
0.12382076	75.11643
121.545	81.25442
111.33	96.697105
106.812	85.850136
107.311	50.98806
156.58	38.291756
169.497	25.433697
55.77792	25.748516
50.55616	42.413918
13.09536	53.54247
142.369	59.85323
136.665	55.19619
85.54304	58.729034
118.042	60.707348
3.13	4.9953413
147.274	65.75605
144.259	63.2617
150.875	40.075844
45.8958	30.812551
91.7916	24.234917
8.3404	9.187406
148.0448	5.9673314
8.5038395	3.1716325
50.0	102.484985
32.0	34.37103
802.569	58.287262
802.569	58.526867
204.921	56.79603
16.0	12.60288
16.6	48.106342
6.10992	10.94111
6.28404	25.455141
104.0325	25.828152
205.26	26.564243
101.9285	21.79388
5.97756	22.400703
23.129875	14.216138
5.43096	7.577391
45.909	21.671612
5.46108	15.7961855
11.01258	9.008697
5.37999	10.431902
5.60247	5.2916594
11.63772	4.4805865
87.07675	103.80243
6.25	92.872574
25.0	94.3737
12.5	90.312965
50.0	95.755806
6.25	44.15416
3.5179715	1.2613261
464.06528	14.519168
368.8435	3.1267772
294.38208	44.89762
292.71808	4.6658635
265.80225	4.220447
245.80992	10.99285
213.38625	23.554234
204.41344	78.014015
406.52032	34.419846
393.8176	59.989296
393.8253	41.055862
24.78256	70.323845
42.0	6.217883
50.0	54.128967
50.0	24.21583
46.5412	18.561678
16.0	8.96201
61.80992	5.4868402
2.7	73.35991
2.7	35.008034
32.0	86.99297
2.9436	69.16064
2.81745	33.650444
687.45215	79.45346
58.92096	26.819775
598.46655	72.17991
645.8803	58.10047
43.35088	40.858772
41.18592	67.12867
321.53983	64.71527
344.61313	37.718166
26.91488	23.04748
517.7549	68.12752
6.25	30.832739
32.20125	56.036022
34.128376	74.128456
42.129	7.811113
47.4095	22.278835
25.0	36.96752
300.0	58.67698
16.0	90.44012
16.0	4.617976
306.073	80.94207
14.1783	5.881408
13.8381	3.8160052
12.03995	45.17768
502.216	79.24285
504.4608	78.25766
12.5	46.229645
447.4095	79.36504
7.73193	45.838886
7.83111	75.970665
3.941115	47.119987
7.79211	68.79912
9.6924	4.2043705
9.36588	7.4268622
15.1815	12.46326
200.0	79.42
300.0	50.32721
18.75	11.258869
300.0	81.531494
150.0	45.628284
300.0	80.40187
300.0	18.441366
8.0	6.278825
1.459899	1.499398
1.399643	3.1745992
1.082809	11.129839
1.082809	7.208583
3.095001	10.929166
1.703748	15.313986
1.826162	10.18466
3.20328	4.5160494
0.92812204	9.451653
1.055481	13.9448595
1.042881	9.943971
3.925643	58.342297
1.571652	13.67679
1.9159529	7.378946
4.929474	17.900806
3.46818	35.27909
