true_mic	pred_mic
64.0	61.440556
128.0	59.404015
16.0	39.462708
16.0	38.926167
1024.0	63.442284
1024.0	41.447807
16.0	42.572433
64.0	47.33622
128.0	74.41736
64.0	70.11641
64.0	55.782616
79.55424	79.466515
39.77712	102.384224
40.99472	78.26101
70.456	81.01383
58.92256	78.35803
16.02712	62.336235
14.73064	103.16106
8.01356	67.09572
29.46128	96.93697
28.83664	110.47767
15.35528	91.59741
26.889975	73.31381
16.0	68.355545
5.9650655	31.88179
15.00805	104.08675
64.0	127.27658
8.0	37.623955
4.36809	72.335205
12.47037	78.50196
12.412845	76.6469
12.447624	75.56653
12.505248	79.74841
24.976068	26.87033
24.907175	14.339516
46.5	133.04944
10.4	115.31084
200.0	135.4784
38.3591	125.08591
36.16704	100.18611
159.12183	111.71359
16.0	127.285965
53.107	109.71846
4.0	99.646164
3.931995	109.43606
8.45904	127.65515
5.58308	109.738464
3.4160566	42.461
250.0	123.86717
125.0	126.96506
32.0	111.862915
125.0	135.70575
32.0	118.92363
16.0	113.72303
62.0	94.418434
8.0	104.49544
8.0	19.198914
62.0	129.94649
16.0	149.53864
128.0	156.31476
8.0	153.39247
64.0	146.60873
32.0	154.9235
64.0	155.72403
16.0	151.11804
64.0	153.15714
16.0	136.82272
2.0	156.05045
32.0	153.54114
16.0	146.21768
16.0	134.47809
4.0	150.9699
3.3282	46.451866
4.95266	135.535
170.3568	116.99098
38.73888	62.174408
32.0	129.62177
95.973	120.27712
387.1565	112.34915
4.0	18.65919
14.0	92.55971
150.0	70.140625
4.5	54.885147
155.84	123.952545
90.969	142.67923
10.64202	93.72601
10.47678	101.4471
59.498	139.61737
33.43395	122.84288
134.5776	123.05815
34.21575	129.51611
98.85	117.96547
84.2838	133.73184
16.0	136.33054
15.92514	98.31038
4.0	79.64143
8.0	104.24094
39.69984	57.15641
79.5824	112.05437
49.5639	128.79352
28.33392	117.01616
140.576	139.30602
12.0	35.284668
41.3664	133.29056
22.53354	117.52936
13.19236	107.92259
12.82384	117.65924
236.5545	87.942245
240.6135	163.32858
7.72005	104.166336
17.78896	99.37059
38.53995	99.49202
50.05322	118.3916
3.84372	97.02921
5.73918	130.07355
35.97062	103.03967
12.9466	97.00563
200.7915	120.25615
38.7571	94.32614
64.0	128.25165
16.0	44.660164
4.0	27.491352
16.0	48.405384
4.0	29.889864
256.0	118.38191
5.19664	76.74939
4.29928	42.326458
2.79834	100.002945
0.125	134.2792
48.8124	78.6857
49.443	75.27672
44.3067	124.43025
45.2076	121.350555
47.879402	108.5211
9.02934	136.13461
67.5051	122.86649
18.08352	109.9823
3.85888	87.68192
74.86825	124.48347
8.94192	130.86537
8.90313	126.67374
47.46672	123.53466
73.1145	128.72084
65.95204	131.70541
4.9451	97.45271
4.94909	99.203476
25.19984	83.584335
79.90276	113.31212
248.95963	132.0408
378.9324	132.62466
4.91395	85.444305
80.65904	111.26546
54.378124	88.205215
29.23176	86.957825
42.15075	115.9834
66.36125	110.77662
6.25104	108.629005
19.76382	126.713135
61.7984	76.61818
13.817699	112.39159
63.377625	113.083755
138.381	138.08832
55.693	136.73775
10.09845	120.95198
134.971	111.353355
128.0	123.03531
200.149	129.60751
90.912	89.81402
15.5769	100.40471
9.94818	118.60702
6.37574	99.16986
12.05044	101.77908
15.3132	91.93509
12.38664	99.4512
31.3598	89.51471
20.07224	107.24852
13.69656	106.41964
195.6976	121.79421
377.7375	131.69241
255.314	145.48528
234.295	118.23489
14.6315	83.55064
2.0	30.16982
16.0	79.02869
138.941	119.23196
54.9888	90.85457
225.2464	112.71404
238.7168	140.3086
26.58425	125.51936
28.1965	115.307724
21.0	78.53522
43.0	106.483116
38.0	99.264496
16.0	68.28891
5.0	72.456955
41.0	117.70213
11.0	85.078896
16.0	86.631775
49.0	113.744934
48.0	111.886826
43.0	98.26816
23.0	126.499344
28.0	123.95424
38.0	123.48342
31.0	131.63971
60.0	89.89967
31.0	114.423386
61.0	111.23813
3.0	64.44902
2.0	59.069817
2.0	60.21622
2.0	75.45398
34.0	91.42612
2.0	68.35411
16.0	62.901814
22.0	67.89916
13.0	57.586773
9.0	58.247513
8.0	57.59471
22.0	85.57912
2.0	50.204155
10.0	64.03909
24.0	51.274902
28.0	64.324165
3.0	38.68652
37.0	40.397316
6.0	21.4777
17.13324	80.99953
20.59296	102.138725
41.81148	111.52557
300.0	106.57088
53.767	137.67911
22.306076	100.797874
23.6	137.73035
2.8858	27.788513
47.42272	28.514309
41.77792	122.85126
9.35524	119.81784
9.05916	87.95965
23.39862	108.39732
11.78034	102.8712
11.47395	113.93707
11.55219	110.62333
11.54607	110.39078
38.99675	113.63723
136.175	133.6416
139.178	131.09134
8.874375	63.24872
36.29425	146.18921
29.9562	115.33252
16.0592	105.50222
38.72175	121.67195
21.5217	109.07834
21.65685	88.93387
44.42763	107.871826
41.26992	101.44508
23.21963	111.71135
49.00403	121.96646
12.92056	72.45364
9.24462	112.29152
19.03284	128.20645
60.591	125.58673
9.8886	72.18428
16.0	138.73056
219.766	109.605515
120.696	108.69211
48.9615	121.95694
14.24755	97.61255
256.809	113.4006
8.0	93.55648
120.4965	112.34155
484.372	120.748634
20.312876	88.0545
66.70976	107.10144
142.5536	129.13907
75.0	132.57288
18.8	120.14845
64.0	115.991196
100.0	140.50366
100.0	134.93497
100.0	120.70261
23.5471	130.61366
25.0293	126.08293
6.5811	45.41645
34.39098	114.355286
104.7385	131.29784
27.67427	130.06456
43.20176	97.6445
127.713	116.02251
63.106	102.42859
252.523	113.87872
147.834	129.50455
16.3452	98.06958
33.34942	101.13809
64.1075	115.71454
4.0	45.980843
8.0	39.19243
32.0	17.663174
16.0	39.849243
256.0	33.81727
16.0	29.311218
128.0	75.581604
128.3075	127.68727
255.21199	129.64798
250.39421	135.05576
64.0	56.700653
64.0	38.59191
63.653	128.98813
152.8885	125.84352
129.0625	97.51433
5.7	131.45227
500.0	133.63171
5.2	128.72311
2.1	128.8541
15.71375	77.46087
128.93394	94.21503
256.4484	134.15338
3.043053	51.213066
9.296475	33.17041
16.0	108.96237
8.0	58.891727
187.62752	56.508636
11.6586	20.838535
121.545	131.97821
111.33	136.84459
106.812	134.00797
107.311	131.76077
156.58	127.6589
108.47808	117.71376
27.88896	100.43991
25.27808	104.50062
26.19072	109.85206
91.11616	115.28157
136.665	117.77846
85.54304	116.32762
75.54688	114.878296
10.0	29.387043
113.80864	122.868195
10.44528	97.320145
6.88876	69.44591
34.21952	75.70412
147.274	132.52765
144.259	132.75067
150.875	130.34933
45.8958	90.43982
45.8958	73.31157
50.0424	45.10196
37.0112	64.820564
17.007679	20.922215
52.8276	130.45728
54.1884	128.6247
54.83	119.29581
54.1884	130.89825
54.1884	131.20789
56.4328	144.27444
52.4672	136.06593
54.7496	137.82938
54.1884	136.91612
55.2316	140.34425
56.4328	132.35126
54.1884	134.18301
54.1884	141.39468
64.0	135.6041
128.0	138.98715
64.0	134.74272
32.0	92.02643
32.0	132.96114
8.0	136.37988
16.0	134.73944
16.0	134.15894
4.0	118.5346
2.0	110.24155
21.461529	87.88762
4.7063556	31.441465
802.569	105.94002
802.569	103.973785
102.4605	103.11246
8.0	37.09927
2.1	109.93501
32.0	121.90669
29.6536	116.40409
1.0	113.99187
11.297979	70.97224
6.70414	96.344604
104.223	116.55521
199.68384	50.78508
12.39992	63.664795
25.34416	88.72147
13.12096	79.95009
12.76848	51.174957
12.78432	74.48969
202.75328	85.78175
12.66448	66.49652
202.75328	105.59594
208.13953	91.4456
202.75328	92.32945
202.75328	101.652176
19.47176	16.330902
32.0	42.443134
256.0	75.09696
16.0	33.96672
32.0	21.020496
32.0	52.3043
16.0	22.675205
32.0	43.63604
16.0	59.502876
256.0	85.11695
256.0	96.36734
64.0	41.210648
58.63104	107.82616
15.0024	81.216705
7.5012	68.96321
4.54758	72.808426
58.00816	42.24768
2.88159	41.765133
147.19104	90.31758
4.57372	52.815445
4.15316	63.583195
122.90496	75.671234
213.38625	96.77723
204.41344	126.59515
406.52032	67.974266
27.92166	82.81659
9.87012	93.4317
15.01851	100.563705
88.2786	130.73215
49.71956	130.74237
320.595	130.01923
174.59875	138.42102
393.8176	114.06463
393.8253	98.40695
289.6461	128.28032
278.37952	126.736465
0.25	15.14531
0.25	15.604063
2.3185563	60.831802
73.0894	77.31016
75.4134	51.87603
8.0	123.41925
4.938944	79.00782
4.825216	81.36206
31.27625	120.57952
32.16475	118.055115
54.317	129.02577
112.188	126.83377
95.068	124.60657
98.622	125.65959
3.1037292	66.295975
3.08022	84.471146
34.9059	71.81198
16.0	60.71541
186.2722	117.1022
48.77509	103.55411
12.83555	91.9294
7.72624	23.883633
4.0	108.249374
31.3	116.1999
8.0	134.99586
11.7744	100.99663
2.81745	75.466644
42.96576	114.8555
235.68384	86.29798
149.61664	124.470856
80.73504	96.97147
5.41886	78.16807
10.29648	105.78908
20.09624	96.42809
2.69229	78.7462
53.82976	91.796875
32.35968	127.70154
8.013197	117.92512
7.1250534	85.385544
32.20125	105.882454
34.128376	112.06836
42.129	47.07027
47.4095	71.53583
64.0	124.299484
32.0	40.60829
4.0009737	40.60331
118.45025	130.72954
226.8528	137.2591
221.4096	134.38095
48.1598	105.66205
251.108	123.09923
252.2304	122.10074
12.5	65.502914
40.0	34.992294
223.70474	123.76596
64.43275	103.96289
261.037	117.71274
131.3705	100.77904
259.737	124.941696
70.26312	134.15897
257.45407	123.83776
245.02272	116.97076
9.22075	66.98242
72.7418	97.222244
37.42416	118.107315
74.41335	137.59103
19.23375	87.57805
6.23334	114.576904
75.9738	72.28402
4.8462	20.536703
1.404882	36.590347
80.968	36.60694
27.0328	95.52833
53.7852	87.34218
53.7654	71.49303
54.0656	95.98291
53.7852	81.2312
13.5167	60.077007
13.52195	44.94737
13.5973	38.382294
13.60255	26.496754
54.4446	111.7245
54.7252	105.993515
217.7784	113.23151
54.4446	110.67685
27.2223	108.44792
28.674	95.50568
13.65528	91.27137
39.91125	110.84543
4.0	19.05242
17.28279	75.89787
233.38	101.93764
159.385	130.94543
125.0015	97.77449
221.669	110.15573
203.249	95.167816
181.925	111.16066
5.168	38.99507
320.16895	101.33446
