true_mic	pred_mic
58.04625	124.789185
6.25	29.161032
32.0	61.440556
128.0	59.404015
16.0	39.462708
16.0	38.926167
1024.0	63.442284
1024.0	41.447807
8.0	42.572433
32.0	47.33622
64.0	74.41736
64.0	70.11641
64.0	55.782616
79.55424	79.466515
81.98944	78.26101
70.456	81.01383
58.92256	78.35803
64.10848	62.336235
58.92256	103.16106
57.67328	110.47767
61.42112	91.59741
382.376	31.88179
9.00483	104.08675
29.19925	82.66432
28.296875	132.24161
57.64575	132.36906
233.787	117.62538
235.196	70.98755
14.2365	109.35335
229.386	86.154236
139.77888	72.335205
7.1228557	140.61542
23.4949	78.50196
3.034251	76.6469
6.223812	75.56653
1.563156	79.74841
6.40412	26.87033
6.226794	14.339516
500.0	133.04944
10.4	115.31084
512.0	135.4784
207.5502	111.71359
218.978	42.461
100.0	129.94649
128.0	134.47809
128.0	150.9699
8.0	68.54712
125.0	81.199554
250.0	118.792244
63.0	114.01152
6.6564	46.451866
49.994877	136.732
24.972519	132.83334
425.892	116.99098
19.36944	62.174408
8.0	129.62177
1.0	70.548584
25.0	18.65919
57.0	92.55971
150.0	70.140625
18.0	54.885147
33.43395	122.84288
134.5776	123.05815
34.21575	129.51611
98.85	117.96547
84.2838	133.73184
63.0	106.14362
31.0	98.21781
16.0	78.35898
2.0	58.16118
63.0	83.95155
8.0	59.453888
8.0	82.744675
8.0	72.4491
8.0	52.763474
16.0	63.772617
4.0	70.40252
2.0	79.64143
16.0	66.403336
9.92496	57.15641
200.0	35.284668
25.0	86.74074
12.0	65.6226
6.0	31.580854
4.33743	44.04695
164.9045	107.92259
19.23576	117.65924
64.0	128.25165
5.19664	76.74939
137.57697	42.326458
8.954688	100.002945
97.6248	78.6857
98.886	75.27672
44.3067	124.43025
45.2076	121.350555
3.00978	136.13461
64.0	115.9834
5.12674	104.430145
85.86944	143.56161
24.71936	76.61818
4.14531	112.39159
125.0	127.04045
62.5	120.17706
62.5	85.96747
125.0	108.32739
8.0	107.38426
8.0	123.03531
125.0	130.48734
62.5	131.3414
8.0	121.67529
62.5	120.998215
31.0	99.5448
250.0	120.99838
11.10234	81.67206
200.30849	131.73297
200.149	129.60751
197.1152	117.966965
7.1514	68.72978
4.5456	89.81402
16.0	79.02869
0.48544428	124.07934
21.0	78.53522
43.0	106.483116
38.0	99.264496
28.0	68.28891
10.0	72.456955
41.0	117.70213
11.0	85.078896
8.0	86.631775
31.0	113.744934
48.0	111.886826
43.0	98.26816
23.0	126.499344
28.0	123.95424
38.0	123.48342
31.0	131.63971
60.0	89.89967
31.0	114.423386
61.0	111.23813
3.0	64.44902
2.0	59.069817
2.0	60.21622
2.0	75.45398
69.0	91.42612
2.0	68.35411
22.0	62.901814
22.0	67.89916
7.0	57.586773
14.0	58.247513
8.0	57.59471
12.0	85.57912
4.0	50.204155
5.0	64.03909
24.0	51.274902
14.0	64.324165
7.0	38.68652
28.0	40.397316
9.0	21.4777
164.74368	102.138725
2.1	79.775764
4.0	91.551544
1.0	91.62724
4.6	52.82224
4.7	73.405655
9.7	64.285904
2.2	54.880367
2.2	43.29152
2.1	70.88917
4.4	48.720055
211.0	107.00792
182.0	124.525505
272.70517	89.9073
43.0	105.348816
213.0	108.65818
40.0	108.14029
26.8835	137.67911
27.726244	100.797874
8.7	137.73035
47.42272	28.514309
512.0	97.048645
4.444287	63.24872
14.5177	146.18921
14.9781	115.33252
24.0888	105.50222
14.3478	109.07834
1.44379	88.93387
75.1975	103.17169
22.62954	118.85549
46.381126	120.93359
339.72	131.03748
146.081	134.66115
129.3685	133.9364
63.9335	131.98804
32.605125	121.47162
15.30828	131.94681
8.7294	123.48009
82.5525	105.31004
9.8886	72.18428
219.766	109.605515
482.784	108.69211
97.923	121.95694
14.24755	97.61255
64.20225	113.4006
243.893	112.617294
246.698	110.62786
265.72	56.479637
4.0	93.55648
67.70675	101.89811
17.30154	76.80704
265.414	106.90046
240.993	112.34155
134.3135	94.50146
194.443	117.65181
17.30118	103.15256
30.7089	87.62483
484.372	120.748634
134.3135	96.58052
9.75018	88.0545
66.70976	107.10144
12.728	129.13907
14.49072	126.06386
409.4336	114.63258
32.0	115.991196
3.81192	97.6445
7.66278	116.02251
7.57272	102.42859
15.15138	113.87872
147.834	129.50455
2.0	45.980843
2.0	39.19243
4.0	17.663174
4.0	39.849243
256.0	33.81727
4.0	29.311218
4.0	75.581604
280.5035	129.64798
