true_mic	pred_mic
64.0	92.02834
128.0	82.18901
16.0	58.28733
16.0	54.402435
1024.0	108.60071
1024.0	60.545536
16.0	66.63362
64.0	66.02487
128.0	91.78525
64.0	87.64998
64.0	84.00939
79.55424	110.10594
39.77712	117.269135
40.99472	108.896225
70.456	110.33449
58.92256	117.83391
16.02712	94.13141
14.73064	127.61472
8.01356	110.12017
29.46128	119.17244
28.83664	132.55841
15.35528	119.20999
26.889975	54.36715
16.0	96.53134
5.9650655	50.31961
15.00805	116.13851
64.0	130.99179
8.0	61.92118
4.36809	105.93344
12.47037	69.61454
12.412845	68.280304
12.447624	74.86499
12.505248	63.487293
24.976068	40.804596
24.907175	41.312996
46.5	134.58752
10.4	114.77975
200.0	129.86455
38.3591	134.35045
36.16704	88.90091
159.12183	124.20003
16.0	105.9422
53.107	115.17099
4.0	85.524414
3.931995	113.33012
8.45904	119.58392
5.58308	127.37128
3.4160566	48.843018
250.0	129.94417
125.0	129.15253
32.0	122.529495
125.0	134.07245
32.0	118.278786
16.0	111.27214
62.0	88.32042
8.0	92.2529
8.0	58.809147
62.0	137.36655
16.0	144.10962
128.0	147.11066
8.0	145.93755
64.0	147.49329
32.0	145.40501
64.0	150.63896
16.0	149.13278
64.0	148.58817
16.0	144.5547
2.0	152.61914
32.0	149.54416
16.0	142.18459
16.0	138.83984
4.0	149.47787
3.3282	53.86864
4.95266	137.1215
170.3568	129.91855
38.73888	21.204672
32.0	121.42326
95.973	63.74246
387.1565	130.48862
4.0	49.71907
14.0	110.570656
150.0	99.38216
4.5	91.35343
155.84	131.341
90.969	21.153286
10.64202	112.43375
10.47678	113.62489
59.498	120.40987
33.43395	104.00592
134.5776	99.62384
34.21575	96.89784
98.85	119.53553
84.2838	113.86071
16.0	132.4415
15.92514	70.51514
4.0	77.400024
8.0	101.375916
39.69984	28.729488
79.5824	125.19359
49.5639	113.57649
28.33392	116.58797
140.576	111.62483
12.0	65.2212
41.3664	131.40192
22.53354	122.98057
13.19236	120.503815
12.82384	123.93591
236.5545	53.33172
240.6135	12.75535
7.72005	106.806244
17.78896	90.69822
38.53995	92.97943
50.05322	113.47256
3.84372	107.11951
5.73918	134.51993
35.97062	92.35307
12.9466	80.659836
200.7915	98.33894
38.7571	102.29611
64.0	128.34514
16.0	92.635056
4.0	61.521233
16.0	81.69885
4.0	69.91648
256.0	122.94718
5.19664	96.398575
4.29928	91.25547
2.79834	92.9946
0.125	139.24994
48.8124	73.47406
49.443	63.13243
44.3067	79.89044
45.2076	88.677605
47.879402	96.01582
9.02934	10.154818
67.5051	92.642296
18.08352	91.82521
3.85888	100.28729
74.86825	134.57214
8.94192	132.41982
8.90313	131.17838
47.46672	133.57715
73.1145	136.30443
65.95204	132.77689
4.9451	115.682556
4.94909	116.326904
25.19984	109.17176
79.90276	131.35107
248.95963	132.92744
378.9324	133.79367
4.91395	95.60818
80.65904	126.833
54.378124	88.61604
29.23176	106.85878
42.15075	122.08649
66.36125	92.64196
6.25104	105.43347
19.76382	131.47882
61.7984	25.959064
13.817699	38.97601
63.377625	108.928085
138.381	6.647585
55.693	109.254776
10.09845	125.74246
134.971	26.756512
128.0	116.846115
200.149	132.67972
90.912	45.524097
15.5769	110.03693
9.94818	124.1812
6.37574	115.83834
12.05044	103.413216
15.3132	100.33482
12.38664	107.020386
31.3598	20.546406
20.07224	106.42972
13.69656	120.9226
195.6976	16.108185
377.7375	135.12456
255.314	130.95422
234.295	112.62773
14.6315	72.511536
2.0	81.61772
16.0	84.82663
138.941	114.00447
54.9888	11.247911
225.2464	14.348038
238.7168	63.050465
26.58425	102.62525
28.1965	114.757
21.0	93.628815
43.0	128.97229
38.0	120.36864
16.0	59.860023
5.0	95.15932
41.0	134.13364
11.0	84.36607
16.0	104.282486
49.0	126.576416
48.0	120.53316
43.0	128.27383
23.0	130.3841
28.0	137.33928
38.0	135.04855
31.0	135.42929
60.0	115.14148
31.0	140.2492
61.0	140.40912
3.0	89.27031
2.0	69.44496
2.0	77.26256
2.0	73.030716
34.0	121.29759
2.0	57.561203
16.0	127.13245
22.0	95.123245
13.0	76.14575
9.0	77.0283
8.0	82.369095
22.0	124.020615
2.0	77.21019
10.0	106.16983
24.0	89.675156
28.0	64.03137
3.0	59.180145
37.0	87.65791
6.0	61.08703
17.13324	88.86401
20.59296	113.461395
41.81148	133.98315
300.0	14.514608
53.767	134.35959
22.306076	129.51428
23.6	141.83826
2.8858	38.557564
47.42272	11.929197
41.77792	129.83273
9.35524	137.07568
9.05916	84.240906
23.39862	124.19595
11.78034	119.45323
11.47395	126.721115
11.55219	125.60913
11.54607	121.544174
38.99675	125.03861
136.175	36.87945
139.178	46.80652
8.874375	42.153835
36.29425	19.666336
29.9562	20.65392
16.0592	66.000015
38.72175	76.70233
21.5217	11.475885
21.65685	3.841437
44.42763	95.62535
41.26992	83.1361
23.21963	121.27261
49.00403	129.68457
12.92056	45.632782
9.24462	116.25769
19.03284	121.34732
60.591	136.88821
9.8886	57.351448
16.0	135.33313
219.766	113.92642
120.696	111.9205
48.9615	114.19669
14.24755	118.196655
256.809	120.353546
8.0	58.76081
120.4965	115.278244
484.372	113.7478
20.312876	66.88861
66.70976	125.57768
142.5536	81.24742
75.0	132.25885
18.8	126.7526
64.0	68.35527
100.0	142.01053
100.0	120.95654
100.0	112.54921
23.5471	114.85829
25.0293	101.80981
6.5811	63.706814
34.39098	112.71936
104.7385	122.88387
27.67427	121.24092
43.20176	91.54609
127.713	98.625656
63.106	101.84152
252.523	110.80391
147.834	137.38449
16.3452	106.621216
33.34942	90.57297
64.1075	97.48726
4.0	83.67374
8.0	75.684555
32.0	56.300987
16.0	83.686615
256.0	80.128265
16.0	72.91606
128.0	106.923416
128.3075	134.99454
255.21199	135.97253
250.39421	138.12099
64.0	95.39339
64.0	89.97292
63.653	139.03503
152.8885	134.03592
129.0625	83.86605
5.7	134.22473
500.0	136.62186
5.2	135.10065
2.1	137.01244
15.71375	100.98425
128.93394	98.8365
256.4484	137.9249
3.043053	58.01198
9.296475	60.980366
16.0	117.00999
8.0	89.35664
187.62752	61.21064
11.6586	39.60972
121.545	140.37386
111.33	133.91064
106.812	135.94244
107.311	133.6994
156.58	141.02774
108.47808	145.24948
27.88896	120.9991
25.27808	114.5948
26.19072	105.348015
91.11616	126.571465
136.665	128.39334
85.54304	131.8122
75.54688	135.4855
10.0	27.907902
113.80864	119.18451
10.44528	88.45538
6.88876	40.82631
34.21952	40.308563
147.274	118.05846
144.259	138.80005
150.875	142.59671
45.8958	105.94737
45.8958	89.22923
50.0424	60.43566
37.0112	144.39383
17.007679	75.78991
52.8276	50.426464
54.1884	33.926125
54.83	8.461906
54.1884	19.071835
54.1884	25.846767
56.4328	7.8516965
52.4672	41.592693
54.7496	10.846447
54.1884	17.324368
55.2316	7.4583173
56.4328	8.719771
54.1884	21.398907
54.1884	63.830807
64.0	141.70815
