true_mic	pred_mic
58.04625	119.19654
6.25	36.18535
32.0	92.02834
128.0	82.18901
16.0	58.28733
16.0	54.402435
1024.0	108.60071
1024.0	60.545536
8.0	66.63362
32.0	66.02487
64.0	91.78525
64.0	87.64998
64.0	84.00939
79.55424	110.10594
81.98944	108.896225
70.456	110.33449
58.92256	117.83391
64.10848	94.13141
58.92256	127.61472
57.67328	132.55841
61.42112	119.20999
382.376	50.31961
9.00483	116.13851
29.19925	84.46542
28.296875	122.99103
57.64575	122.25658
233.787	119.11308
235.196	84.69351
14.2365	94.937195
229.386	84.18594
139.77888	105.93344
7.1228557	7.710101
23.4949	69.61454
3.034251	68.280304
6.223812	74.86499
1.563156	63.487293
6.40412	40.804596
6.226794	41.312996
500.0	134.58752
10.4	114.77975
512.0	129.86455
207.5502	124.20003
218.978	48.843018
100.0	137.36655
128.0	138.83984
128.0	149.47787
8.0	81.63262
125.0	89.86543
250.0	122.18296
63.0	104.05267
6.6564	53.86864
49.994877	132.9187
24.972519	134.13763
425.892	129.91855
19.36944	21.204672
8.0	121.42326
1.0	84.05028
25.0	49.71907
57.0	110.570656
150.0	99.38216
18.0	91.35343
33.43395	104.00592
134.5776	99.62384
34.21575	96.89784
98.85	119.53553
84.2838	113.86071
63.0	97.46433
31.0	124.65062
16.0	108.96618
2.0	39.97325
63.0	103.897896
8.0	65.94596
8.0	100.11427
8.0	108.4371
8.0	26.477879
16.0	85.51492
4.0	77.47815
2.0	77.400024
16.0	70.88345
9.92496	28.729488
200.0	65.2212
25.0	81.09981
12.0	54.128174
6.0	58.88275
4.33743	57.769047
164.9045	120.503815
19.23576	123.93591
64.0	128.34514
5.19664	96.398575
137.57697	91.25547
8.954688	92.9946
97.6248	73.47406
98.886	63.13243
44.3067	79.89044
45.2076	88.677605
3.00978	10.154818
64.0	122.08649
5.12674	84.57332
85.86944	64.920204
24.71936	25.959064
4.14531	38.97601
125.0	129.79779
62.5	131.66388
62.5	100.58562
125.0	113.60724
8.0	100.18965
8.0	116.846115
125.0	127.454796
62.5	124.11934
8.0	125.68141
62.5	128.12498
31.0	106.29538
250.0	131.91402
11.10234	53.60032
200.30849	134.74329
200.149	132.67972
197.1152	124.81289
7.1514	82.5582
4.5456	45.524097
16.0	84.82663
0.48544428	127.42855
21.0	93.628815
43.0	128.97229
38.0	120.36864
28.0	59.860023
10.0	95.15932
41.0	134.13364
11.0	84.36607
8.0	104.282486
31.0	126.576416
48.0	120.53316
43.0	128.27383
23.0	130.3841
28.0	137.33928
38.0	135.04855
31.0	135.42929
60.0	115.14148
31.0	140.2492
61.0	140.40912
3.0	89.27031
2.0	69.44496
2.0	77.26256
2.0	73.030716
69.0	121.29759
2.0	57.561203
22.0	127.13245
22.0	95.123245
7.0	76.14575
14.0	77.0283
8.0	82.369095
12.0	124.020615
4.0	77.21019
5.0	106.16983
24.0	89.675156
14.0	64.03137
7.0	59.180145
28.0	87.65791
9.0	61.08703
164.74368	113.461395
2.1	103.93528
4.0	117.01229
1.0	123.71938
4.6	58.424522
4.7	115.168076
9.7	92.01267
2.2	79.971344
2.2	50.71698
2.1	93.25366
4.4	74.039536
211.0	132.68924
182.0	144.03928
272.70517	126.58383
43.0	121.15102
213.0	131.41696
40.0	125.70438
26.8835	134.35959
27.726244	129.51428
8.7	141.83826
47.42272	11.929197
512.0	120.178375
4.444287	42.153835
14.5177	19.666336
14.9781	20.65392
24.0888	66.000015
14.3478	11.475885
1.44379	3.841437
75.1975	67.56659
22.62954	122.94965
46.381126	122.51369
339.72	133.93213
146.081	137.1745
129.3685	124.36155
63.9335	120.49906
32.605125	113.91222
15.30828	130.7245
8.7294	13.910324
82.5525	69.267975
9.8886	57.351448
219.766	113.92642
482.784	111.9205
97.923	114.19669
14.24755	118.196655
64.20225	120.353546
243.893	120.3699
246.698	121.01161
265.72	73.029915
4.0	58.76081
67.70675	114.57439
17.30154	86.53816
265.414	112.34396
240.993	115.278244
134.3135	115.744156
194.443	112.82825
17.30118	119.5724
30.7089	95.563
484.372	113.7478
134.3135	117.39792
9.75018	66.88861
66.70976	125.57768
12.728	81.24742
14.49072	67.4312
409.4336	120.90469
32.0	68.35527
3.81192	91.54609
7.66278	98.625656
7.57272	101.84152
15.15138	110.80391
147.834	137.38449
2.0	83.67374
2.0	75.684555
4.0	56.300987
4.0	83.686615
256.0	80.128265
4.0	72.91606
4.0	106.923416
280.5035	135.97253
105.9904	56.6633
13.00856	34.344196
6.6244	6.8507376
26.01712	12.646984
51.16928	5.729828
6.7928	8.719673
3.34234	2.4232678
2.0	95.39339
2.0	89.97292
136.4908	132.0144
66.5218	124.044525
232.208	135.4111
51.4688	55.99165
220.31232	33.427628
611.554	134.03592
7.504575	103.517654
31.6191	71.10344
14.38785	89.422226
567.2025	87.207695
581.7275	78.89222
574.715	91.22298
581.7275	78.68852
7.74375	83.86605
19.393438	81.881805
4.91352	73.89845
9.563438	76.1724
9.619331	65.686966
9.662824	64.863716
4.936064	52.52997
128.0	134.22473
500.0	136.62186
500.0	135.10065
500.0	137.01244
4.0	100.98425
16.0	117.00999
8.0	89.35664
0.12382076	122.615845
121.545	140.37386
111.33	133.91064
106.812	135.94244
107.311	133.6994
156.58	141.02774
169.497	145.24948
55.77792	120.9991
50.55616	114.5948
13.09536	105.348015
142.369	126.571465
136.665	128.39334
85.54304	131.8122
118.042	135.4855
3.13	27.907902
147.274	118.05846
144.259	138.80005
150.875	142.59671
45.8958	105.94737
91.7916	89.22923
8.3404	60.43566
148.0448	144.39383
8.5038395	75.78991
50.0	134.14716
32.0	118.73907
802.569	101.24787
802.569	99.446526
204.921	98.413284
16.0	63.70578
16.6	122.03775
6.10992	59.383644
6.28404	88.289215
104.0325	89.82781
205.26	91.12311
101.9285	90.25842
5.97756	83.87131
23.129875	38.557327
5.43096	41.05532
45.909	64.435776
5.46108	50.1614
11.01258	40.722824
5.37999	33.93595
5.60247	27.36764
11.63772	30.864426
87.07675	137.59604
6.25	133.30725
25.0	133.96927
12.5	131.16687
50.0	135.86249
