true_mic	pred_mic
64.0	21.2403
128.0	17.0334
16.0	9.7806
16.0	9.4529
1024.0	14.6327
1024.0	11.8135
16.0	5.3165
64.0	7.6171
128.0	9.0536
64.0	17.6141
64.0	23.0372
79.55424	36.6226
39.77712	18.0633
40.99472	16.4495
70.456	17.6417
58.92256	30.9028
16.02712	24.0368
14.73064	67.0629
8.01356	24.1758
29.46128	24.6273
28.83664	46.9651
15.35528	18.2336
26.889975	3.6098
16.0	5.912
5.9650655	3.5346
15.00805	3.189
64.0	39.8082
8.0	9.8125
4.36809	31.3011
12.47037	3.8725
12.412845	2.2683
12.447624	7.5462
12.505248	2.4441
24.976068	2.1533
24.907175	2.5703
46.5	10221.6387
10.4	12.7931
200.0	13.7045
38.3591	34.6798
36.16704	4.0017
159.12183	6.7105
16.0	4.4479
53.107	26.4404
4.0	6.1972
3.931995	26.7673
8.45904	7.3768
5.58308	7.4941
3.4160566	4.6537
250.0	43.2312
125.0	7.0028
32.0	5.046
125.0	9.9372
32.0	5.7204
16.0	4.8865
62.0	3.9748
8.0	3.7788
8.0	3.0137
62.0	17.5295
16.0	51.7027
128.0	42.267
8.0	85.1442
64.0	112.8997
32.0	88.4576
64.0	67.0726
16.0	74.9978
64.0	111.835
16.0	42.7647
2.0	41.052
32.0	29.4073
16.0	24.5516
16.0	88.2722
4.0	47.3632
3.3282	3.3096
4.95266	10102.9219
170.3568	86.9782
38.73888	6.9015
32.0	8.7554
95.973	8.1979
387.1565	38.085
4.0	4.0542
14.0	8060.5854
150.0	13.2436
4.5	3.3207
155.84	107.4869
90.969	12.9379
10.64202	46.3329
10.47678	48.0378
59.498	14.8103
33.43395	7.2663
134.5776	4.5774
34.21575	5.5757
98.85	15.9013
84.2838	13.2897
16.0	4.9444
15.92514	3.76
4.0	4.3642
8.0	22.7115
39.69984	6.348
79.5824	17.2595
49.5639	11.5081
28.33392	12.1391
140.576	104.4024
12.0	9.3686
41.3664	7.1169
22.53354	3.2433
13.19236	24.3968
12.82384	8.9133
236.5545	12.6122
240.6135	11.6144
7.72005	3.548
17.78896	3.6572
38.53995	3.7971
50.05322	3.4746
3.84372	4.5414
5.73918	2.6255
35.97062	4.2613
12.9466	4.1745
200.7915	4.7274
38.7571	2.889
64.0	42.8982
16.0	6.8096
4.0	41.3688
16.0	39.4952
4.0	11.1494
256.0	150.9969
5.19664	6.8142
4.29928	7.045
2.79834	5.292
0.125	109.2744
48.8124	24.4505
49.443	48.5483
44.3067	65.6811
45.2076	131.5369
47.879402	13.7724
