true_mic	pred_mic
58.04625	9.5926
6.25	3.8047
32.0	21.2403
128.0	17.0334
16.0	9.7806
16.0	9.4529
1024.0	14.6327
1024.0	11.8135
8.0	5.3165
32.0	7.6171
64.0	9.0536
64.0	17.6141
64.0	23.0372
79.55424	36.6226
81.98944	16.4495
70.456	17.6417
58.92256	30.9028
64.10848	24.0368
58.92256	67.0629
57.67328	46.9651
61.42112	18.2336
382.376	3.5346
9.00483	3.189
29.19925	7.1781
28.296875	8.1749
57.64575	11.2733
233.787	16.9679
235.196	14.1588
14.2365	6.2241
229.386	13.6405
139.77888	31.3011
7.1228557	6.0846
23.4949	3.8725
3.034251	2.2683
6.223812	7.5462
1.563156	2.4441
6.40412	2.1533
6.226794	2.5703
500.0	10221.6387
10.4	12.7931
512.0	13.7045
207.5502	6.7105
218.978	4.6537
100.0	17.5295
128.0	88.2722
128.0	47.3632
8.0	4.0119
125.0	8.9201
250.0	11.4568
63.0	8.2247
6.6564	3.3096
49.994877	94.8599
24.972519	75.2777
425.892	86.9782
19.36944	6.9015
8.0	8.7554
1.0	2.9437
25.0	4.0542
57.0	8060.5854
150.0	13.2436
18.0	3.3207
33.43395	7.2663
134.5776	4.5774
34.21575	5.5757
98.85	15.9013
84.2838	13.2897
63.0	5.6764
31.0	5.3945
16.0	4.7365
2.0	3.0959
63.0	4.3651
8.0	4.5282
8.0	4.4612
8.0	3.797
8.0	3.1438
16.0	4.8028
4.0	4.6888
2.0	4.3642
16.0	4.4637
9.92496	6.348
200.0	9.3686
25.0	6.3331
12.0	4.9377
6.0	4.0115
4.33743	3.0985
164.9045	24.3968
19.23576	8.9133
64.0	42.8982
5.19664	6.8142
137.57697	7.045
8.954688	5.292
97.6248	24.4505
98.886	48.5483
44.3067	65.6811
45.2076	131.5369
3.00978	7.2959
64.0	5.4034
5.12674	3.8741
85.86944	10.0122
24.71936	27.0209
4.14531	8.1966
125.0	5.1005
62.5	5.7598
62.5	1.083
125.0	2.749
8.0	3.6155
8.0	3.7006
125.0	8.0668
62.5	6.4334
8.0	4.0995
62.5	20.716
31.0	5.3283
250.0	5.5126
11.10234	10.5618
200.30849	27.7059
200.149	73.0265
197.1152	58.2631
7.1514	7.485
4.5456	12.2575
16.0	3.6487
0.48544428	10802.6719
21.0	8.2233
43.0	10.1451
38.0	8.603
28.0	12.4612
10.0	10.7645
41.0	12.9162
11.0	8.639
8.0	6.9341
31.0	13.0102
48.0	30.965
43.0	14.3336
23.0	21.7277
28.0	17.0397
38.0	15.0071
31.0	43.1372
60.0	9.9422
31.0	12.4138
61.0	15.074
3.0	9.9643
2.0	7.1528
2.0	8.1238
2.0	7.7719
69.0	38.3843
2.0	4.1078
22.0	14.6133
22.0	9.7218
7.0	4.6847
14.0	6.3058
8.0	6.9877
12.0	16.0154
4.0	3.7654
5.0	11.5535
24.0	7.9353
14.0	11.888
7.0	8.3075
28.0	11.5641
9.0	11.2049
164.74368	21.5137
2.1	3.1067
4.0	3.9119
1.0	3.4486
4.6	3.4509
4.7	3.1364
9.7	3.4323
2.2	3.4057
2.2	3.0544
2.1	3.675
4.4	3.5104
211.0	12.1094
182.0	25.9726
272.70517	81.4188
43.0	7.5264
213.0	8.3523
40.0	59.6037
26.8835	8.3022
27.726244	3.7613
8.7	28.681
47.42272	14.5816
512.0	7.86
4.444287	9.7478
14.5177	5.5935
14.9781	8.8977
24.0888	6.4898
14.3478	6.9967
1.44379	6.3216
75.1975	10.0826
22.62954	3.8708
46.381126	3.7826
339.72	69.3551
146.081	30.8561
129.3685	8.5255
63.9335	9.9285
32.605125	4.3809
15.30828	9.5017
8.7294	12.6978
82.5525	14.365
9.8886	29.3295
219.766	49.9265
482.784	42.1134
97.923	8.5124
14.24755	7.7813
64.20225	17.2138
243.893	42.8318
246.698	53.0331
265.72	29.864
4.0	17.0223
67.70675	16.5929
17.30154	5.3261
265.414	57.3132
240.993	48.0966
134.3135	22.6486
194.443	14.7536
17.30118	7.0146
30.7089	5.0142
484.372	47.1017
134.3135	24.9873
9.75018	14.0534
66.70976	3.7549
12.728	7.847
14.49072	19.2262
409.4336	5.3068
32.0	3.9705
3.81192	3.4809
7.66278	3.6484
7.57272	4.091
15.15138	4.3279
147.834	23.7718
2.0	5.6271
2.0	5.5387
4.0	5.642
4.0	5.8235
256.0	5.6994
4.0	5.4201
4.0	7.5897
280.5035	101.8117
105.9904	11.3654
13.00856	9.3527
6.6244	5.7308
26.01712	6.5602
51.16928	7.2072
6.7928	4.8889
3.34234	5.7029
2.0	5.8781
2.0	6.0787
136.4908	101.7596
66.5218	14.4483
232.208	38.8485
51.4688	14.2003
220.31232	11.3918
611.554	48.8506
7.504575	4.1141
31.6191	11.4238
14.38785	7.0754
567.2025	29.0415
581.7275	29.6961
574.715	20.3606
581.7275	22.7338
7.74375	9.5586
19.393438	4.8079
4.91352	4.415
9.563438	4.0131
9.619331	4.2079
9.662824	3.9295
4.936064	3.7719
128.0	316.6417
500.0	7263.688
500.0	10259.3047
500.0	73.6648
4.0	13.8422
16.0	11.7001
8.0	4.4556
0.12382076	3861.7625
121.545	53.9954
111.33	43.146
106.812	4755.6836
107.311	10998.8555
156.58	13.9049
169.497	13.6373
55.77792	7.3402
50.55616	7.1455
13.09536	4.8857
142.369	10.9154
136.665	15.1202
85.54304	9.8362
118.042	5.9434
3.13	5.9061
147.274	19.9258
144.259	67.0397
150.875	13.4051
45.8958	6.21
91.7916	6.1004
8.3404	4.6379
148.0448	20.2695
8.5038395	5.481
50.0	6.6194
32.0	15.5145
802.569	24.5882
802.569	16.5863
204.921	15.6954
16.0	5.7024
16.6	4.7267
6.10992	11.3053
6.28404	12.3072
104.0325	14.7759
205.26	11.8761
101.9285	16.1061
5.97756	10.4494
23.129875	7.9336
5.43096	10.033
45.909	8.6912
5.46108	5.2348
11.01258	4.9789
5.37999	5.3231
5.60247	4.7676
11.63772	4.9912
87.07675	10213.1582
6.25	4.4683
25.0	4.54
12.5	4.4448
50.0	10.717
6.25	1.9455
3.5179715	4.0671
464.06528	64.5358
368.8435	35.2321
294.38208	142.6102
292.71808	36.5992
265.80225	31.5952
245.80992	36.5994
213.38625	60.3038
204.41344	165.5092
406.52032	164.4444
393.8176	79.0788
393.8253	11.0165
24.78256	28.4468
42.0	3.5768
50.0	13.5971
50.0	7.3816
46.5412	17.8343
16.0	17.1758
61.80992	8.5911
2.7	3.5195
2.7	2.1661
32.0	48.3843
2.9436	3.27
2.81745	3.7677
687.45215	1254.0614
58.92096	14.741
598.46655	34.4816
645.8803	77.9627
43.35088	12.3465
41.18592	11.3064
321.53983	75.5013
344.61313	87.8218
26.91488	4.9084
517.7549	25.2031
6.25	4.2885
32.20125	10.9947
34.128376	17.067
42.129	18.9296
47.4095	12.5168
25.0	3.5151
300.0	475.9134
16.0	2.5106
16.0	11.4306
306.073	17.3855
14.1783	9.9504
13.8381	10.6409
12.03995	15.8766
502.216	95.8768
504.4608	80.4925
12.5	4.5585
447.4095	40.7288
7.73193	3.5402
7.83111	3.799
3.941115	3.7153
7.79211	4.1519
9.6924	3.8061
9.36588	4.1022
15.1815	5.3562
200.0	11.2737
300.0	41.1974
18.75	2.833
300.0	46.4206
150.0	8.7315
300.0	111.1914
300.0	59.0378
8.0	5.2749
1.459899	2.8887
1.399643	2.6899
1.082809	2.9765
1.082809	3.1501
3.095001	3.35
1.703748	3.0904
1.826162	3.8149
3.20328	3.5665
0.92812204	2.9532
1.055481	2.8617
1.042881	4.1589
3.925643	5.2828
1.571652	3.5237
1.9159529	3.1615
4.929474	2.8508
3.46818	6.3178
3.296976	3.1163
1.862994	3.1998
2.551016	4.3467
4.67824	9.8319
2.109888	3.5169
1.831323	3.2481
7.500735	3.0582
1.76111	3.4989
1.886752	3.5174
3.506166	5.0862
1.58302	4.4165
4.224153	4.0903
3.63155	3.1479
3.360285	5.2079
114.32013	22.1142
3.902414	4.7285
3.553524	3.7787
38.0	9.5599
250.0	17.7382
73.6	4.0796
4.82212	6.0802
116.2975	5.5053
221.982	16.0647
1.207515	4.9356
72.7525	4.103
9.89316	4.2567
1.0	13.3141
10.0	63.389
10.0	52.8633
25.0	30.4019
25.0	33.463
2.2938	4.033
32.0	4.5225
8.0	4.932
32.0	5.0546
16.0	4.6914
32.0	7.3318
16.0	4.6704
16.0	5.8073
32.0	5.2589
64.0	10.0083
16.0	4.552
0.1230642	216.0482
128.0	71.2521
128.0	21.1669
32.0	14.4332
128.0	22.823
15.33184	3.4056
44.34688	4.2405
21.74128	3.6885
512.0	13.8719
512.0	52.2374
512.0	79.3684
512.0	69.3538
512.0	64.1309
512.0	156.563
512.0	102.8653
