true_mic	pred_mic
64.0	15.5144
128.0	13.2536
16.0	11.7006
16.0	20.4595
1024.0	19.6105
1024.0	14.2995
16.0	10.5724
64.0	11.6294
128.0	12.4307
64.0	11.3497
64.0	12.9322
79.55424	22.8473
39.77712	5.525
40.99472	14.4946
70.456	6.8606
58.92256	7.1156
16.02712	2.6829
14.73064	2.0429
8.01356	1.8345
29.46128	3.931
28.83664	2.543
15.35528	2.0996
26.889975	7.2652
16.0	14.4628
5.9650655	0.7443
15.00805	8.295
64.0	9.6456
8.0	2.1754
4.36809	2.6756
12.47037	2.6505
12.412845	2.0094
12.447624	4.6742
12.505248	4.045
24.976068	2.1623
24.907175	1.9375
46.5	10389.7227
10.4	6.9632
200.0	46.0703
38.3591	8.6649
36.16704	15.2084
159.12183	3.0674
16.0	28.2239
53.107	14.8063
4.0	27.1275
3.931995	17.7139
8.45904	25.2582
5.58308	7.7007
3.4160566	2.8801
250.0	5.6658
125.0	5.5469
32.0	5.1106
125.0	4.1964
32.0	4.112
16.0	4.2923
62.0	9.0456
8.0	5.0496
8.0	0.7752
62.0	12.7609
16.0	5.5272
128.0	11.7921
8.0	12.1779
64.0	15.2583
32.0	21.6032
64.0	5.7466
16.0	5.1868
64.0	27.7034
16.0	3.0533
2.0	3.7121
32.0	3.6492
16.0	3.9594
16.0	6.8641
4.0	3.9685
3.3282	2.3504
4.95266	102.6409
170.3568	5.5545
38.73888	5.1677
32.0	5.7311
95.973	5.2422
387.1565	13.5565
4.0	2.9434
14.0	24.3337
150.0	4.0841
4.5	2.7495
155.84	45.7082
90.969	7.7812
10.64202	5.5181
10.47678	5.2535
59.498	10.9711
33.43395	27.4913
134.5776	14.2856
34.21575	8.9332
98.85	19.1529
84.2838	37.8507
16.0	2.8355
15.92514	5.509
4.0	3.0187
8.0	3.5604
39.69984	5.244
79.5824	15.3532
49.5639	16.114
28.33392	7.7325
140.576	43.3533
12.0	2.588
41.3664	33.2429
22.53354	6.9781
13.19236	8.1356
12.82384	8.2388
236.5545	3.5543
240.6135	8.7898
7.72005	10.5402
17.78896	13.1484
38.53995	17.2681
50.05322	9.4305
3.84372	6.4183
5.73918	5.7027
35.97062	15.8579
12.9466	19.4757
200.7915	38.4909
38.7571	9.9916
64.0	35.8567
16.0	3.0882
4.0	2.9106
16.0	3.3265
4.0	2.6427
256.0	3.6997
5.19664	3.6148
4.29928	1.5035
2.79834	4.8315
0.125	1.3327
48.8124	4.7681
49.443	3.8757
44.3067	30.3955
45.2076	35.7042
47.879402	10.0686
9.02934	3.6222
67.5051	10.0973
18.08352	10.4668
3.85888	3.4425
74.86825	8.866
8.94192	12.2917
8.90313	8.2692
47.46672	10.1187
73.1145	14.3474
65.95204	13.2624
4.9451	1.631
4.94909	1.4223
25.19984	24.0349
79.90276	18.7152
248.95963	59.0019
378.9324	53.5543
4.91395	2.8928
80.65904	18.4226
54.378124	4.8607
29.23176	1.8687
42.15075	7.0822
66.36125	7.7974
6.25104	3.0095
19.76382	3.6996
61.7984	10.1963
13.817699	5.0095
63.377625	15.8857
138.381	3.6391
55.693	9.0354
10.09845	6.5215
134.971	19.1234
128.0	30.9358
200.149	16.55
90.912	6.6258
15.5769	4.252
9.94818	8.4916
6.37574	4.3124
12.05044	5.9583
15.3132	5.9317
12.38664	4.9623
31.3598	6.9226
20.07224	11.7614
13.69656	2.9802
195.6976	5.4113
377.7375	16.0328
255.314	55.3096
234.295	37.0434
14.6315	5.7729
2.0	4.7767
16.0	8.9954
138.941	36.7006
54.9888	11.5651
225.2464	25.7821
238.7168	28.1488
26.58425	10.3307
28.1965	6.9518
21.0	3.4664
43.0	3.3184
38.0	2.9445
16.0	2.8624
5.0	3.2448
41.0	2.8146
11.0	2.9806
16.0	3.3508
49.0	3.262
48.0	4.6576
43.0	3.0858
23.0	3.0669
28.0	3.2823
38.0	2.9558
31.0	3.1477
60.0	3.4151
31.0	3.0367
61.0	3.0754
3.0	3.168
2.0	3.0727
2.0	2.8522
2.0	2.6598
34.0	2.9521
2.0	3.2443
16.0	2.9876
22.0	3.6607
13.0	3.5874
9.0	3.4383
8.0	3.4318
22.0	3.2849
2.0	4.0045
10.0	3.879
24.0	3.408
28.0	3.4942
3.0	2.6625
37.0	3.9135
6.0	3.4498
17.13324	10.623
20.59296	4.3592
41.81148	3.9775
300.0	3.7397
53.767	4.432
22.306076	1.7064
23.6	10.0601
2.8858	3.147
47.42272	4.7033
41.77792	12.8926
