true_mic	pred_mic
58.04625	4.6292
6.25	1.3816
32.0	15.5144
128.0	13.2536
16.0	11.7006
16.0	20.4595
1024.0	19.6105
1024.0	14.2995
8.0	10.5724
32.0	11.6294
64.0	12.4307
64.0	11.3497
64.0	12.9322
79.55424	22.8473
81.98944	14.4946
70.456	6.8606
58.92256	7.1156
64.10848	2.6829
58.92256	2.0429
57.67328	2.543
61.42112	2.0996
382.376	0.7443
9.00483	8.295
29.19925	3.1197
28.296875	12.7113
57.64575	14.5986
233.787	3.7352
235.196	3.4518
14.2365	6.9883
229.386	5.2528
139.77888	2.6756
7.1228557	5.3915
23.4949	2.6505
3.034251	2.0094
6.223812	4.6742
1.563156	4.045
6.40412	2.1623
6.226794	1.9375
500.0	10389.7227
10.4	6.9632
512.0	46.0703
207.5502	3.0674
218.978	2.8801
100.0	12.7609
128.0	6.8641
128.0	3.9685
8.0	2.0682
125.0	2.5659
250.0	2.7939
63.0	2.9083
6.6564	2.3504
49.994877	8.9554
24.972519	18.5342
425.892	5.5545
19.36944	5.1677
8.0	5.7311
1.0	1.0828
25.0	2.9434
57.0	24.3337
150.0	4.0841
18.0	2.7495
33.43395	27.4913
134.5776	14.2856
34.21575	8.9332
98.85	19.1529
84.2838	37.8507
63.0	3.0638
31.0	2.3386
16.0	2.1679
2.0	2.1522
63.0	2.4517
8.0	2.7978
8.0	2.4809
8.0	2.4711
8.0	4.9277
16.0	3.312
4.0	3.3183
2.0	3.0187
16.0	2.9875
9.92496	5.244
200.0	2.588
25.0	2.5046
12.0	2.1668
6.0	2.1757
4.33743	5.071
164.9045	8.1356
19.23576	8.2388
64.0	35.8567
5.19664	3.6148
137.57697	1.5035
8.954688	4.8315
97.6248	4.7681
98.886	3.8757
44.3067	30.3955
45.2076	35.7042
3.00978	3.6222
64.0	7.0822
5.12674	16.2284
85.86944	10.3047
24.71936	10.1963
4.14531	5.0095
125.0	6.5725
62.5	7.0785
62.5	2.348
125.0	3.7131
8.0	17.6839
8.0	30.9358
125.0	4.0312
62.5	8.0821
8.0	19.1045
62.5	27.3469
31.0	8.5123
250.0	8.4172
11.10234	3.7194
200.30849	6.5571
200.149	16.55
197.1152	7.0223
7.1514	24.3958
4.5456	6.6258
16.0	8.9954
0.48544428	9907.0312
21.0	3.4664
43.0	3.3184
38.0	2.9445
28.0	2.8624
10.0	3.2448
41.0	2.8146
11.0	2.9806
8.0	3.3508
31.0	3.262
48.0	4.6576
43.0	3.0858
23.0	3.0669
28.0	3.2823
38.0	2.9558
31.0	3.1477
60.0	3.4151
31.0	3.0367
61.0	3.0754
3.0	3.168
2.0	3.0727
2.0	2.8522
2.0	2.6598
69.0	2.9521
2.0	3.2443
22.0	2.9876
22.0	3.6607
7.0	3.5874
14.0	3.4383
8.0	3.4318
12.0	3.2849
4.0	4.0045
5.0	3.879
24.0	3.408
14.0	3.4942
7.0	2.6625
28.0	3.9135
9.0	3.4498
164.74368	4.3592
2.1	4.996
4.0	4.9361
1.0	5.7641
4.6	4.4656
4.7	3.7541
9.7	2.8607
2.2	4.7346
2.2	3.9648
2.1	3.5298
4.4	3.3032
211.0	2.939
182.0	2.9719
272.70517	3.0713
43.0	4.6943
213.0	3.2113
40.0	4.6496
26.8835	4.432
27.726244	1.7064
8.7	10.0601
47.42272	4.7033
512.0	7.0828
4.444287	3.4677
14.5177	3.4195
14.9781	3.8302
24.0888	3.4827
14.3478	4.1072
1.44379	3.8613
75.1975	5.8218
22.62954	22.9967
46.381126	27.824
339.72	20.0583
146.081	62.5865
129.3685	40.0073
63.9335	36.6069
32.605125	18.1668
15.30828	42.3412
8.7294	6.5609
82.5525	7.1489
9.8886	4.5866
219.766	27.8639
482.784	21.3591
97.923	5.1049
14.24755	5.0201
64.20225	17.294
243.893	30.5715
246.698	36.5533
265.72	8.8554
4.0	8.8034
67.70675	17.5516
17.30154	11.7891
265.414	7.7305
240.993	19.3428
134.3135	11.0111
194.443	6.0124
17.30118	5.2251
30.7089	11.8084
484.372	39.7966
134.3135	11.8534
9.75018	4.9656
66.70976	2.5297
12.728	7.0131
14.49072	56.8772
409.4336	2.6708
32.0	5.9785
3.81192	17.2986
7.66278	11.1361
7.57272	17.0049
15.15138	20.7798
147.834	9.2757
2.0	4.8673
2.0	5.1529
4.0	4.2345
4.0	5.7582
256.0	5.9209
4.0	5.4897
4.0	5.376
280.5035	35.6438
105.9904	33.9779
13.00856	19.1648
6.6244	5.8254
26.01712	13.3981
51.16928	8.7315
6.7928	3.2477
3.34234	4.7903
2.0	6.7877
2.0	8.5191
136.4908	12.382
66.5218	8.9247
232.208	65.0114
51.4688	6.4109
220.31232	24.4141
611.554	12.4465
7.504575	4.6737
31.6191	9.7307
14.38785	34.1353
567.2025	7.3041
581.7275	5.5515
574.715	6.5847
581.7275	7.0785
7.74375	24.1877
19.393438	5.9284
4.91352	3.9284
9.563438	5.4145
9.619331	3.0705
9.662824	2.9922
4.936064	2.7094
128.0	20.3821
500.0	375.9939
500.0	8424.5762
500.0	2.0415
4.0	9.4004
16.0	10.0453
8.0	2.6656
0.12382076	9995.6201
121.545	3.9671
111.33	17.2008
106.812	1139.5887
107.311	2822.77
156.58	8.7029
169.497	7.398
55.77792	5.8709
50.55616	7.408
13.09536	6.0267
142.369	4.2698
136.665	5.4099
85.54304	5.0113
118.042	3.1407
3.13	3.527
147.274	4.227
144.259	12.1044
150.875	3.4822
45.8958	6.3957
91.7916	4.1891
8.3404	5.4918
148.0448	3.9988
8.5038395	4.2894
50.0	7.4444
32.0	13.3724
802.569	17.7326
802.569	15.7485
204.921	11.1484
16.0	3.2338
16.6	1.7668
6.10992	2.9694
6.28404	3.6312
104.0325	3.204
205.26	3.1633
101.9285	3.2238
5.97756	4.0271
23.129875	3.7894
5.43096	3.8038
45.909	4.1634
5.46108	2.7756
11.01258	3.0048
5.37999	3.4893
5.60247	2.84
11.63772	2.5704
87.07675	9451.2578
6.25	0.4351
25.0	0.5156
12.5	0.5753
50.0	9.2944
6.25	2.07
3.5179715	4.8549
464.06528	12.8502
368.8435	8.3601
294.38208	8.13
292.71808	9.1893
265.80225	5.5808
245.80992	5.4741
213.38625	3.8778
204.41344	7.4144
406.52032	4.9942
393.8176	60.6472
393.8253	54.3444
24.78256	18.8355
42.0	1.253
50.0	3.2341
50.0	3.7725
46.5412	2.8756
16.0	2.8341
61.80992	10.1774
2.7	4.561
2.7	15.0457
32.0	7.3753
2.9436	5.1078
2.81745	14.0102
687.45215	5.6915
58.92096	6.4681
598.46655	26.0035
645.8803	10.0167
43.35088	3.8367
41.18592	4.3439
321.53983	7.1499
344.61313	5.173
26.91488	3.8882
517.7549	12.656
6.25	3.8805
32.20125	9.2351
34.128376	15.7203
42.129	3.3981
47.4095	3.0163
25.0	4.2758
300.0	77.1029
16.0	13.9419
16.0	3.895
306.073	7.7364
14.1783	4.0476
13.8381	3.6485
12.03995	7.0507
502.216	41.1264
504.4608	43.5047
12.5	3.9757
447.4095	18.5982
7.73193	10.3819
7.83111	12.2782
3.941115	11.6673
7.79211	11.933
9.6924	2.7409
9.36588	2.3064
15.1815	11.2433
200.0	7.1284
300.0	41.9418
18.75	18.719
300.0	12.059
150.0	16.3744
300.0	28.4761
300.0	151.3698
8.0	3.8201
1.459899	7.5747
1.399643	8.2437
1.082809	5.0666
1.082809	5.9039
3.095001	5.3661
1.703748	5.4557
1.826162	4.8061
3.20328	3.2023
0.92812204	5.9039
1.055481	5.752
1.042881	5.8395
3.925643	3.304
1.571652	2.6914
1.9159529	5.6095
4.929474	3.5292
3.46818	5.1013
3.296976	5.1087
1.862994	4.0964
2.551016	4.3171
4.67824	13.5561
2.109888	4.0833
1.831323	4.2829
7.500735	3.3337
1.76111	4.5017
1.886752	2.8344
3.506166	2.6197
1.58302	2.1011
4.224153	2.6264
3.63155	2.6632
3.360285	2.51
114.32013	4.5961
3.902414	3.0381
3.553524	3.9142
38.0	2.8758
250.0	13.0744
73.6	11.353
4.82212	3.5026
116.2975	4.5503
221.982	4.4198
1.207515	4.1873
72.7525	4.3967
9.89316	10.3437
1.0	2.1087
10.0	3.0077
10.0	6.6463
25.0	3.1501
25.0	23.9788
2.2938	2.7975
32.0	2.5864
8.0	2.7426
32.0	2.4741
16.0	2.6413
32.0	2.7787
16.0	2.5809
16.0	2.6236
32.0	2.526
64.0	3.2009
16.0	2.7977
0.1230642	9876.3828
128.0	3.3377
128.0	3.3018
32.0	5.7367
128.0	3.7153
15.33184	2.9562
44.34688	4.634
21.74128	4.4038
512.0	3.8597
512.0	4.2371
512.0	3.6647
512.0	3.9168
512.0	4.6275
512.0	26.0393
512.0	3.0448
