true_mic	pred_mic
64.0	48.226
128.0	76.0642
16.0	22.0838
16.0	27.9674
1024.0	61.3916
1024.0	35.9714
16.0	1.244
64.0	1.8109
128.0	36.1013
64.0	25.6146
64.0	89.5454
79.55424	4.487
39.77712	3.5076
40.99472	8.8187
70.456	8.957
58.92256	11.0817
16.02712	8.2752
14.73064	8.387
8.01356	6.1189
29.46128	4.1349
28.83664	5.3994
15.35528	9.5144
26.889975	0.4851
16.0	19.565
5.9650655	5.5825
15.00805	0.5262
64.0	0.4561
8.0	2.9152
4.36809	72.6249
12.47037	0.2247
12.412845	0.2383
12.447624	413.6888
12.505248	0.1588
24.976068	0.358
24.907175	0.4806
46.5	14294.2969
10.4	2.069
200.0	22.9193
38.3591	71.3855
36.16704	1.7792
159.12183	0.8661
16.0	2.0091
53.107	25.2959
4.0	13.8592
3.931995	29.7252
8.45904	3.8579
5.58308	43.3073
3.4160566	16.143
250.0	8.7627
125.0	113.1608
32.0	6.7076
125.0	89.6027
32.0	3.2372
16.0	2.7327
62.0	3.9069
8.0	3.2796
8.0	2.6247
62.0	16.6606
16.0	1.5395
128.0	19.0371
8.0	14.2286
64.0	21.0718
32.0	20.1487
64.0	24.259
16.0	19.9359
64.0	15.38
16.0	21.5848
2.0	27.0606
32.0	36.212
16.0	17.1917
16.0	9.5756
4.0	22.5608
3.3282	0.3162
4.95266	16435.832
170.3568	175.4259
38.73888	4.733
32.0	1.436
95.973	1.1026
387.1565	0.996
4.0	1.2229
14.0	52.1158
150.0	36.0635
4.5	6.5588
155.84	121.1164
90.969	17.926
10.64202	77.1758
10.47678	37.1839
59.498	4.3005
33.43395	25.7512
134.5776	34.7293
34.21575	9.287
98.85	13.2973
84.2838	0.9364
16.0	0.8609
15.92514	0.1713
4.0	0.2527
8.0	8.3692
39.69984	13.1009
79.5824	0.4027
49.5639	3.7358
28.33392	2.7891
140.576	4.0472
12.0	16.2171
41.3664	3.7386
22.53354	1.5895
13.19236	22.9329
12.82384	12.0634
236.5545	16.4441
240.6135	2.3838
7.72005	0.3224
17.78896	1.0394
38.53995	0.3062
50.05322	4.5705
3.84372	0.4562
5.73918	0.8417
35.97062	2.4586
12.9466	4.9047
200.7915	10.5167
38.7571	1.3936
64.0	14.3704
16.0	202.5037
4.0	333.2295
16.0	97.1833
4.0	179.6999
256.0	0.8136
5.19664	43.7075
4.29928	31.9361
2.79834	1.1944
0.125	14711.708
48.8124	55.987
49.443	11.5336
44.3067	70.1321
45.2076	14301.5498
47.879402	4.2504
9.02934	0.7046
67.5051	5.9006
18.08352	1.6223
3.85888	5.6476
74.86825	28.8931
8.94192	36.7713
8.90313	3.7735
47.46672	33.6593
73.1145	11.8931
65.95204	31.4025
4.9451	7.9399
4.94909	14.091
25.19984	134.3051
79.90276	198.7576
248.95963	29.5746
378.9324	38.7893
4.91395	9.8893
80.65904	183.5505
54.378124	74.9216
29.23176	0.2215
42.15075	68.2427
66.36125	2.4894
6.25104	0.2716
19.76382	1.3641
61.7984	16.8233
13.817699	0.5699
63.377625	12880.1943
138.381	3.758
55.693	3.5887
10.09845	18.1423
134.971	2.9142
128.0	0.3105
200.149	10.624
90.912	13.2016
15.5769	44.2403
9.94818	6.1723
6.37574	58.2227
12.05044	1.1631
15.3132	3.1696
12.38664	3.3656
31.3598	1.1995
20.07224	0.3062
13.69656	14.035
195.6976	1.1749
377.7375	3.545
255.314	82.8874
234.295	50.1968
14.6315	1.2223
2.0	1.5123
16.0	0.3501
138.941	3.0169
54.9888	1.8865
225.2464	0.8463
238.7168	2.491
26.58425	1.2821
28.1965	32.2288
21.0	34.7113
43.0	46.6266
38.0	1.4544
16.0	10.0837
5.0	6.9202
41.0	17.456
11.0	9.3395
16.0	6.3825
49.0	13.1538
48.0	8.5652
43.0	16.8218
23.0	20.593
28.0	24.5674
38.0	8.044
31.0	10.0578
60.0	24.4519
31.0	97.7144
61.0	32.6851
3.0	1.8373
2.0	4.4148
2.0	6.8894
2.0	1.0698
34.0	12.3092
2.0	8.221
16.0	23.0593
22.0	7.4424
13.0	4.5882
9.0	6.6411
8.0	3.7047
22.0	4.852
2.0	5.3524
10.0	8.7566
24.0	10.0891
