true_mic	pred_mic
58.04625	4.3611
6.25	0.66
32.0	48.226
128.0	76.0642
16.0	22.0838
16.0	27.9674
1024.0	61.3916
1024.0	35.9714
8.0	1.244
32.0	1.8109
64.0	36.1013
64.0	25.6146
64.0	89.5454
79.55424	4.487
81.98944	8.8187
70.456	8.957
58.92256	11.0817
64.10848	8.2752
58.92256	8.387
57.67328	5.3994
61.42112	9.5144
382.376	5.5825
9.00483	0.5262
29.19925	13.1067
28.296875	12.84
57.64575	14.9959
233.787	7.3228
235.196	0.6842
14.2365	2.7376
229.386	1.0544
139.77888	72.6249
7.1228557	1.0907
23.4949	0.2247
3.034251	0.2383
6.223812	413.6888
1.563156	0.1588
6.40412	0.358
6.226794	0.4806
500.0	14294.2969
10.4	2.069
512.0	22.9193
207.5502	0.8661
218.978	16.143
100.0	16.6606
128.0	9.5756
128.0	22.5608
8.0	2.2803
125.0	3.0763
250.0	3.7506
63.0	0.8047
6.6564	0.3162
49.994877	433.2252
24.972519	14884.7129
425.892	175.4259
19.36944	4.733
8.0	1.436
1.0	0.185
25.0	1.2229
57.0	52.1158
150.0	36.0635
18.0	6.5588
33.43395	25.7512
134.5776	34.7293
34.21575	9.287
98.85	13.2973
84.2838	0.9364
63.0	5.3233
31.0	1.1182
16.0	3.4956
2.0	0.2042
63.0	4.1247
8.0	1.4132
8.0	0.9771
8.0	3.1889
8.0	0.9332
16.0	11.0116
4.0	0.4791
2.0	0.2527
16.0	0.8236
9.92496	13.1009
200.0	16.2171
25.0	17.4289
12.0	10.6749
6.0	3.8727
4.33743	0.1516
164.9045	22.9329
19.23576	12.0634
64.0	14.3704
5.19664	43.7075
137.57697	31.9361
8.954688	1.1944
97.6248	55.987
98.886	11.5336
44.3067	70.1321
45.2076	14301.5498
3.00978	0.7046
64.0	68.2427
5.12674	0.61
85.86944	4.2368
24.71936	16.8233
4.14531	0.5699
125.0	69.3671
62.5	4.098
62.5	10.9518
125.0	45.535
8.0	0.6326
8.0	0.3105
125.0	5.0331
62.5	2.6175
8.0	0.6086
62.5	16.027
31.0	4.9989
250.0	5.689
11.10234	3.8335
200.30849	58.7335
200.149	10.624
197.1152	76.7947
7.1514	1.5556
4.5456	13.2016
16.0	0.3501
0.48544428	0.0182
21.0	34.7113
43.0	46.6266
38.0	1.4544
28.0	10.0837
10.0	6.9202
41.0	17.456
11.0	9.3395
8.0	6.3825
31.0	13.1538
48.0	8.5652
43.0	16.8218
23.0	20.593
28.0	24.5674
38.0	8.044
31.0	10.0578
60.0	24.4519
31.0	97.7144
61.0	32.6851
3.0	1.8373
2.0	4.4148
2.0	6.8894
2.0	1.0698
