true_mic	pred_mic
64.0	2.5583
128.0	10.7908
16.0	5.638
16.0	9.0755
1024.0	1.7868
1024.0	154.1727
16.0	5.7704
64.0	4.8899
128.0	16.0337
64.0	12.4501
64.0	11.6231
79.55424	41.2029
39.77712	35.6892
40.99472	72.5191
70.456	9.8062
58.92256	33.3802
16.02712	4.2129
14.73064	16.6286
8.01356	0.8306
29.46128	15.9531
28.83664	26.1852
15.35528	16.8063
26.889975	9.6635
16.0	46.2417
5.9650655	0.5009
15.00805	8.1865
64.0	211.443
8.0	5.9309
4.36809	4.1366
12.47037	65.7004
12.412845	51.0708
12.447624	38.0498
12.505248	6.971
24.976068	4.5111
24.907175	4.1667
46.5	5275.4355
10.4	35.6943
200.0	17.3013
38.3591	30.1849
36.16704	28.3951
159.12183	4.3379
16.0	66.6408
53.107	30.8718
4.0	26.7706
3.931995	2.1973
8.45904	26.7617
5.58308	1.7809
3.4160566	3.2699
250.0	3.6586
125.0	7.0429
32.0	18.3634
125.0	3.6765
32.0	6.5202
16.0	15.4919
62.0	14.928
8.0	13.1824
8.0	1.38
62.0	21.2323
16.0	33.308
128.0	11522.9707
8.0	1460.4554
64.0	14074.585
32.0	3783.1531
64.0	14171.6865
16.0	1702.6798
64.0	229.0562
16.0	205.9522
2.0	224.5927
32.0	39171.4297
16.0	36454.7578
16.0	13530.6768
4.0	294.9773
3.3282	1.3542
4.95266	121.542
170.3568	10.0957
38.73888	18.8568
32.0	13.1761
95.973	2.6986
387.1565	10.7688
4.0	5.6353
14.0	124.0259
150.0	67.5832
4.5	2.642
155.84	47.1625
90.969	11212.9238
10.64202	4.824
10.47678	3.8961
59.498	10808.0107
33.43395	1200.2476
134.5776	10738.3887
34.21575	1.6363
98.85	20.2712
84.2838	11773.0244
16.0	4.5574
15.92514	6.5636
4.0	13.1338
8.0	10.5218
39.69984	17.4538
79.5824	20.787
49.5639	114.9863
28.33392	9.4121
140.576	13385.6172
12.0	3.9475
41.3664	34.6818
22.53354	4.4106
13.19236	6.8023
12.82384	12.208
236.5545	11074.3857
240.6135	2707.9182
7.72005	8.8114
17.78896	14.1842
38.53995	22.8262
50.05322	32.8569
3.84372	2.7771
5.73918	28.6941
35.97062	30.9969
12.9466	18.8369
200.7915	49.9179
38.7571	6.8771
64.0	15736.7021
16.0	4.3598
4.0	5.0791
16.0	5.3084
4.0	4.0644
256.0	28.9135
5.19664	11706.7832
4.29928	2.774
2.79834	13.1859
0.125	0.0885
48.8124	12510.7783
49.443	12506.2188
44.3067	12634.2412
45.2076	10780.5742
47.879402	722.2224
9.02934	16.7117
67.5051	10.5352
18.08352	214.2523
3.85888	1.4457
74.86825	48.5391
8.94192	8.4155
8.90313	3.0893
47.46672	33.6815
73.1145	30.4091
65.95204	77.5925
4.9451	1.8747
4.94909	2.5915
25.19984	8.4383
79.90276	20.0289
248.95963	121.3581
378.9324	162.9793
4.91395	1.2019
80.65904	21.5294
54.378124	31.1236
29.23176	12.2868
42.15075	8.7263
66.36125	6.1162
6.25104	11.5178
19.76382	11.4983
61.7984	23220.7988
13.817699	63.583
63.377625	648.0724
138.381	4461.0732
55.693	985.2415
10.09845	2.7363
134.971	159.7084
128.0	192.8259
200.149	1861.6527
90.912	37.5719
15.5769	8.3739
9.94818	4.6349
6.37574	3.3282
12.05044	7.0391
15.3132	8.446
12.38664	15.1508
31.3598	10401.7754
20.07224	24.7957
13.69656	3.4347
195.6976	8352.6855
377.7375	25.6992
255.314	15.9978
234.295	88.212
14.6315	8.5571
2.0	9.9
16.0	6.5506
138.941	42.5168
54.9888	305.8273
225.2464	1926.6969
238.7168	11159.2275
26.58425	12.6098
28.1965	24.7145
21.0	9.4554
43.0	11.8306
38.0	27.5039
16.0	11.0643
5.0	15.3584
41.0	9.0911
11.0	6.5115
16.0	11.4739
49.0	10.2334
48.0	14.3704
43.0	13.8526
23.0	16.7653
28.0	14.7227
38.0	8.9352
31.0	8.9246
60.0	2505.1775
31.0	207.0804
61.0	100.2697
3.0	7.219
2.0	11.9714
2.0	11.3973
2.0	6.1099
34.0	8.8044
2.0	10.978
16.0	9.565
22.0	8.131
13.0	8.6304
9.0	11.7761
8.0	10.2636
22.0	10.419
2.0	15.9393
10.0	10.4213
24.0	8.4023
28.0	12.1952
3.0	12.7065
37.0	13.3132
6.0	85.4856
17.13324	8.7233
20.59296	19.583
41.81148	17.5268
300.0	10850.7676
53.767	7830.9092
22.306076	12.4144
23.6	119.5184
2.8858	7.4697
47.42272	6.4524
41.77792	38.158
9.35524	17.9038
9.05916	5.602
23.39862	3.9616
11.78034	3.5147
11.47395	3.7545
11.55219	3.2279
11.54607	3.7425
38.99675	15.6877
136.175	6820.8755
139.178	12215.123
8.874375	4.4663
36.29425	5.5273
29.9562	13.7524
16.0592	8.5789
38.72175	21.4562
21.5217	12.8334
21.65685	11.9425
44.42763	39.6849
41.26992	76.9107
23.21963	11.8654
49.00403	8.6488
12.92056	11351.2998
9.24462	1978.6222
19.03284	148.4923
60.591	19.1942
9.8886	56.2149
16.0	6.2428
219.766	53.5424
120.696	184.9261
48.9615	652.7256
14.24755	16.174
256.809	66.6355
8.0	5.1976
120.4965	9042.0293
484.372	6.9772
20.312876	15.5976
66.70976	4.5018
142.5536	61.731
75.0	1.3185
18.8	1.7357
64.0	125.4127
100.0	10.8177
100.0	18.3887
100.0	13807.0068
23.5471	10.9167
25.0293	11.3427
6.5811	10.1997
34.39098	15.7751
104.7385	1272.923
27.67427	26.3162
43.20176	22.2496
127.713	348.6385
63.106	45.0488
252.523	64.2297
147.834	62.9848
16.3452	6.5617
33.34942	35.2841
64.1075	50.5555
4.0	7.8725
8.0	7.9468
32.0	5.3658
16.0	18.4082
256.0	25.9466
16.0	20.636
128.0	8.5316
128.3075	79.7665
255.21199	413.0994
250.39421	637.2801
64.0	19.284
64.0	16.3523
63.653	59.0705
152.8885	60.9822
129.0625	116.2437
5.7	2850.1885
500.0	9484.2051
5.2	4172.104
2.1	7118.5605
15.71375	7.0038
128.93394	14.7155
256.4484	9977.3965
3.043053	4.5682
9.296475	5.6507
16.0	7.6211
8.0	3.1833
187.62752	1472.0587
11.6586	3.1065
121.545	18.5019
111.33	1610.0066
106.812	9832.7783
107.311	2817.5339
156.58	11.4913
108.47808	14.2194
27.88896	21.6651
25.27808	22.1388
26.19072	20.4527
91.11616	26.9573
136.665	13.7147
85.54304	21.2149
75.54688	27.6819
10.0	13.9521
113.80864	8.9483
10.44528	8.2099
6.88876	9.7953
34.21952	9.6066
147.274	15.3223
144.259	14.9506
150.875	14.6129
45.8958	17.1454
45.8958	7.3541
50.0424	4.8694
37.0112	12.5088
17.007679	4.1611
52.8276	23.0557
54.1884	10035.2959
54.83	83.2928
54.1884	14160.5508
54.1884	14890.9082
56.4328	15021.0439
52.4672	16029.7402
54.7496	10687.4219
54.1884	8246.7236
55.2316	5509.5488
56.4328	6317.0244
54.1884	13055.1191
54.1884	1427.2545
64.0	7.9087
128.0	7.6957
64.0	14.9083
32.0	11.29
32.0	12.1251
8.0	12.2763
16.0	8.3967
16.0	22.6337
4.0	832.8459
2.0	47.7719
21.461529	8.2605
4.7063556	4.3366
802.569	12416.8604
802.569	11732.0293
102.4605	222.9965
8.0	5.0927
2.1	3.8588
32.0	6.0883
29.6536	8.497
1.0	11.4946
11.297979	11.9263
6.70414	2.6357
104.223	11087.3057
199.68384	2780.1726
12.39992	9611.6953
25.34416	10943.7812
13.12096	11268.3379
12.76848	2996.5769
12.78432	26.0505
202.75328	10289.1084
12.66448	10521.6357
202.75328	10203.4287
208.13953	10259.4854
202.75328	10172.377
202.75328	10149.8633
19.47176	4.6447
32.0	4.5425
256.0	7.8325
16.0	11.0814
32.0	5.3298
32.0	10.9294
16.0	3.439
32.0	4.6441
16.0	6.327
256.0	9.1339
256.0	15.4482
64.0	3.8612
58.63104	2.1067
15.0024	8.9875
7.5012	9.7114
4.54758	2.7638
58.00816	4.1596
2.88159	6.0659
147.19104	5.4467
4.57372	5.5035
4.15316	3.3473
122.90496	5.5022
213.38625	4.4142
204.41344	159.9893
406.52032	6416.3555
27.92166	3.2597
9.87012	2.4375
15.01851	2.018
88.2786	26.2213
49.71956	27.1994
320.595	1203.3048
174.59875	4132.4546
393.8176	2601.4387
393.8253	67.8009
289.6461	10025.2295
278.37952	9954.4834
0.25	7.6653
0.25	157.5594
2.3185563	10003.0752
73.0894	25.7902
75.4134	20.5218
8.0	21.1367
4.938944	10.9687
4.825216	12.9901
31.27625	36.4661
32.16475	34.3104
54.317	20.6123
112.188	23.7712
95.068	227.0132
98.622	126.8653
3.1037292	4.336
3.08022	9.6653
34.9059	11713.3662
16.0	34.4718
186.2722	14726.835
48.77509	20.5993
12.83555	20.4105
7.72624	4.5875
4.0	3418.6714
31.3	58.561
8.0	77.5737
11.7744	722.1887
2.81745	2.4568
42.96576	72.2145
235.68384	12187.1787
149.61664	535.5059
80.73504	10.3112
5.41886	6.6045
10.29648	15.4572
20.09624	13.185
2.69229	2.1137
53.82976	3943.239
32.35968	112.8489
8.013197	5.8953
7.1250534	7.0247
32.20125	17.9651
34.128376	370.1022
42.129	15.1182
47.4095	10.822
64.0	8.9626
32.0	6.8517
4.0009737	4.2854
118.45025	26.9703
226.8528	12179.5264
221.4096	11439.8584
48.1598	7.9935
251.108	113.3405
252.2304	119.7172
12.5	1.8136
40.0	135.1792
223.70474	111.6637
64.43275	102.1255
261.037	2763.1416
131.3705	802.3848
259.737	5240.7651
70.26312	13.1472
257.45407	3.0175
245.02272	7.5252
9.22075	7.7728
72.7418	17.0276
37.42416	108.8798
74.41335	10318.2275
19.23375	4.438
6.23334	6.4265
75.9738	20.6649
4.8462	0.7781
1.404882	5.0708
80.968	4.0188
27.0328	16.6572
53.7852	35.0796
53.7654	49.7037
54.0656	42.8333
53.7852	25.5868
13.5167	10.0856
13.52195	8.2351
13.5973	6.4904
13.60255	5.09
54.4446	48.5087
54.7252	15.5159
217.7784	338.8148
54.4446	49.3672
27.2223	29.1131
28.674	29.1526
13.65528	26.5061
39.91125	13.5209
4.0	4.1927
17.28279	5.2517
233.38	4.2469
159.385	3.3707
125.0015	4.9679
221.669	12.4713
203.249	2.0073
181.925	10.5677
5.168	5.3991
320.16895	30.5335
305.8048	25.7612
305.8048	15.5391
32.0	1931.874
14.69808	5.4424
250.0	78.7127
4.0	11.6813
16.0	7.0288
32.0	19.381
32.0	10.8263
64.0	13.7212
280.04352	10.6215
9.20768	7.0845
9.20768	4.7348
18.41536	6.0733
18.41536	6.7136
256.0	10208.7402
256.0	26.4376
64.0	9.4105
28.915	13.1606
15.1705	20.0691
0.5	1.2729
15.0	23.3532
15.0	44.6745
30.0	8.6372
40.0	11.2775
9.1752	9.6716
18.47856	14.8976
32.0	3631.5974
8.0	1248.6036
64.0	1703.2351
16.0	17.3743
32.0	7355.7988
16.0	407.9381
16.0	30.6834
32.0	4.0647
32.0	62.6186
16.0	57.9293
127.192	48.7089
29.898	8832.5557
128.3932	127.7285
32.8986	26.719
64.8796	14.1949
15.9244	3.7414
31.73295	30.7754
30.57732	17.4778
45.97772	33.8213
15.24642	11.7715
121.29556	123.0217
281.5859	8.4762
283.63647	13.289
142.97025	17.8035
145.4688	14.0091
4.27156	5.4309
276.4365	55.4761
17.2464	7.7251
67.95904	8.5823
9.5318	4.4675
256.0	3136.3269
16.0	30.7588
16.0	15.5101
128.0	11.7031
11.02224	4.2574
1.91648	4.3268
5.78328	4.1232
2.05256	3.73
3.0478	3.7824
8.83488	3.9422
21.5312	21.5002
29.63712	5.4118
128.0	9598.0498
88.69376	23.0492
21.74128	7.2745
2.34	3.3536
18.75	15.7792
200.0	56.3801
200.0	45.2963
128.0	36.2758
249.67458	12915.9092
4.27161	16.0073
36.65634	23.5416
800.0	71.6526
800.0	57.8287
800.0	13992.0908
200.0	42.9124
800.0	66.0347
400.0	115.0223
200.0	71.3023
200.0	58.1016
49.74408	10.4507
44.69736	10425.1807
63.0768	20.4147
56.80704	24.4744
32.37664	4.9611
226.58945	3.8058
141.61536	8.9064
154.81856	12.7344
20.68168	4.3812
2.89759	6.2582
10.906749	11.234
10.995138	14.1077
5.633909	9.5759
25.497625	4.6914
225.494	18.2306
111.344	13.8482
114.151	10.2801
18.75	12.4966
5.2646	4.3298
219.884	114.0711
245.54	38.2945
225.496	22.9633
238.324	12.5659
238.324	20.2921
234.716	21.6018
16.0	2.569
32.0	2.1853
16.48392	3.5649
500.0	16742.1289
125.0	21.0497
50.0	6180.668
8.0	11.0464
4.0	14.0688
2.0	6.9275
71.41728	5.8101
18.86296	4.6173
108.44	15.9506
237.1008	54.3966
62.73248	15.1818
460.37247	6.7617
364.49023	10294.0352
71.99456	4.8873
71.41728	5.6373
68.82432	7.8934
37.43728	6.0422
2.5418797	2.0048
142.464	6700.6772
5.4523873	7.2416
23.4	7.9344
2.0	5.3702
32.0	15.5787
25.3001	62.9387
12.65005	33.3132
15.18006	331.9033
12.7903	37.1221
12.7903	25.5576
12.7903	151.8533
25.3001	298.4078
5.17224	10.9421
17.44704	11.455
17.0622	14.9667
8.3391	31.2362
17.0388	16.3908
4.38873	4.2807
2.42102	6.0395
32.0	29.9293
16.0	4.1334
10.878	5.797
69.8048	4.063
130.24	3.6977
142.0144	3.4628
62.06336	9.5293
262.98495	6301.5073
124.75584	22.7548
125.0	51.4766
62.48979	11.0231
249.54723	107.3258
125.0	18.6831
125.0	53.6023
15.6	54.2011
15.6	18.5643
128.0	10.297
0.25	2.9959
7.8	30.13
500.0	8.7006
250.0	15427.3916
62.5	45.7833
15.6	10.1828
15.6	12.3273
15.6	34.278
125.0	60.4871
64.0	8.9534
32.0	11.1425
64.0	15.2265
32.0	10.0224
13.0	15.5492
64.0	18.0829
32.0	57.4968
250.0	92.7058
250.0	70.7234
250.0	1947.8202
250.0	365.3313
64.0	9208.2148
32.0	18.1324
250.0	21.644
250.0	114.1779
13.0	30.491
43.0	49.5107
2.0	5.8485
1.5402975	5.3693
15.30636	4.2864
4.69	4.8093
200.0	14.0368
127.996	9815.3428
127.98644	414.4423
128.00183	59.6543
63.9959	13.0453
31.996916	13.5608
64.00253	16.837
3.996581	3.2441
31.989561	2.8774
12.63168	11.6582
3.78268	9.764
8.81488	7.8077
7.72564	7.4103
7.62148	9.359
7.73165	5.4244
109.57056	11.1832
3.39002	8.1412
5.068	14.1865
13.49196	11.1738
13.83192	7.6145
5.16994	10.0252
171.2128	54.9943
204.28288	4.4022
238.75967	28.575
8.44648	8.3384
37.59792	12.7593
21.28184	16.0755
11.52184	142.9101
24.53352	7.8972
62.5	20.726
62.5	15.5684
27.907518	3.8077
15.1072	39.9847
45.6896	10003.5254
69.98208	4.7344
2.64732	2.5552
18.83976	28.2041
4.04128	3.5193
32.0	16.3284
5.25646	4.6643
9.10056	8.5982
63.996506	20.845
16.048862	19.8854
2.15779	3.5814
249.408	18.3215
62.5	34.7417
250.0	30.4936
62.5	16.4539
62.5	16.8082
31.3	14.7907
64.0	21.8415
64.0	16.9315
4.0	9.8767
8.0	7.2338
8.0	4.3929
40.019936	13.3633
16.0	16.091
8.0	3.7866
16.0	4.6811
38.963146	125.8488
156.91936	3020.7676
19.416142	113.5359
14.714765	4.341
9.961875	3.5337
9.961875	4.18
9.961875	3.5172
10.385712	3.2229
10.385712	4.6395
181.134	10192.5117
7.2844877	8.643
8.885049	15.6518
33.6435	9.1718
63.62425	7.9083
32.2385	60.1852
62.651	10.0092
61.92125	6.1242
9.949769	6.5808
10.785275	3.2929
5.4440875	3.2747
8.0	3.9438
12.031696	7.8477
14.6728	5.6487
8.80368	5.6595
11.89852	17.5321
200.5198	39.7848
50.13036	39.4152
