true_mic	pred_mic
58.04625	46.0509
6.25	0.853
32.0	2.5583
128.0	10.7908
16.0	5.638
16.0	9.0755
1024.0	1.7868
1024.0	154.1727
8.0	5.7704
32.0	4.8899
64.0	16.0337
64.0	12.4501
64.0	11.6231
79.55424	41.2029
81.98944	72.5191
70.456	9.8062
58.92256	33.3802
64.10848	4.2129
58.92256	16.6286
57.67328	26.1852
61.42112	16.8063
382.376	0.5009
9.00483	8.1865
29.19925	8.367
28.296875	65.0561
57.64575	96.7043
233.787	12.3177
235.196	14.2837
14.2365	13.9513
229.386	13.1347
139.77888	4.1366
7.1228557	10826.8242
23.4949	65.7004
3.034251	51.0708
6.223812	38.0498
1.563156	6.971
6.40412	4.5111
6.226794	4.1667
500.0	5275.4355
10.4	35.6943
512.0	17.3013
207.5502	4.3379
218.978	3.2699
100.0	21.2323
128.0	13530.6768
128.0	294.9773
8.0	4.1612
125.0	18.0506
250.0	11.8349
63.0	8.1987
6.6564	1.3542
49.994877	9953.8936
24.972519	10931.2676
425.892	10.0957
19.36944	18.8568
8.0	13.1761
1.0	0.4616
25.0	5.6353
57.0	124.0259
150.0	67.5832
18.0	2.642
33.43395	1200.2476
134.5776	10738.3887
34.21575	1.6363
98.85	20.2712
84.2838	11773.0244
63.0	5.5744
31.0	4.1797
16.0	3.8584
2.0	3.3181
63.0	4.7391
8.0	5.8845
8.0	4.1214
8.0	3.8499
8.0	3.6678
16.0	7.8566
4.0	16.2722
2.0	13.1338
16.0	14.9016
9.92496	17.4538
200.0	3.9475
25.0	20.6611
12.0	9.3555
6.0	5.122
4.33743	3.1726
164.9045	6.8023
19.23576	12.208
64.0	15736.7021
5.19664	11706.7832
137.57697	2.774
8.954688	13.1859
97.6248	12510.7783
98.886	12506.2188
44.3067	12634.2412
45.2076	10780.5742
3.00978	16.7117
64.0	8.7263
5.12674	189.7686
85.86944	13270.248
24.71936	23220.7988
4.14531	63.583
125.0	11.1794
62.5	29.2072
62.5	5.1081
125.0	6.4679
8.0	87.9459
8.0	192.8259
125.0	49.3469
62.5	31.977
8.0	13872.1943
62.5	98.6722
31.0	11.4477
250.0	14.8443
11.10234	14.1594
200.30849	72.8672
200.149	1861.6527
197.1152	843.7004
7.1514	16.8726
4.5456	37.5719
16.0	6.5506
0.48544428	38.3148
21.0	9.4554
43.0	11.8306
38.0	27.5039
28.0	11.0643
10.0	15.3584
41.0	9.0911
11.0	6.5115
8.0	11.4739
31.0	10.2334
48.0	14.3704
43.0	13.8526
23.0	16.7653
28.0	14.7227
38.0	8.9352
31.0	8.9246
60.0	2505.1775
31.0	207.0804
61.0	100.2697
3.0	7.219
2.0	11.9714
2.0	11.3973
2.0	6.1099
69.0	8.8044
2.0	10.978
22.0	9.565
22.0	8.131
7.0	8.6304
14.0	11.7761
8.0	10.2636
12.0	10.419
4.0	15.9393
5.0	10.4213
24.0	8.4023
14.0	12.1952
7.0	12.7065
28.0	13.3132
9.0	85.4856
164.74368	19.583
2.1	3.5288
4.0	3.4321
1.0	4.4028
4.6	9.9432
4.7	3.4372
9.7	7.4282
2.2	4.8561
2.2	4.8792
2.1	23.647
4.4	5.3648
211.0	14.8487
182.0	3.9072
272.70517	111.7847
43.0	19.9372
213.0	25.7057
40.0	34.0842
26.8835	7830.9092
27.726244	12.4144
8.7	119.5184
47.42272	6.4524
512.0	5959.3896
4.444287	4.4663
14.5177	5.5273
14.9781	13.7524
24.0888	8.5789
14.3478	12.8334
1.44379	11.9425
75.1975	12.8927
22.62954	5.7868
46.381126	5.4702
339.72	22.2103
146.081	115.6005
129.3685	13022.1348
63.9335	11876.3555
32.605125	26.9465
15.30828	65.523
8.7294	98.2557
82.5525	10388.5479
9.8886	56.2149
219.766	53.5424
482.784	184.9261
97.923	652.7256
14.24755	16.174
64.20225	66.6355
243.893	11361.2129
246.698	12405.7539
265.72	15.5421
4.0	5.1976
67.70675	17.0283
17.30154	17.8108
265.414	33.9967
240.993	9042.0293
134.3135	68.8577
194.443	49.7082
17.30118	15.9693
30.7089	14.3445
484.372	6.9772
134.3135	40.9216
9.75018	15.5976
66.70976	4.5018
12.728	61.731
14.49072	13405.9883
409.4336	6.8722
32.0	125.4127
3.81192	22.2496
7.66278	348.6385
7.57272	45.0488
15.15138	64.2297
147.834	62.9848
2.0	7.8725
2.0	7.9468
4.0	5.3658
4.0	18.4082
256.0	25.9466
4.0	20.636
4.0	8.5316
280.5035	413.0994
105.9904	11218.5635
13.00856	4133.2329
6.6244	4943.061
26.01712	1745.4594
51.16928	5122.7559
6.7928	56.385
3.34234	203.6945
2.0	19.284
2.0	16.3523
136.4908	42.6438
66.5218	17.8422
232.208	104.6336
51.4688	1656.1586
220.31232	10766.084
611.554	60.9822
7.504575	19.2817
31.6191	10.3562
14.38785	30.7522
567.2025	22.3979
581.7275	22.7262
574.715	28.4474
581.7275	19.3864
7.74375	116.2437
19.393438	34.2446
4.91352	26.9863
9.563438	6.1573
9.619331	15.0871
9.662824	6.724
4.936064	10.0534
128.0	2850.1885
500.0	9484.2051
500.0	4172.104
500.0	7118.5605
4.0	7.0038
16.0	7.6211
8.0	3.1833
0.12382076	8983.2305
121.545	18.5019
111.33	1610.0066
106.812	9832.7783
107.311	2817.5339
156.58	11.4913
169.497	14.2194
55.77792	21.6651
50.55616	22.1388
13.09536	20.4527
142.369	26.9573
136.665	13.7147
85.54304	21.2149
118.042	27.6819
3.13	13.9521
147.274	15.3223
144.259	14.9506
150.875	14.6129
45.8958	17.1454
91.7916	7.3541
8.3404	4.8694
148.0448	12.5088
8.5038395	4.1611
50.0	28.6754
32.0	11.29
802.569	12416.8604
802.569	11732.0293
204.921	222.9965
16.0	5.0927
16.6	3.8588
6.10992	4.4051
6.28404	52.0318
104.0325	36.9569
205.26	33.9907
101.9285	26.4709
5.97756	26.3607
23.129875	35.1997
5.43096	23.9931
45.909	29.8905
5.46108	12.6798
11.01258	9.1261
5.37999	11.9263
5.60247	5.1812
11.63772	3.5697
87.07675	9901.8828
6.25	0.4146
25.0	0.6836
12.5	0.4898
50.0	10.6975
6.25	2.7638
3.5179715	5.0908
464.06528	4.1596
368.8435	6.0659
294.38208	5.4467
292.71808	5.5035
265.80225	3.3473
245.80992	5.5022
213.38625	4.4142
204.41344	159.9893
406.52032	6416.3555
393.8176	2601.4387
393.8253	67.8009
24.78256	15962.4736
42.0	156.2968
50.0	12.9901
50.0	4.336
46.5412	11713.3662
16.0	34.4718
61.80992	4.5875
2.7	3418.6714
2.7	9340.1348
32.0	77.5737
2.9436	722.1887
2.81745	2.4568
687.45215	72.2145
58.92096	12187.1787
598.46655	535.5059
645.8803	10.3112
43.35088	6.6045
41.18592	15.4572
321.53983	13.185
344.61313	2.1137
26.91488	3943.239
517.7549	112.8489
6.25	4.7739
32.20125	17.9651
34.128376	370.1022
42.129	15.1182
47.4095	10.822
25.0	13.0317
300.0	211.2349
16.0	8.9626
16.0	6.8517
306.073	26.9703
14.1783	12179.5264
13.8381	11439.8584
12.03995	7.9935
502.216	113.3405
504.4608	119.7172
12.5	1.8136
447.4095	111.6637
7.73193	102.1255
7.83111	2763.1416
3.941115	802.3848
7.79211	5240.7651
9.6924	0.7781
9.36588	5.0708
15.1815	4.0188
200.0	8303.9697
300.0	122.9433
18.75	19.3665
300.0	29067.8398
150.0	386.122
300.0	9974.3574
300.0	23.5257
8.0	4.1927
1.459899	4.2464
1.399643	11.8609
1.082809	2.9105
1.082809	4.9631
3.095001	6.9225
1.703748	3.9212
1.826162	6.8927
3.20328	2.8908
0.92812204	5.6036
1.055481	4.2663
1.042881	3.0044
3.925643	7.9778
1.571652	14.6314
1.9159529	2.5032
4.929474	2.0062
3.46818	12.6301
3.296976	5.0907
1.862994	3.049
2.551016	3.0674
4.67824	19.9558
2.109888	5.455
1.831323	2.3937
7.500735	2.6939
1.76111	2.3642
1.886752	13.3612
3.506166	17.0131
1.58302	3.6335
4.224153	10.6886
3.63155	1.8606
3.360285	6.5115
114.32013	11.0402
3.902414	23.579
3.553524	6.5523
38.0	1931.874
250.0	78.7127
73.6	4.7348
4.82212	13.0368
116.2975	45.415
221.982	93.072
1.207515	12.282
72.7525	37.1883
9.89316	30.5975
1.0	5.9888
10.0	23.3532
10.0	44.6745
25.0	8.6372
25.0	11.2775
2.2938	9.6716
32.0	3631.5974
8.0	1248.6036
32.0	1703.2351
16.0	17.3743
32.0	7355.7988
16.0	407.9381
16.0	30.6834
32.0	4.0647
64.0	62.6186
16.0	57.9293
0.1230642	9986.8994
128.0	7.5564
128.0	30.7588
32.0	15.5101
128.0	11.7031
15.33184	4.3268
44.34688	23.0492
21.74128	7.2745
512.0	10.3951
512.0	21.7166
512.0	18.538
512.0	70.7078
512.0	43.7262
512.0	53.6308
512.0	15.6839
512.0	28.8948
256.0	4.753
256.0	16.7879
512.0	31.974
4.69	3.3536
200.0	15.7792
200.0	56.3801
200.0	45.2963
0.062	11.8873
4.27161	16.0073
5.181675	10.4507
9.31195	10425.1807
26.282	20.4147
11.8348	24.4744
9.38	12.4966
128.0	11.0464
16.0	14.0688
8.0	6.9275
150.18375	37.8731
0.0619115	8672.7119
16.0	2.0048
63.0	7.9344
32.0	5.3702
32.0	15.5787
12.65005	62.9387
6.325025	33.3132
6.325025	331.9033
6.39515	37.1221
5.11612	25.5576
5.11612	151.8533
12.65005	298.4078
2.58612	10.9421
8.72352	11.455
8.5311	14.9667
4.16955	31.2362
17.0388	16.3908
4.38873	4.2807
64.0	11.6741
16.0	14.6246
16.0	4.6421
64.0	9713.0947
64.0	9.2083
16.0	1700.1514
64.0	8.7053
64.0	11213.0957
64.0	15.977
2.42102	6.0395
4.89426	1.4274
9.48412	34.347
15.51584	9.5293
16.43656	6301.5073
2.0	3.2353
16.0	2.9959
13.0	15.5492
125.0	18.0829
84.0	57.4968
250.0	92.7058
250.0	70.7234
250.0	1947.8202
250.0	365.3313
125.0	9208.2148
32.0	18.1324
250.0	21.644
250.0	114.1779
21.0	30.491
125.0	49.5107
1.5718575	5.8485
2.05373	5.3693
7.65318	4.2864
200.0	4.8093
200.0	14.0368
111.63007	3.8077
21.0	40.6171
28.0	16.3284
3.2852876	4.6643
3.2502	8.5982
125.0	34.7417
31.3	30.4936
15.63	16.4539
62.5	16.8082
125.0	14.7907
64.0	21.8415
64.0	16.9315
8.0	9.8767
64.0	7.2338
16.0	4.3929
74.0	13.3633
2.0	18.781
2.0	21.2532
8.0	15.4411
16.0	8.7884
16.0	16.091
16.0	3.7866
16.0	4.6811
9.960504	125.8488
19.464037	3020.7676
19.416142	113.5359
31.69334	4.341
11.06875	3.5337
11.06875	4.18
11.06875	3.5172
4.32738	3.2229
15.448747	4.6395
16.0	3.1793
32.0	3.7364
32.0	4.3248
64.0	6.0728
29.13795	8.643
5.443488	5.8985
134.574	9.1718
254.497	7.9083
128.954	60.1852
7.843905	10.0092
247.685	6.1242
4.9589906	6.5808
215.7055	3.2929
21.77635	3.2747
256.0	3.9438
8.80368	7.8477
8.80368	5.6487
8.80368	5.6595
8.92389	17.5321
25.98764	9.0033
15.592584	4.25
200.0	14.9313
37.5	2.2518
200.0	5.8252
71.12768	3.9195
35.93248	2.8706
35.93248	5.3083
35.996	3.8959
36.73328	4.6127
65.68064	3.9057
4.64376	0.2397
36.7328	4.5708
18.9752	3.2545
10.8462	11.4255
18.28808	1.0159
59.88672	13.1395
190.07744	10.7797
12.28788	14.459
205.31456	9.4399
141.87263	5.9045
11.7112	3.7171
5.62128	5.256
378.47424	4.824
192.95552	25.0801
11.99564	4.8637
256.0	5598.8135
128.0	510.988
8.0	5.2068
128.0	5.1276
64.0	14623.3604
31.25	9.0086
31.25	13.8476
31.25	11.3795
125.0	16.8781
125.0	20.7433
43.25184	23.9888
0.420785	8.7809
1.79118	6.3991
250.0	149.8446
