true_mic	pred_mic
64.0	9.914273
128.0	8.584469
16.0	3.0582175
16.0	21.41649
1024.0	23.093962
1024.0	1.8476326
16.0	3.6000636
64.0	11.538777
128.0	7.4139957
64.0	10.356637
64.0	5.7088437
79.55424	16.077057
39.77712	26.822779
40.99472	45.811802
70.456	14.115014
58.92256	30.547073
16.02712	22.549517
14.73064	42.107655
8.01356	74.08707
29.46128	30.097235
28.83664	75.43757
15.35528	26.509954
26.889975	5.1734376
16.0	7.437522
5.9650655	0.5614095
15.00805	3.3603451
64.0	14.426448
8.0	25.829233
4.36809	2.3485048
12.47037	4.786491
12.412845	4.369444
12.447624	6.8990264
12.505248	4.3486104
24.976068	1.6977301
24.907175	5.8025603
46.5	52.698116
10.4	11.934963
200.0	64.638084
38.3591	12.845452
36.16704	14.313151
159.12183	9.582728
16.0	50.73367
53.107	13.343856
4.0	12.715924
3.931995	2.16776
8.45904	27.770273
5.58308	2.378081
3.4160566	8.95455
250.0	248.2859
125.0	43.714928
32.0	6.462609
125.0	94.14713
32.0	19.910898
16.0	10.188988
62.0	19.088633
8.0	6.9379797
8.0	2.206711
62.0	16.677998
16.0	14.297915
128.0	32.103912
8.0	18.162197
64.0	43.30778
32.0	64.02195
64.0	58.882164
16.0	20.210632
64.0	33.80823
16.0	10.446315
2.0	6.3365617
32.0	6.330369
16.0	8.838489
16.0	91.92109
4.0	6.759196
3.3282	1.6708138
4.95266	27.526373
170.3568	15.955877
38.73888	99.240425
32.0	38.123642
95.973	66.30501
387.1565	63.792397
4.0	1.6656805
14.0	64.35357
150.0	29.675028
4.5	0.73564047
155.84	47.554016
90.969	19.9155
10.64202	2.6564016
10.47678	2.762033
59.498	53.430313
33.43395	244.04465
134.5776	143.58049
34.21575	9.384511
98.85	31.851871
84.2838	126.961494
16.0	2.511243
15.92514	25.48133
4.0	11.055536
8.0	96.118805
39.69984	100.20157
79.5824	19.479763
49.5639	28.942413
28.33392	10.744686
140.576	169.01335
12.0	6.535065
41.3664	19.878134
22.53354	6.5427723
13.19236	12.309549
12.82384	25.661158
236.5545	53.130272
240.6135	30.343517
7.72005	5.830737
17.78896	9.421088
38.53995	12.714536
50.05322	16.447693
3.84372	0.9270105
5.73918	2.577354
35.97062	12.7191925
12.9466	18.860645
200.7915	97.788475
38.7571	21.895502
64.0	59.69711
16.0	9.575135
4.0	6.3455358
16.0	8.0194845
4.0	1.8119901
256.0	75.527885
5.19664	1.6386533
4.29928	0.93788093
2.79834	12.581375
0.125	18.410715
48.8124	28.313292
49.443	6.2930617
44.3067	73.99549
45.2076	80.83802
47.879402	56.816586
9.02934	18.59177
67.5051	20.474228
18.08352	9.230181
3.85888	1.0098252
74.86825	19.650013
8.94192	7.1978416
8.90313	8.591173
47.46672	15.439728
73.1145	31.361376
65.95204	19.388779
4.9451	0.9924996
4.94909	1.2738765
25.19984	4.7381663
79.90276	21.344236
248.95963	64.41205
378.9324	76.12632
4.91395	0.83174425
80.65904	10.836724
54.378124	12.13713
29.23176	2.660653
42.15075	16.998648
66.36125	19.471819
6.25104	11.351194
19.76382	3.1164641
61.7984	35.24302
13.817699	30.134533
63.377625	55.588673
138.381	14.930174
55.693	39.554714
10.09845	2.7629309
134.971	86.47892
128.0	36.226032
200.149	20.391254
90.912	43.93719
15.5769	3.578564
9.94818	1.9148427
6.37574	2.0008342
12.05044	3.1175473
15.3132	4.274233
12.38664	3.3060472
31.3598	28.5628
20.07224	21.861248
13.69656	1.7884672
195.6976	13.899607
377.7375	90.180336
255.314	147.7505
234.295	18.6574
14.6315	6.2870603
2.0	25.066029
16.0	2.663044
138.941	29.528753
54.9888	57.690475
225.2464	49.21799
238.7168	40.590813
26.58425	12.716357
28.1965	14.533467
21.0	15.403324
43.0	14.030912
38.0	12.451298
16.0	27.424425
5.0	20.72064
41.0	31.956734
11.0	35.91376
16.0	17.60379
49.0	23.598326
48.0	16.264065
43.0	34.52456
23.0	41.769028
28.0	44.4479
38.0	87.23459
31.0	193.77254
60.0	14.03491
31.0	20.220854
61.0	27.229954
3.0	16.5731
2.0	40.652943
2.0	22.040512
2.0	29.296352
34.0	64.04942
2.0	15.919715
16.0	19.650629
22.0	15.696357
13.0	25.357748
9.0	16.374744
8.0	19.461208
22.0	32.29163
2.0	13.639981
10.0	22.281467
24.0	19.736816
28.0	14.358806
3.0	13.612872
37.0	27.100449
6.0	14.509002
17.13324	5.5231524
20.59296	4.2698846
41.81148	15.858908
300.0	18.519718
53.767	54.344795
22.306076	14.726124
23.6	48.710308
2.8858	5.4485736
47.42272	20.758211
41.77792	35.706596
9.35524	9.230292
9.05916	5.4392285
23.39862	4.75507
11.78034	4.7722282
11.47395	3.2728453
11.55219	2.118389
11.54607	2.839336
38.99675	12.161481
136.175	122.48268
139.178	60.55487
8.874375	16.315502
36.29425	130.57556
29.9562	75.27396
16.0592	42.50422
38.72175	30.79746
21.5217	24.020384
21.65685	76.21551
44.42763	16.103539
41.26992	13.773923
23.21963	7.198707
49.00403	19.408054
12.92056	92.906265
9.24462	8.629484
19.03284	10.991823
60.591	18.97074
9.8886	6.2259607
16.0	3.008263
219.766	85.866
120.696	30.724188
48.9615	34.71627
14.24755	4.5692496
256.809	78.89657
8.0	64.937164
120.4965	78.29925
484.372	124.41246
20.312876	39.87911
66.70976	26.587477
142.5536	15.077529
75.0	17.208729
18.8	5.386951
64.0	105.18529
100.0	48.794777
100.0	65.27579
100.0	48.24151
23.5471	10.935674
25.0293	11.451923
6.5811	2.7256427
34.39098	15.272877
104.7385	47.702896
27.67427	41.15328
43.20176	20.674246
127.713	19.21693
63.106	25.082588
252.523	99.52224
147.834	33.63252
16.3452	4.965297
33.34942	13.001826
64.1075	105.36827
4.0	27.947023
8.0	19.848387
32.0	12.188162
16.0	15.35702
256.0	17.69892
16.0	11.114608
128.0	24.250345
128.3075	4.5800385
255.21199	9.424208
250.39421	8.630901
64.0	16.085594
64.0	25.807945
63.653	46.764896
152.8885	38.212906
129.0625	39.84042
5.7	59.1489
500.0	50.380325
5.2	11.772029
2.1	35.82411
15.71375	6.915711
128.93394	98.26532
256.4484	150.68303
3.043053	3.9218724
9.296475	2.761178
16.0	12.501736
8.0	3.443202
187.62752	20.30543
11.6586	6.471737
121.545	32.84339
111.33	88.09718
106.812	948.77466
107.311	101.69513
156.58	36.35034
108.47808	13.986438
27.88896	3.6998806
25.27808	5.4314075
26.19072	9.023771
91.11616	8.143055
136.665	13.91483
85.54304	6.563238
75.54688	8.46254
10.0	1.840738
113.80864	34.232914
10.44528	11.181088
6.88876	7.4537573
34.21952	8.358157
147.274	28.733013
144.259	33.57723
150.875	23.093126
45.8958	18.918064
45.8958	15.418924
50.0424	117.56142
37.0112	20.63259
17.007679	6.432406
52.8276	11.762133
54.1884	12.613007
54.83	28.024025
54.1884	18.920816
54.1884	12.610625
56.4328	23.982529
52.4672	109.84651
54.7496	12.447668
54.1884	14.613233
55.2316	24.387644
56.4328	24.967379
54.1884	16.866364
54.1884	13.324413
64.0	60.216007
128.0	120.505005
64.0	72.58662
32.0	22.992254
32.0	28.41179
8.0	10.905068
16.0	10.510148
16.0	14.554922
4.0	2.383606
2.0	1.4365271
21.461529	12.924925
4.7063556	1.685595
802.569	154.54161
802.569	26.065493
102.4605	69.95526
8.0	1.372553
2.1	4.8846183
32.0	10.963836
29.6536	5.1681833
1.0	5.5044727
11.297979	12.999943
6.70414	1.9841915
104.223	22.123295
199.68384	10.769791
12.39992	14.265307
25.34416	22.888168
13.12096	14.3195095
12.76848	37.610844
12.78432	37.987637
202.75328	40.170906
12.66448	20.94544
202.75328	48.60421
208.13953	33.57723
202.75328	50.42745
202.75328	24.798498
19.47176	32.71272
32.0	2.4824693
256.0	9.109191
16.0	8.0013
32.0	3.8241699
32.0	14.775025
16.0	3.0562792
32.0	5.929475
16.0	6.020672
256.0	18.192463
256.0	70.47976
64.0	8.604682
58.63104	6.4884567
15.0024	11.096556
7.5012	10.963005
4.54758	1.1028143
12.0	0.39671624
58.00816	36.475857
2.88159	0.67023146
147.19104	33.98462
4.57372	3.240573
4.15316	0.47986197
122.90496	7.3915343
213.38625	120.02621
204.41344	445.7565
406.52032	17.265505
27.92166	5.459811
9.87012	1.5765011
15.01851	2.1821644
88.2786	10.319395
49.71956	21.883307
320.595	96.74916
174.59875	17.232296
393.8176	109.119736
393.8253	130.86296
289.6461	53.59106
278.37952	110.961655
0.25	8.902305
0.25	2.9317687
2.3185563	2.2214158
73.0894	0.5283452
75.4134	0.39671624
8.0	2.5515177
4.938944	1.8937589
4.825216	1.618769
31.27625	15.777696
32.16475	20.31735
54.317	33.34255
112.188	42.22527
95.068	36.60573
98.622	38.53277
3.1037292	11.282661
3.08022	9.957266
34.9059	29.478964
16.0	8.984182
186.2722	93.92892
48.77509	19.94063
12.83555	40.881493
7.72624	3.7343812
4.0	17.07747
31.3	35.122807
12.179115	1.50121
8.0	7.3149977
11.7744	2.7046216
2.81745	1.0449297
42.96576	12.866371
235.68384	49.060665
149.61664	52.472683
80.73504	100.42979
5.41886	1.3491083
10.29648	2.4991775
20.09624	6.743825
2.69229	0.9868898
53.82976	39.80566
32.35968	14.413679
8.013197	3.6713035
7.1250534	4.993056
32.20125	12.692819
34.128376	14.101979
42.129	29.125296
47.4095	25.261806
64.0	10.6577
32.0	18.493933
4.0009737	6.166772
118.45025	3.7284632
226.8528	24.339066
221.4096	23.70982
48.1598	42.167244
251.108	90.93999
252.2304	84.90575
12.5	2.8186061
40.0	10.075311
223.70474	48.19299
64.43275	17.652342
261.037	75.11773
