true_mic	pred_mic
58.04625	27.9967
6.25	0.635566
32.0	9.914273
128.0	8.584469
16.0	3.0582175
16.0	21.41649
1024.0	23.093962
1024.0	1.8476326
8.0	3.6000636
32.0	11.538777
64.0	7.4139957
64.0	10.356637
64.0	5.7088437
79.55424	16.077057
81.98944	45.811802
70.456	14.115014
58.92256	30.547073
64.10848	22.549517
58.92256	42.107655
57.67328	75.43757
61.42112	26.509954
382.376	0.5614095
9.00483	3.3603451
29.19925	5.8328023
28.296875	42.90299
57.64575	64.39923
233.787	76.146065
235.196	20.30815
14.2365	6.5666223
229.386	11.952201
139.77888	2.3485048
7.1228557	22.085812
23.4949	4.786491
3.034251	4.369444
6.223812	6.8990264
1.563156	4.3486104
6.40412	1.6977301
6.226794	5.8025603
500.0	52.698116
10.4	11.934963
512.0	64.638084
207.5502	9.582728
218.978	8.95455
100.0	16.677998
128.0	91.92109
128.0	6.759196
8.0	6.2006617
125.0	12.267675
250.0	24.461994
63.0	18.117334
6.6564	1.6708138
49.994877	78.68938
24.972519	93.28643
425.892	15.955877
19.36944	99.240425
8.0	38.123642
1.0	0.15571591
25.0	1.6656805
57.0	64.35357
150.0	29.675028
18.0	0.73564047
33.43395	244.04465
134.5776	143.58049
34.21575	9.384511
98.85	31.851871
84.2838	126.961494
63.0	23.020256
31.0	13.701492
16.0	8.808417
2.0	7.9703007
63.0	12.881941
8.0	9.241092
8.0	8.78926
8.0	5.5346804
8.0	24.823902
16.0	13.3129635
4.0	8.111639
2.0	11.055536
16.0	8.531591
9.92496	100.20157
200.0	6.535065
25.0	12.70278
12.0	4.7845364
6.0	2.6442673
4.33743	4.800195
164.9045	12.309549
19.23576	25.661158
64.0	59.69711
5.19664	1.6386533
137.57697	0.93788093
8.954688	12.581375
97.6248	28.313292
98.886	6.2930617
44.3067	73.99549
45.2076	80.83802
3.00978	18.59177
64.0	16.998648
5.12674	25.463068
85.86944	191.35417
24.71936	35.24302
4.14531	30.134533
125.0	17.813318
62.5	25.446146
62.5	1.3095294
125.0	5.7239323
8.0	27.132141
8.0	36.226032
125.0	30.48405
62.5	39.061825
8.0	19.230639
62.5	21.28214
31.0	7.606883
250.0	15.924383
11.10234	4.3330846
200.30849	31.441294
200.149	20.391254
197.1152	108.413185
7.1514	46.40925
4.5456	43.93719
16.0	2.663044
0.48544428	28.600128
21.0	15.403324
43.0	14.030912
38.0	12.451298
28.0	27.424425
10.0	20.72064
41.0	31.956734
11.0	35.91376
8.0	17.60379
31.0	23.598326
48.0	16.264065
43.0	34.52456
23.0	41.769028
28.0	44.4479
38.0	87.23459
31.0	193.77254
60.0	14.03491
31.0	20.220854
61.0	27.229954
3.0	16.5731
2.0	40.652943
2.0	22.040512
2.0	29.296352
69.0	64.04942
2.0	15.919715
22.0	19.650629
22.0	15.696357
7.0	25.357748
14.0	16.374744
8.0	19.461208
12.0	32.29163
4.0	13.639981
5.0	22.281467
24.0	19.736816
14.0	14.358806
7.0	13.612872
28.0	27.100449
9.0	14.509002
164.74368	4.2698846
2.1	3.5164287
4.0	7.0736523
1.0	5.6203856
4.6	4.208138
4.7	2.8472342
9.7	5.764004
2.2	4.630839
2.2	0.8234315
2.1	7.2142353
4.4	8.796766
211.0	115.71941
182.0	146.57808
272.70517	37.195354
43.0	63.257
213.0	123.346794
40.0	96.05717
26.8835	54.344795
27.726244	14.726124
8.7	48.710308
47.42272	20.758211
512.0	67.22896
4.444287	16.315502
14.5177	130.57556
14.9781	75.27396
24.0888	42.50422
14.3478	24.020384
1.44379	76.21551
75.1975	9.847148
22.62954	10.051478
46.381126	16.735182
339.72	41.853752
146.081	74.357155
129.3685	85.42232
63.9335	93.56957
32.605125	65.58292
15.30828	58.159836
8.7294	59.19415
82.5525	43.77893
9.8886	6.2259607
219.766	85.866
482.784	30.724188
97.923	34.71627
14.24755	4.5692496
64.20225	78.89657
243.893	105.909874
246.698	26.432281
265.72	30.943325
4.0	64.937164
67.70675	25.10361
17.30154	28.463121
265.414	57.29824
240.993	78.29925
134.3135	47.833256
194.443	22.82113
17.30118	3.7960641
30.7089	16.761404
484.372	124.41246
134.3135	48.22398
9.75018	39.87911
66.70976	26.587477
12.728	15.077529
14.49072	65.51089
409.4336	7.4802547
32.0	105.18529
3.81192	20.674246
7.66278	19.21693
7.57272	25.082588
15.15138	99.52224
147.834	33.63252
2.0	27.947023
2.0	19.848387
4.0	12.188162
4.0	15.35702
256.0	17.69892
4.0	11.114608
4.0	24.250345
280.5035	9.424208
105.9904	68.94248
13.00856	54.457954
6.6244	37.867393
26.01712	27.77349
51.16928	59.6315
6.7928	12.456111
3.34234	12.311225
2.0	16.085594
2.0	25.807945
136.4908	38.16808
66.5218	26.813105
232.208	130.96236
51.4688	29.642984
220.31232	159.1857
611.554	38.212906
7.504575	6.404647
31.6191	7.039832
14.38785	52.648438
567.2025	17.604156
581.7275	4.62482
574.715	26.176512
581.7275	27.024797
7.74375	39.84042
19.393438	8.234084
4.91352	9.947169
9.563438	8.790061
9.619331	8.631963
9.662824	7.698734
4.936064	7.1793213
128.0	59.1489
500.0	50.380325
500.0	11.772029
500.0	35.82411
4.0	6.915711
16.0	12.501736
8.0	3.443202
0.12382076	17.331657
121.545	32.84339
111.33	88.09718
106.812	948.77466
107.311	101.69513
156.58	36.35034
169.497	13.986438
55.77792	3.6998806
50.55616	5.4314075
13.09536	9.023771
142.369	8.143055
136.665	13.91483
85.54304	6.563238
118.042	8.46254
3.13	1.840738
147.274	28.733013
144.259	33.57723
150.875	23.093126
45.8958	18.918064
91.7916	15.418924
8.3404	117.56142
148.0448	20.63259
8.5038395	6.432406
50.0	12.64937
32.0	22.992254
802.569	154.54161
802.569	26.065493
204.921	69.95526
16.0	1.372553
16.6	4.8846183
6.10992	3.2489736
6.28404	10.134107
104.0325	7.3944483
205.26	7.0390553
101.9285	9.706996
5.97756	7.1528373
23.129875	10.134619
5.43096	14.512707
45.909	10.112704
5.46108	16.443161
11.01258	7.8188295
5.37999	12.999943
5.60247	4.1996913
11.63772	1.6972744
87.07675	14.488356
6.25	0.39671624
25.0	0.39671624
12.5	0.4158245
50.0	11.50231
6.25	1.1028143
3.5179715	8.301532
200.0	0.39671624
464.06528	36.475857
368.8435	0.67023146
294.38208	33.98462
292.71808	3.240573
265.80225	0.47986197
245.80992	7.3915343
213.38625	120.02621
204.41344	445.7565
406.52032	17.265505
393.8176	109.119736
393.8253	130.86296
24.78256	145.05792
42.0	7.7883444
50.0	1.618769
50.0	11.282661
46.5412	29.478964
16.0	8.984182
61.80992	3.7343812
2.7	17.07747
2.7	12.694993
32.0	7.3149977
2.9436	2.7046216
2.81745	1.0449297
687.45215	12.866371
58.92096	49.060665
598.46655	52.472683
645.8803	100.42979
43.35088	1.3491083
41.18592	2.4991775
321.53983	6.743825
344.61313	0.9868898
26.91488	39.80566
517.7549	14.413679
6.25	0.5661771
32.20125	12.692819
34.128376	14.101979
42.129	29.125296
47.4095	25.261806
25.0	9.05495
300.0	60.766068
16.0	10.6577
16.0	18.493933
306.073	3.7284632
14.1783	24.339066
13.8381	23.70982
12.03995	42.167244
502.216	90.93999
504.4608	84.90575
12.5	2.8186061
447.4095	48.19299
7.73193	17.652342
7.83111	75.11773
3.941115	49.32757
7.79211	81.454155
9.6924	2.0588994
9.36588	11.830596
15.1815	9.134655
200.0	99.62034
300.0	73.17705
18.75	54.038727
