descriptor,step,number of strongly monotonic pairs,total number of pairs
APLA12.5,1,9,46
APLA12.5,2,11,46
APLA12.5,3,10,46
APLA12.5,4,14,46
APLA12.5,5,7,46
APLA17.5,1,9,46
APLA17.5,2,11,46
APLA17.5,3,12,46
APLA17.5,4,8,46
APLA17.5,5,14,46
APLA2.5,1,13,46
APLA2.5,2,12,46
APLA2.5,3,11,46
APLA2.5,4,9,46
APLA2.5,5,13,46
APLA7.5,1,17,46
APLA7.5,2,16,46
APLA7.5,3,10,46
APLA7.5,4,10,46
APLA7.5,5,11,46
APLS12.5,1,7,46
APLS12.5,2,9,46
APLS12.5,3,14,46
APLS12.5,4,10,46
APLS12.5,5,9,46
APLS17.5,1,12,46
APLS17.5,2,11,46
APLS17.5,3,5,46
APLS17.5,4,10,46
APLS17.5,5,10,46
APLS2.5,1,13,46
APLS2.5,2,9,46
APLS2.5,3,11,46
APLS2.5,4,11,46
APLS2.5,5,10,46
APLS7.5,1,10,46
APLS7.5,2,11,46
APLS7.5,3,11,46
APLS7.5,4,15,46
APLS7.5,5,8,46
H1,1,11,46
H1,2,11,46
H1,3,11,46
H1,4,10,46
H1,5,10,46
H2,1,9,46
H2,2,10,46
H2,3,9,46
H2,4,9,46
H2,5,10,46
H3,1,7,46
H3,2,8,46
H3,3,6,46
H3,4,5,46
H4,1,7,46
H4,2,6,46
H4,3,9,46
H4,4,10,46
H5,1,2,46
H5,2,3,46
H5,3,4,46
H5,4,5,46
H5,5,4,46
H6,1,7,46
H6,2,5,46
H6,3,6,46
H6,4,5,46
H6,5,5,46
H7,1,8,46
H7,2,7,46
H7,3,8,46
H7,4,6,46
H7,5,7,46
H8,1,11,46
H8,2,9,46
H8,3,11,46
H8,4,9,46
H8,5,9,46
H9,1,14,46
H9,2,16,46
H9,3,12,46
H9,4,11,46
H9,5,14,46
HM,1,17,46
HM,2,16,46
HM,3,18,46
HM,4,17,46
HM,5,15,46
PEPT_BUR_MAX,1,14,46
PEPT_BUR_MAX,2,13,46
PEPT_BUR_MAX,3,14,46
PEPT_BUR_MAX,4,11,46
PEPT_BUR_MAX,5,10,46
S,1,16,46
S,2,20,46
S,3,20,46
S,4,14,46
S,5,18,46
WAT_BUR_MAX,1,12,46
WAT_BUR_MAX,2,14,46
WAT_BUR_MAX,3,13,46
WAT_BUR_MAX,4,7,46
WAT_BUR_MAX,5,13,46
WAT_BUR_REL,1,11,46
WAT_BUR_REL,2,13,46
WAT_BUR_REL,3,16,46
WAT_BUR_REL,4,16,46
WAT_BUR_REL,5,10,46
ZP-0.5,1,8,46
ZP-0.5,2,11,46
ZP-0.5,3,7,46
ZP-0.5,4,11,46
ZP-0.5,5,13,46
ZP-1.5,1,8,46
ZP-1.5,2,14,46
ZP-1.5,3,14,46
ZP-1.5,4,11,46
ZP-1.5,5,8,46
ZP-2.5,1,6,46
ZP-2.5,2,16,46
ZP-2.5,3,11,46
ZP-2.5,4,10,46
ZP-2.5,5,9,46
ZP-3.5,1,15,46
ZP-3.5,2,15,46
ZP-3.5,3,11,46
ZP-3.5,4,8,46
ZP-3.5,5,12,46
ZP-4.5,1,11,46
ZP-4.5,2,15,46
ZP-4.5,3,15,46
ZP-4.5,4,8,46
ZP-4.5,5,9,46
ZP-5.5,1,11,46
ZP-5.5,2,16,46
ZP-5.5,3,16,46
ZP-5.5,4,7,46
ZP-5.5,5,10,46
ZP-6.5,1,12,46
ZP-6.5,2,13,46
ZP-6.5,3,13,46
ZP-6.5,4,11,46
ZP-6.5,5,11,46
ZP-7.5,1,6,46
ZP-7.5,2,11,46
ZP-7.5,3,13,46
ZP-7.5,4,8,46
ZP-7.5,5,11,46
ZP-8.5,1,8,46
ZP-8.5,2,10,46
ZP-8.5,3,10,46
ZP-8.5,4,10,46
ZP-8.5,5,10,46
ZP-9.5,1,10,46
ZP-9.5,2,4,46
ZP-9.5,3,8,46
ZP-9.5,4,8,46
ZP-9.5,5,9,46
ZP0.5,1,10,46
ZP0.5,2,12,46
ZP0.5,3,12,46
ZP0.5,4,6,46
ZP0.5,5,8,46
ZP1.5,1,12,46
ZP1.5,2,15,46
ZP1.5,3,14,46
ZP1.5,4,12,46
ZP1.5,5,8,46
ZP2.5,1,11,46
ZP2.5,2,15,46
ZP2.5,3,16,46
ZP2.5,4,9,46
ZP2.5,5,14,46
ZP3.5,1,11,46
ZP3.5,2,18,46
ZP3.5,3,11,46
ZP3.5,4,13,46
ZP3.5,5,10,46
ZP4.5,1,9,46
ZP4.5,2,14,46
ZP4.5,3,15,46
ZP4.5,4,13,46
ZP4.5,5,10,46
ZP5.5,1,12,46
ZP5.5,2,12,46
ZP5.5,3,13,46
ZP5.5,4,10,46
ZP5.5,5,11,46
ZP6.5,1,8,46
ZP6.5,2,12,46
ZP6.5,3,9,46
ZP6.5,4,11,46
ZP6.5,5,8,46
ZP7.5,1,6,46
ZP7.5,2,8,46
ZP7.5,3,7,46
ZP7.5,4,7,46
ZP7.5,5,7,46
ZP8.5,1,3,46
ZP8.5,2,3,46
ZP8.5,3,3,46
ZP8.5,4,6,46
ZP8.5,5,6,46
ZP9.5,2,1,46
ZP9.5,3,2,46
ZP9.5,5,2,46
