variant	task	task_type	n_matched	task_size	coverage	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
ampredictor	deepamp_regression_gramneg	regression	4560	4560	1.0													4560.0				0.0	0.5128551279880234	2.235991337737795	1.4953231549527328	0.7226081204813868
apex-abaumannii	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-0.762826801864591	8.056213942221696	2.838347044006722	0.2572063667246828
apex-ecoli	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-0.9555802288966766	8.937107541425199	2.989499546985281	0.2391438705385273
apex-kpneumoniae	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-1.54484682716028	11.630087804486486	3.410291454478119	0.09612121781817445
apex-min	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-0.44590387063322146	6.607858985004494	2.570575613555161	0.239416573620173
apex-paeruginosa	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-1.2950211311598583	10.48837084561395	3.238575434602991	0.22953602153800334
apex-saureus	deepamp_regression_gramneg	regression	4508	4560	0.9885964912280701													4508.0				0.0	-1.5639404867450541	11.717346862717385	3.4230610369547	0.09975475390625411
deep-amp-cnn-gramneg	deepamp_regression_gramneg	regression	4500	4560	0.9868421052631579													4500.0				0.0	0.011422771406934595	4.512787356132703	2.1243322141634775	0.42993244523572444
deep-amp-cnn-grampos	deepamp_regression_gramneg	regression	4500	4560	0.9868421052631579													4500.0				0.0	-0.03520517391719635	4.725640733709137	2.1738538896874227	0.5005740035493704
deep-amp-lstm-gramneg	deepamp_regression_gramneg	regression	4500	4560	0.9868421052631579													4500.0				0.0	-0.8189174820585912	8.303233756016057	2.8815332300731944	0.32694752767281254
deep-amp-lstm-grampos	deepamp_regression_gramneg	regression	4500	4560	0.9868421052631579													4500.0				0.0	0.19925599686021012	3.655341543736705	1.9118947522645449	0.6356504308543971
mbc-attention	deepamp_regression_gramneg	regression	4523	4560	0.9918859649122806													4523.0				0.0	0.4623302529363048	2.45566060372782	1.567054754540447	0.6866170772366456
sensexamp-ecoli	deepamp_regression_gramneg	regression	3469	4560	0.7607456140350877													3469.0				0.0	-0.23842079551826179	5.455034608740614	2.3356015517935873	0.5105221537981497
sensexamp-saureus	deepamp_regression_gramneg	regression	3469	4560	0.7607456140350877													3469.0				0.0	-0.6779286222137875	7.390992414127055	2.7186379704048598	0.3811464618907603
ampeppy	deepamp_regression_grampos	regression	4175	4175	1.0													4175.0				0.0				
amplify	deepamp_regression_grampos	regression	4174	4175	0.9997604790419161													4174.0				0.0				
ampredictor	deepamp_regression_grampos	regression	4130	4175	0.9892215568862276													4130.0				0.0	0.04021711470741385	4.32234952506843	2.079026100141225	0.4098095435026673
ampredmfa	deepamp_regression_grampos	regression	4174	4175	0.9997604790419161													4174.0				0.0				
ampscanner	deepamp_regression_grampos	regression	3793	4175	0.9085029940119761													3793.0				0.0				
apex-abaumannii	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-0.7428862467513886	7.831337119180059	2.7984526294329264	0.24676542965365855
apex-ecoli	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-0.949848829486464	8.761285220770516	2.959946827355268	0.22159289145695443
apex-kpneumoniae	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-1.5559467463918715	11.484674152989278	3.3889045653410306	0.10254212525297052
apex-min	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-0.4418947502806523	6.4788874780962455	2.5453658829520456	0.22575694169941193
apex-paeruginosa	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-1.37035037635414	10.650731177897976	3.2635457983454095	0.15194568915494994
apex-saureus	deepamp_regression_grampos	regression	4094	4175	0.9805988023952096													4094.0				0.0	-1.4587196921142627	11.04780236025352	3.323823455036913	0.1641948887880838
