stage	variant	dataset	s	max_rss	cpu_time
inference	ampeppy	battleamp-all	157.96	1314.74	137.27
inference	ampeppy	deep-amp	74.63	512.85	3.85
inference	ampeppy	example-dataset	27.26	449.66	2.08
inference	ampeppy	pa-cpldiff-strength-0	6.88	774.62	6.08
inference	ampeppy	pa-cpldiff-strength-1	6.68	774.96	5.17
inference	ampeppy	pa-more-data-strength-1	40.98	465.67	2.02
inference	ampeppy	paired-safe	5.67	765.62	2.68
inference	ampeppy	slay	719.09	3179.99	661.65
inference	amplify	battleamp-all	317.52	9471.73	273.69
inference	amplify	deep-amp	42.1	2642.64	18.94
inference	amplify	example-dataset	7.87	959.24	7.44
inference	amplify	pa-cpldiff-strength-0	11.31	1257.58	10.97
inference	amplify	pa-cpldiff-strength-1	11.38	1280.41	10.92
inference	amplify	pa-more-data-strength-1	11.5	1266.91	11.01
inference	amplify	paired-safe	7.76	968.8	7.56
inference	amplify	slay	2073.18	15719.77	3055.2
inference	ampredictor	battleamp-all	444.32	33586.68	383.8
inference	ampredictor	deep-amp	73.14	10663.17	47.73
inference	ampredictor	example-dataset	14.31	10699.15	12.72
inference	ampredictor	pa-cpldiff-strength-0	17.81	10642.82	15.85
inference	ampredictor	pa-cpldiff-strength-1	17.66	10696.9	16.18
inference	ampredictor	pa-more-data-strength-1	32.09	10572.66	16.42
inference	ampredictor	paired-safe	13.94	10617.18	12.23
inference	ampredmfa	battleamp-all	126.41	2612.72	65.25
inference	ampredmfa	deep-amp	19.09	1080.7	9.43
inference	ampredmfa	example-dataset	4.22	1018.45	2.87
inference	ampredmfa	pa-cpldiff-strength-0	5.0	1046.09	3.83
inference	ampredmfa	pa-cpldiff-strength-1	5.0	1043.4	3.51
inference	ampredmfa	pa-more-data-strength-1	19.37	1068.12	4.0
inference	ampredmfa	paired-safe	6.8	1023.82	3.11
inference	ampredmfa	slay	282.38	7347.89	256.7
inference	ampscanner	battleamp-all	181.34	1318.44	553.58
inference	ampscanner	deep-amp	103.84	278.02	2.46
inference	ampscanner	example-dataset	90.1	278.79	2.51
inference	ampscanner	pa-cpldiff-strength-0	3.88	646.2	9.16
inference	ampscanner	pa-cpldiff-strength-1	3.91	626.38	8.65
inference	ampscanner	pa-more-data-strength-1	77.57	656.94	10.87
inference	ampscanner	paired-safe	89.93	278.11	2.52
inference	ampscanner	slay	361.71	1578.86	2715.0
inference	apex	battleamp-all	163.38	1241.18	116.18
inference	apex	deep-amp	21.78	1182.98	17.51
inference	apex	example-dataset	48.54	515.41	1.69
inference	apex	pa-cpldiff-strength-0	7.6	1182.27	4.87
inference	apex	pa-cpldiff-strength-1	6.73	1183.12	4.99
inference	apex	pa-more-data-strength-1	6.14	1203.21	4.35
inference	apex	paired-safe	4.88	1183.21	2.98
inference	apex	slay	667.99	1404.55	609.29
inference	deep-amp	battleamp-all	530.44	3026.89	3283.59
inference	deep-amp	deep-amp	218.44	1164.08	509.91
inference	deep-amp	example-dataset	97.92	372.01	3.23
inference	deep-amp	pa-cpldiff-strength-0	42.14	306.98	1.72
inference	deep-amp	pa-cpldiff-strength-1	42.18	304.5	1.71
inference	deep-amp	pa-more-data-strength-1	88.78	476.7	4.53
inference	deep-amp	paired-safe	98.03	342.71	3.13
inference	deep-amp	slay	1554.12	7939.52	12097.92
inference	example-model	battleamp-all	1.84		
inference	example-model	deep-amp	2.11		
inference	example-model	example-dataset	1.63		
inference	example-model	pa-cpldiff-strength-0	0.73		
inference	example-model	pa-cpldiff-strength-1	0.72		
inference	example-model	pa-more-data-strength-1	0.34	33.69	0.08
inference	example-model	paired-safe	2.15		
inference	example-model	slay	2.37	3.64	0.0
inference	hydramp-amp-classifier	battleamp-all	13.03	507.68	24.78
inference	hydramp-amp-classifier	deep-amp	4.43	461.28	4.6
inference	hydramp-amp-classifier	example-dataset	120.31	343.26	4.41
inference	hydramp-amp-classifier	pa-cpldiff-strength-0	3.33	439.45	2.68
inference	hydramp-amp-classifier	pa-cpldiff-strength-1	4.01	413.45	2.56
inference	hydramp-amp-classifier	pa-more-data-strength-1	3.64	445.0	2.99
inference	hydramp-amp-classifier	paired-safe	99.59	290.13	2.89
inference	hydramp-amp-classifier	slay	116.28	673.08	112.48
inference	hydramp-mic-classifier	battleamp-all	80.18	450.06	58.75
inference	hydramp-mic-classifier	deep-amp	73.25	277.5	4.1
inference	hydramp-mic-classifier	example-dataset	49.18	397.27	3.85
inference	hydramp-mic-classifier	pa-cpldiff-strength-0	3.29	425.72	3.33
inference	hydramp-mic-classifier	pa-cpldiff-strength-1	3.04	423.32	3.3
inference	hydramp-mic-classifier	pa-more-data-strength-1	2.93	394.8	1.9
inference	hydramp-mic-classifier	paired-safe	6.84	388.52	2.22
inference	hydramp-mic-classifier	slay	94.01	627.17	344.97
inference	mbc-attention	battleamp-all	363.31	3436.75	192.1
inference	mbc-attention	deep-amp	73.73	860.75	19.15
inference	mbc-attention	example-dataset	21.38	2598.33	16.14
