variant	task	task_type	n_matched	task_size	coverage	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
ampeppy	amp	classification	40494	40494	1.0	0.23010718195688604	0.6430821198703611	0.599463852602017	0.4664288191863634	0.6935460050214148	0.5335711808136366	0.6579807673357767	0.7026572532541151	1.0	0.5937543062935526	0.5571053029061115	100.0	40494.0	20313.0	20181.0	23501.0	0.0				
amplify	amp	classification	40362	40494	0.9967402578159728	0.41298653523985474	0.69046875	0.7276469619627861	0.24587483276349043	0.6569050096625539	0.7541251672365096	0.7526555857733879	0.8149121462356063	1.0	0.7153996262470399	0.6461393744673996	100.0	40362.0	20181.0	20181.0	18219.0	0.0				
ampredictor	amp	classification	35921	40494	0.8870696893366918	0.3381121834236439	0.7397377201831303	0.6791337180309183	0.49229423980762926	0.8122177728550737	0.5077057601923708	0.7165314949562269	0.7286170168545895	0.6	0.5489474063623987	0.5009778610270786	100.0	20886.0	11737.0	9149.0	14037.0	0.0				
ampredmfa	amp	classification	40494	40494	1.0	0.09423519534652938	0.6538277423868616	0.5222199347078027	0.8049650661513305	0.8741200216610052	0.19503493384866954	0.5923679969158552	0.6096420126912306	1.0	0.5459106621170956	0.5089403143363919	100.0	40494.0	20313.0	20181.0	34001.0	0.0				
ampscanner	amp	classification	34533	40494	0.8527930063713143	0.6451138109390318	0.7919336477476012	0.9028478196380896	0.07584529874942103	0.7052893806847808	0.924154701250579	0.8585688130376832	0.8943523081798168	1.0	0.8061851992335698	0.695283832437041	100.0	34533.0	17261.0	17272.0	13484.0	0.0				
apex-abaumannii	amp	classification	32918	40494	0.8129105546500717	0.200016172731288	0.13396387316846267	0.988558352402746	0.000666000666000666	0.07185031185031185	0.9993339993339994	0.5404149724149724	0.5356669397589142	1.0	0.5387349492612651	0.5358802996993952	100.0	27040.0	12025.0	15015.0	874.0	0.0				
apex-ecoli	amp	classification	32918	40494	0.8129105546500717	0.15790131334597193	0.08542187122249979	0.9925093632958801	0.00026647125441343016	0.04463157894736842	0.9997335287455865	0.5205569726060537	0.5004607730738863	1.0	0.5248903424653869	0.522374062247678	100.0	26886.0	11875.0	15011.0	534.0	0.0				
apex-kpneumoniae	amp	classification	32918	40494	0.8129105546500717	0.02753757043697527	0.0036717977686767404	0.9285714285714286	0.00013305834608475815	0.0018395358709494835	0.9998669416539152	0.5287968423580655	0.5100000327138179	0.6	0.5034975574867973	0.5008348480383742	100.0	29165.0	14134.0	15031.0	28.0	0.0				
apex-min	amp	classification	32918	40494	0.8129105546500717	0.38129169024394055	0.43323687474162875	0.9647131021785824	0.0103398669304082	0.27934251443802754	0.9896601330695918	0.6390852881546143	0.713511467325078	1.0	0.6316963464046718	0.6029213110902938	100.0	22377.0	11255.0	11122.0	3259.0	0.0				
apex-paeruginosa	amp	classification	32918	40494	0.8129105546500717	0.04894377674989986	0.009710188228264117	0.9701492537313433	0.00013144922773578705	0.004879513550033781	0.9998685507722642	0.526076515617564	0.4997508959939788	0.86	0.5074581352193763	0.5033556411982949	100.0	28536.0	13321.0	15215.0	67.0	0.0				
