variant	model	model_type	task	evaluation_set	n_train	overlap_n	overlap_pct	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
example-model	example-model	classifier	amp	battleamp		0	0.0	-0.001898285135827458	0.5015113164426314	0.5006869479882238	0.5042366582429018	0.5023384039777482	0.49576334175709824	0.4988179405367785	0.49716320682063764	0.42	0.4979570969096458	0.4995958198130875	100.0	40494.0	20313.0	20181.0	20380.0	0.0				
example-model	example-model	classifier	amp	minustrain		0	0.0	-0.001898285135827458	0.5015113164426314	0.5006869479882238	0.5042366582429018	0.5023384039777482	0.49576334175709824	0.4988179405367785	0.49716320682063764	0.42	0.4979570969096458	0.4995958198130875	100.0	40494.0	20313.0	20181.0	20380.0	0.0				
ampeppy	ampeppy	classifier	amp	battleamp	6536.0	3192	7.88	0.23010718195688604	0.6430821198703611	0.599463852602017	0.4664288191863634	0.6935460050214148	0.5335711808136366	0.6579807673357767	0.7026572532541151	1.0	0.5937543062935526	0.5571053029061115	100.0	40494.0	20313.0	20181.0	23501.0	0.0				
ampeppy	ampeppy	classifier	amp	minustrain	6536.0	3192	7.88	0.18439682911626318	0.5912771097130418	0.5419464720194648	0.4664288191863634	0.6504877051574091	0.5335711808136366	0.6127885779539453	0.5945927132439723	1.0	0.5440315968340279	0.5186043758570051	100.0	37302.0	17121.0	20181.0	20550.0	0.0				
amplify	amplify	classifier	amp	battleamp	6676.0	2808	6.93	0.41298653523985474	0.69046875	0.7276469619627861	0.24587483276349043	0.6569050096625539	0.7541251672365096	0.7526555857733879	0.8149121462356063	1.0	0.7153996262470399	0.6461393744673996	100.0	40362.0	20181.0	20181.0	18219.0	0.0				
amplify	amplify	classifier	amp	minustrain	6676.0	2808	6.93	0.362117064455833	0.6387322870638428	0.6786685662478954	0.24587483276349043	0.603234904737236	0.7541251672365096	0.7167188703586369	0.7614852995473773	1.0	0.681852945350151	0.6157988465725845	100.0	37554.0	17373.0	20181.0	15442.0	0.0				
ampscanner	ampscanner	classifier	amp	battleamp	2132.0	1062	2.62	0.6451138109390318	0.7919336477476012	0.9028478196380896	0.07584529874942103	0.7052893806847808	0.924154701250579	0.8585688130376832	0.8943523081798168	1.0	0.8061851992335698	0.695283832437041	100.0	34533.0	17261.0	17272.0	13484.0	0.0				
ampscanner	ampscanner	classifier	amp	minustrain	2132.0	1062	2.62	0.6322561459602817	0.7773898470777181	0.8947199228481877	0.07584529874942103	0.6872646459658004	0.924154701250579	0.8499107763758426	0.8825139530696022	1.0	0.7961426356404874	0.6868960178801041	100.0	33471.0	16199.0	17272.0	12443.0	0.0				
ampredmfa	ampredmfa	classifier	amp	battleamp	11320.0	3746	9.25	0.09423519534652938	0.6538277423868616	0.5222199347078027	0.8049650661513305	0.8741200216610052	0.19503493384866954	0.5923679969158552	0.6096420126912306	1.0	0.5459106621170956	0.5089403143363919	100.0	40494.0	20313.0	20181.0	34001.0	0.0				
ampredmfa	ampredmfa	classifier	amp	minustrain	11320.0	3746	9.25	0.07061655500091903	0.6047243424829375	0.46678264294623517	0.8049650661513305	0.8583931912838776	0.19503493384866954	0.5992797745143579	0.5725155122730357	0.84	0.5492950794128553	0.5096021871482985	100.0	36748.0	16567.0	20181.0	30466.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	amp	battleamp	11131.0	11136	27.5	0.8059075400351866	0.9056191558157826	0.8815823054019566	0.12667212667212668	0.9310035037283263	0.8733278733278733	0.9673144408118803	0.9690439578051461	1.0	0.8908008202108605	0.748594516389786	100.0	22120.0	11131.0	10989.0	11755.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	amp	minustrain	11131.0	11136	27.5	0.0	0.0	0.0	0.12659264652348015	0.0	0.8734073534765199			0.0			100.0	10988.0	0.0	10988.0	1391.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	amp	battleamp	3444.0	1428	3.53	0.5208453784951387	0.6100390891605137	0.9859606899318091	0.00637000637000637	0.4416494474889947	0.9936299936299936	0.8544858470741141	0.8881793149321167	0.99	0.7855627942771954	0.6821314160864306	100.0	22120.0	11131.0	10989.0	4986.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	amp	minustrain	3444.0	1428	3.53	0.5023052606108497	0.5717624716967351	0.982429718875502	0.00637000637000637	0.4032141753373854	0.9936299936299936	0.8361432693358107	0.8603395759089797	0.98	0.7647808324856358	0.6633389804561414	100.0	20696.0	9707.0	10989.0	3984.0	0.0				
apex-min	apex	regressor	amp	battleamp	1388.0	52	0.13	0.38129169024394055	0.43323687474162875	0.9647131021785824	0.0103398669304082	0.27934251443802754	0.9896601330695918	0.6390852881546143	0.713511467325078	1.0	0.6316963464046718	0.6029213110902938	100.0	22377.0	11255.0	11122.0	3259.0	0.0				
apex-min	apex	regressor	amp	minustrain	1388.0	52	0.13	0.3804312301684131	0.4317521781219748	0.9644732777262898	0.0103398669304082	0.2781291759465479	0.9896601330695918	0.638473512438879	0.7123730766977833	1.0	0.6310922195790969	0.6022669182394894	100.0	22347.0	11225.0	11122.0	3237.0	0.0				
apex-ecoli	apex	regressor	amp	battleamp	1388.0	52	0.13	0.15790131334597193	0.08542187122249979	0.9925093632958801	0.00026647125441343016	0.04463157894736842	0.9997335287455865	0.5205569726060537	0.5004607730738863	1.0	0.5248903424653869	0.522374062247678	100.0	26886.0	11875.0	15011.0	534.0	0.0				
apex-ecoli	apex	regressor	amp	minustrain	1388.0	52	0.13	0.15637950123470187	0.08381198932125232	0.9923371647509579	0.00026647125441343016	0.043753695413463974	0.9997335287455865	0.5196451312565903	0.4983333431992054	1.0	0.5242559301668543	0.5219089733643084	100.0	26850.0	11839.0	15011.0	522.0	0.0				
apex-saureus	apex	regressor	amp	battleamp	1388.0	52	0.13	0.05777344115336034	0.01353047844887711	0.9797979797979798	0.00013065917554060233	0.00681227614298757	0.9998693408244594	0.53034801143438	0.5118151999373358	0.97	0.5029054398495563	0.5034402996957497	100.0	29546.0	14239.0	15307.0	99.0	0.0				
apex-saureus	apex	regressor	amp	minustrain	1388.0	52	0.13	0.05463613210919609	0.012178051511758119	0.9775280898876404	0.00013065917554060233	0.006127192055778576	0.9998693408244594	0.5296691638175783	0.5098114449405191	0.9	0.5024914007524561	0.503098984601746	100.0	29506.0	14199.0	15307.0	89.0	0.0				
apex-kpneumoniae	apex	regressor	amp	battleamp	1388.0	52	0.13	0.02753757043697527	0.0036717977686767404	0.9285714285714286	0.00013305834608475815	0.0018395358709494835	0.9998669416539152	0.5287968423580655	0.5100000327138179	0.6	0.5034975574867973	0.5008348480383742	100.0	29165.0	14134.0	15031.0	28.0	0.0				
apex-kpneumoniae	apex	regressor	amp	minustrain	1388.0	52	0.13	0.024130390347608374	0.002973661852166525	0.9130434782608695	0.00013305834608475815	0.001489256081128998	0.9998669416539152	0.5282565335471905	0.5084361451844291	0.57	0.5032413784928983	0.5006516223051369	100.0	29132.0	14101.0	15031.0	23.0	0.0				
apex-abaumannii	apex	regressor	amp	battleamp	1388.0	52	0.13	0.200016172731288	0.13396387316846267	0.988558352402746	0.000666000666000666	0.07185031185031185	0.9993339993339994	0.5404149724149724	0.5356669397589142	1.0	0.5387349492612651	0.5358802996993952	100.0	27040.0	12025.0	15015.0	874.0	0.0				
apex-abaumannii	apex	regressor	amp	minustrain	1388.0	52	0.13	0.19872657031491778	0.13230601603237607	0.9883720930232558	0.000666000666000666	0.07089832346317458	0.9993339993339994	0.539602694411269	0.5338598018094542	1.0	0.5382045070136346	0.5354112937609703	100.0	27004.0	11989.0	15015.0	860.0	0.0				
apex-paeruginosa	apex	regressor	amp	battleamp	1388.0	52	0.13	0.04894377674989986	0.009710188228264117	0.9701492537313433	0.00013144922773578705	0.004879513550033781	0.9998685507722642	0.526076515617564	0.4997508959939788	0.86	0.5074581352193763	0.5033556411982949	100.0	28536.0	13321.0	15215.0	67.0	0.0				
