variant	model	model_type	task	unit	n_labelled	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors
example-model	example-model	classifier	regression_ecoli25922	ug/ml	1959	-0.010212245686474126	0.5962171052631579	0.730110775427996	0.5153846153846153	0.5038220986796387	0.4846153846153846	0.4845986796386379	0.7323342629495379	0.74	0.49964901964645936	0.5031083680550612	100	1959	1439	520	993	0
ampeppy	ampeppy	classifier	regression_ecoli25922	ug/ml	1959	0.18249175044725666	0.8406337371854613	0.7601123595505618	0.8211538461538461	0.940236275191105	0.17884615384615385	0.646314882129684	0.8086496911278727	0.79	0.5137972557415884	0.5084955971389529	100	1959	1439	520	1780	0
amplify	amplify	classifier	regression_ecoli25922	ug/ml	1959	0.13511338813327736	0.8419128845568078	0.7494577006507592	0.8884615384615384	0.9603891591382905	0.11153846153846154	0.6202043352755653	0.792661670758194	0.83	0.5112053467179468	0.4998226642200507	100	1959	1439	520	1844	0
ampscanner	ampscanner	classifier	regression_ecoli25922	ug/ml	1959	0.1797523942849856	0.8456375838926175	0.7517899761336515	0.8702928870292888	0.9662576687116564	0.1297071129707113	0.7000121929306671	0.8380376062765889	0.85	0.53522600474939	0.5033632868856202	100	1782	1304	478	1676	0
ampredmfa	ampredmfa	classifier	regression_ecoli25922	ug/ml	1959	0.07524633295814125	0.8479670005892752	0.7360613810741689	0.9923076923076923	1.0	0.007692307692307693	0.5415693323354893	0.7593064770602199	0.75	0.5065921817821317	0.5006294042907563	100	1959	1439	520	1955	0
hydramp-amp-classifier	hydramp-amp-classifier	classifier	regression_ecoli25922	ug/ml	1959	0.20357737078982563	0.8440163023341979	0.7513192612137203	0.8471910112359551	0.9628064243448858	0.15280898876404495	0.6849895998556328	0.8262544116496198	0.85	0.5324246558154578	0.5033299266761304	100	1628	1183	445	1516	0
hydramp-mic-classifier	hydramp-mic-classifier	classifier	regression_ecoli25922	ug/ml	1959	0.5573313793946778	0.8812421317666806	0.875	0.33707865168539325	0.8875739644970414	0.6629213483146067	0.8441839923257383	0.9179666884288152	0.94	0.6431158342635394	0.5074052912944866	100	1628	1183	445	1200	0
apex-min	apex	regressor	regression_ecoli25922	ug/ml	1959	0.26394082343031977	0.8052230685527747	0.8380520951302378	0.49140893470790376	0.774869109947644	0.5085910652920962	0.6895090048757669	0.8649390177974975	0.9	0.5543573674835872	0.5072391518051567	100	1246	955	291	883	0
apex-ecoli	apex	regressor	regression_ecoli25922	ug/ml	1959	0.2683015190347229	0.42298850574712643	0.9387755102040817	0.04	0.27299703264094954	0.96	0.6489762611275964	0.8243345465981574	0.95	0.6049768337758342	0.5245763933415842	100	974	674	300	196	0
apex-saureus	apex	regressor	regression_ecoli25922	ug/ml	1959	-0.02344116921502234	0.0484027105517909	0.6410256410256411	0.03357314148681055	0.025150905432595575	0.9664268585131894	0.521360778580355	0.7057634136466379	0.71	0.4978237467211447	0.4980135928061288	100	1411	994	417	39	0
apex-kpneumoniae	apex	regressor	regression_ecoli25922	ug/ml	1959	0.051336134472139576	0.019065776930409915	1.0	0.0	0.009624639076034648	1.0	0.5198198108808033	0.7394600175071719	0.69	0.4982967574418618	0.5067416101772368	100	1427	1039	388	10	0
apex-abaumannii	apex	regressor	regression_ecoli25922	ug/ml	1959	0.27850944349330226	0.5868586858685868	0.8763440860215054	0.1488673139158576	0.44113667117726657	0.8511326860841424	0.6588585116771987	0.8233966039425926	0.89	0.5600240534597131	0.5138842171673076	100	1048	739	309	372	0
apex-paeruginosa	apex	regressor	regression_ecoli25922	ug/ml	1959	0.10246534924766076	0.05774278215223097	1.0	0.0	0.02972972972972973	1.0	0.5534369829012686	0.7106220527463931	0.79	0.5288196359624932	0.5175616083728072	100	1132	740	392	22	0
mbc-attention	mbc-attention	regressor	regression_ecoli25922	ug/ml	1959	0.575151579254017	0.9210977701543739	0.8832236842105263	0.4717607973421927	0.9623655913978495	0.5282392026578073	0.8451071101108611	0.9453892336831129	1.0	0.6445868986043504	0.5653929634598168	100	1417	1116	301	1216	0
sensexamp-classifier	sensexamp	classifier	regression_ecoli25922	ug/ml	1959	0.1612181060698248	0.8458755426917511	0.7384712571067593	0.9324324324324325	0.9898391193903472	0.06756756756756757	0.703383527473282	0.8496985330445179	0.93	0.556205231480422	0.5136870091660981	100	1625	1181	444	1583	0
sensexamp-ecoli	sensexamp	regressor	regression_ecoli25922	ug/ml	1959	0.47669868996545056	0.8911368015414258	0.8751182592242195	0.45517241379310347	0.9077526987242395	0.5448275862068965	0.8080403370444316	0.9311198974761348	0.98	0.6512541208864604	0.5303749637157396	100	1309	1019	290	1057	0
sensexamp-saureus	sensexamp	regressor	regression_ecoli25922	ug/ml	1959	0.46518626087447784	0.8188790560471977	0.8931788931788932	0.24629080118694363	0.7559912854030502	0.7537091988130564	0.768213055086855	0.8894288386347867	0.95	0.5744522668942289	0.5284228074554291	100	1255	918	337	777	0
ampredictor	ampredictor	regressor	regression_ecoli25922	ug/ml	1959	0.5623827379775054	0.9362582781456954	0.8969072164948454	0.5394190871369294	0.9792207792207792	0.4605809128630705	0.7972984138959243	0.9366211250404092	0.99	0.5744472459912512	0.5317645510518589	100	1396	1155	241	1261	0
deep-amp-lstm-gramneg	deep-amp	regressor	regression_ecoli25922	ug/ml	1959	0.26206463973863103	0.8252148997134671	0.7949526813880127	0.6175771971496437	0.857872340425532	0.3824228028503563	0.6473098499014505	0.7992293833766045	0.81	0.5130295542261931	0.49777593684295535	100	1596	1175	421	1268	0
deep-amp-lstm-grampos	deep-amp	regressor	regression_ecoli25922	ug/ml	1959	0.38207728331000657	0.845643153526971	0.8393739703459637	0.47560975609756095	0.8520066889632107	0.524390243902439	0.7298229871930826	0.8621777184418581	0.9	0.5378905294069664	0.5085960842633922	100	1606	1196	410	1214	0
deep-amp-cnn-gramneg	deep-amp	regressor	regression_ecoli25922	ug/ml	1959	0.3809310046731201	0.8871411718442784	0.8330871491875923	0.6550724637681159	0.9486963835155593	0.34492753623188405	0.735856462012896	0.8795324463817341	0.91	0.5501350736698403	0.4989697209245604	100	1534	1189	345	1354	0
deep-amp-cnn-grampos	deep-amp	regressor	regression_ecoli25922	ug/ml	1959	0.2166421908832511	0.8724035608308606	0.7889087656529516	0.8634146341463415	0.9756637168141593	0.13658536585365855	0.5929779120800058	0.7955573732776939	0.74	0.4970482541341482	0.49872573168743206	100	1766	1356	410	1677	0
example-model	example-model	classifier	regression_ecoli25922	uM	1929	0.015977034017853383	0.6469929025028016	0.8863868986693961	0.4847161572052402	0.5094117647058823	0.5152838427947598	0.492210377600822	0.8804641909499439	0.9	0.49874011383454786	0.5047319954511835	100	1929	1700	229	977	0
ampeppy	ampeppy	classifier	regression_ecoli25922	uM	1929	0.1730639637079841	0.920389461626575	0.8967633928571429	0.8078602620087336	0.9452941176470588	0.19213973799126638	0.693015669149756	0.9361310031036292	0.94	0.5468784052347668	0.5144525607745897	100	1929	1700	229	1792	0
amplify	amplify	classifier	regression_ecoli25922	uM	1929	0.10587443326287621	0.9233813966638394	0.8889493739793141	0.8908296943231441	0.9605882352941176	0.1091703056768559	0.6902350372463396	0.9390405162412929	1.0	0.5655359822623602	0.535381763686142	100	1929	1700	229	1837	0
ampscanner	ampscanner	classifier	regression_ecoli25922	uM	1929	0.10558191551321398	0.9275990099009901	0.8949253731343284	0.8934010152284264	0.9627488760436738	0.1065989847715736	0.7764622842965615	0.9604776309983447	0.97	0.6321278944534069	0.5147119963688355	100	1754	1557	197	1675	0
ampredmfa	ampredmfa	classifier	regression_ecoli25922	uM	1929	0.018502136511248275	0.9362758620689655	0.8815584415584415	0.9956331877729258	0.9982352941176471	0.004366812227074236	0.45608913434369386	0.8730644786650362	0.89	0.49884429509929773	0.49988965631601334	100	1929	1700	229	1925	0
hydramp-amp-classifier	hydramp-amp-classifier	classifier	regression_ecoli25922	uM	1929	0.22011460488891332	0.9204903677758318	0.8789297658862876	0.8227272727272728	0.9661764705882353	0.17727272727272728	0.7353091577540107	0.9365296726984533	0.99	0.5666602167182663	0.5228784295810603	100	1580	1360	220	1495	0
hydramp-mic-classifier	hydramp-mic-classifier	classifier	regression_ecoli25922	uM	1929	0.4976754493494805	0.9137210186240973	0.9457120377655389	0.31363636363636366	0.8838235294117647	0.6863636363636364	0.8630080213903742	0.9707363294999765	0.99	0.6829967632986209	0.5457904495740735	100	1580	1360	220	1271	0
apex-min	apex	regressor	regression_ecoli25922	uM	1929	0.0	0.9582806573957017	0.9199029126213593	1.0	1.0	0.0	0.682542220800796	0.9571230437682484	0.97	0.5597927149100598	0.5098624167451152	100	1236	1137	99	1236	0
apex-ecoli	apex	regressor	regression_ecoli25922	uM	1929	0.43446922834236607	0.9496644295302014	0.9775474956822107	0.34210526315789475	0.9233278955954323	0.6578947368421053	0.8441658796256547	0.9846464973148938	0.98	0.6024275508036856	0.5499520440702698	100	651	613	38	579	0
apex-saureus	apex	regressor	regression_ecoli25922	uM	1929	0.18700960063437566	0.46706586826347307	0.8478260869565217	0.14	0.32231404958677684	0.86	0.6005371900826446	0.7584452323752275	0.82	0.49347542409743367	0.4995639353793762	100	342	242	100	92	0
