variant	model	task	unit	r2_log2	msl2e	rmsl2e	spearman	n_samples	errors
apex-min	apex	regression_ecoli25922	ug/ml	-0.3405358817708031	5.262005049748847	2.2939060682052452	0.23456623449093042	2525	0
apex-min	apex	regression_ecoli25922	uM	-0.1337614165475065	4.553338110745532	2.133855222536321	0.28797812500887865	2525	0
apex-ecoli	apex	regression_ecoli25922	ug/ml	-0.909317600703742	7.494643741431155	2.737634698317355	0.24751890845224472	2525	0
apex-ecoli	apex	regression_ecoli25922	uM	-0.6266084304506521	6.532677906948849	2.555910387112359	0.3791720611504648	2525	0
apex-saureus	apex	regression_ecoli25922	ug/ml	-1.7557917046361324	10.817308259362658	3.2889676586069765	0.07577365891883181	2525	0
apex-saureus	apex	regression_ecoli25922	uM	-1.3967800205877223	9.625790445443553	3.1025458007003786	0.32318983765387244	2525	0
apex-kpneumoniae	apex	regression_ecoli25922	ug/ml	-1.831684557877593	11.115210450886908	3.333948177594683	0.03578543307905707	2525	0
apex-kpneumoniae	apex	regression_ecoli25922	uM	-1.4653482682132668	9.901169736486262	3.1466124223498295	0.30549968308889086	2525	0
apex-abaumannii	apex	regression_ecoli25922	ug/ml	-0.730391708327712	6.792305995745611	2.6062052865700376	0.2593944242583492	2525	0
apex-abaumannii	apex	regression_ecoli25922	uM	-0.47428535899174395	5.920927995286019	2.4332957065030176	0.3763530781096806	2525	0
apex-paeruginosa	apex	regression_ecoli25922	ug/ml	-1.346662211924734	9.21135239803597	3.0350209880717416	0.2318977567608567	2525	0
apex-paeruginosa	apex	regression_ecoli25922	uM	-1.028058087064644	8.144953641796633	2.853936516777595	0.45114723077798774	2525	0
mbc-attention	mbc-attention	regression_ecoli25922	ug/ml	0.23253380698263237	3.0168054375474638	1.7368953444429125	0.5319452933013339	2527	0
mbc-attention	mbc-attention	regression_ecoli25922	uM	0.3237989816325816	2.714382135115912	1.6475382044480522	0.5981320287537188	2527	0
